rank	username	minecraft:picked_up/minecraft:yellow_stained_glass
1	El_Jalapeno	545
2	MangoTheFish	387
3	beeperbeeper5	329
4	lordpipe	145
5	joethahobo	144
6	lillips	141
7	EMC_	128
8	gabriels543	127
9	pintsizedrogue	118
10	Soplight	101
11	Kubelz	93
12	Freak_Genius	88
13	Snowflowe	70
14	Blu3beast	69
15	EcksDofficial	66
16	Groundler	56
16	Eraxa	56
18	VentiHilton	55
19	sebastiensaborio	42
20	eviltunix	36
21	Mahoose	31
21	kekhon	31
23	Inbefour	28
24	titanlax	26
25	Mattesco	25
26	PhantomsGhost_	21
27	TheSecondLord	20
28	thewindmillman	18
29	claivin	17
29	fffMike	17
31	set67	16
31	mwrty	16
31	DC_XII	16
31	The_slideV3	16
35	Maenara	15
35	Akoot_	15
35	Spacewardharpy7	15
38	Rumpletaezer	14
39	awesomeoneme	12
39	Notta	12
39	KingMatthew506	12
42	oxfordschool	11
42	Smoke____	11
44	Xclax101	10
44	Zoeyfortnite	10
46	AuroraValkyrie	9
46	rarrq	9
46	EveryonesUncle	9
46	Frozil12	9
50	xXTheWolfmanXx	8
50	MattieHD	8
50	MyNameIsJobo	8
50	Onennon	8
50	ZeroKraken	8
55	Jovaphobic	7
55	JEWISHBadenBeele	7
55	SaucyDark	7
55	PortlyPete69	7
55	GlitchyPlate810	7
60	_naturell	6
60	RodSerlingCringe	6
60	jnp_gaming	6
63	ROY4LE	5
63	SullyhS	5
63	OtariCharlie	5
66	CliffEmAll	4
66	LordSpeed37	4
68	eitanzaki	3
68	Werbe	3
68	HellsSponge	3
68	AssEatrAndLicker	3
68	stellarjay	3
68	TechnoNinja64	3
74	6king6colt6	2
74	PigDab	2
74	ogoa	2
74	Blaiku	2
74	Spenduh	2
74	EcksD	2
80	_NieToksikpl_	1
80	fr0stss	1
80	Blackberry1310	1
80	jushykins	1
80	noam464	1
80	Zaridey	1
80	domagawha	1
80	Soap_Bender	1
80	Nycteus_	1
80	Kowcio_	1
80	YungMaki	1
80	Skippeh	1
