rank	username	minecraft:picked_up/minecraft:stone_hoe
1	MOSS000	443
2	H72l9w	321
3	noam464	79
4	Hiryu27	72
5	FreakGenius	51
6	Smashic	49
7	WyngGoy	41
8	Mahoose	31
9	Rumpletaezer	30
10	diamondgolem35	25
11	Akoot_	20
12	kekhon	19
13	TechnoNinja64	15
13	AdmiralSmoke	15
15	ItsColin11	14
15	eitanzaki	14
17	beeperbeeper5	11
17	TheSecondLord	11
17	AJbeast01	11
20	ZaneABrain	10
20	Hyp3rion_	10
22	__tomato	9
22	CalebDHawk	9
22	Kferno	9
25	fallingemma	8
25	luseis	8
25	pixelviolin	8
28	Kamflame10	7
28	Jackattack53	7
28	Tyrannosplart	7
28	El_Jalapeno	7
32	youhjjhhhjj	6
32	Guillemet	6
32	Touched_Bread	6
32	jcool7	6
32	jnp_gaming	6
32	PlasticOtari	6
38	Base_Tempest	5
38	TinMaster	5
38	hcb238	5
38	aec9	5
38	JESS_THE_RERE	5
43	pintsizedrogue	4
43	6king6colt6	4
43	ImpavidArcher	4
43	joethahobo	4
43	Blackberry1310	4
43	bloodbiter	4
43	Bumpy419	4
43	The_Cruncy	4
43	Onennon	4
43	PigDab	4
43	TheShyPig	4
43	Inbefour	4
43	rotten_mango	4
43	Blaiku	4
43	laron58	4
43	Powowowow	4
59	Huwulling	3
59	YairZaki	3
59	Prismyst	3
59	gaziter10	3
59	NieToksikpl	3
59	gcaisawesome	3
59	ooga47	3
59	SaintJosie	3
59	Lord_Jord	3
59	Blu3beast	3
59	Xclax101	3
59	bluemage31	3
59	OG_Songsee	3
59	NebulousBadger	3
59	nonarso	3
59	Kubeusz2010	3
59	OfficerAnvil	3
59	FGamerJ	3
59	Zoeyfortnite	3
78	Groovy_MoonBird	2
78	squigglybones	2
78	ImNotYuqii	2
78	ShedJr_	2
78	tsohomie	2
78	firesgal3116	2
78	wiqor	2
78	Gingayy	2
78	Motsaro	2
78	emrekn	2
78	intropass	2
78	ARandomHedge	2
78	AJplaysMC_	2
78	Arceus1975	2
78	ApophisNova	2
78	Mattesco	2
78	Kynigito	2
78	J4k__	2
78	groofles	2
78	natajimi	2
78	Lord_Zacler	2
78	Deathkob	2
78	Tiktola01	2
78	Meatlaugh	2
78	Dakar_	2
78	ProfessorDiaper	2
78	Warlord324	2
78	AvaRosey	2
78	IAmTheWalrus910	2
78	stavgod	2
78	Soul_Atreus	2
78	_TCARREIRA_	2
78	non089	2
78	DennyKai	2
78	fffMike	2
78	KingMatthew506	2
78	EngagedGrub41	2
78	Ezekson	2
78	EcksD	2
78	BreadBacon	2
78	MyNamaSheff	2
78	BiggieDawg	2
120	Crowvens	1
120	ProbablyNick	1
120	Apollo_993	1
120	dudcreeper	1
120	XiaoZhang_TW	1
120	Ilinca_Io	1
120	Tommhh	1
120	ExtraDumb	1
120	Ryker	1
120	Rox_The_Box	1
120	Hormones	1
120	Myszoaz	1
120	w3nd3lbo3	1
120	oreee	1
120	rarrq	1
120	heckface	1
120	Prodiginus	1
120	BleachMyEyes	1
120	Cryptacity	1
120	Zedducius	1
120	ashetrays	1
120	Ravenbie	1
120	Megarboh	1
120	Lumien_	1
120	SteveCraftBlocks	1
120	_Dean_123	1
120	crying_wolf_13	1
120	lorpus	1
120	Robby_Cream	1
120	himak1	1
120	orxngejuice	1
120	xxPipperDipperxx	1
120	DSYisDizzy	1
120	rocklobster2012	1
120	Kubelz	1
120	CharlieButt	1
120	RustyKedel	1
120	breadbowlgamer	1
120	BlueZabu	1
120	Orcus113	1
120	Bazongoman	1
120	eli_tschki	1
120	CarltheCuck	1
120	Di_infiri	1
120	wTXop	1
120	SirPiccardo	1
120	NarwhalTaco	1
120	Fast_Turtle	1
120	SvenskaSara	1
120	Sheellky	1
120	Felenov	1
120	TheWildMateo	1
120	The11thDoctor	1
120	RobotMinion101	1
120	seramalen	1
120	Shiirazu	1
120	_Cloverbelle_	1
120	jewbacaman	1
120	TeenMomTom	1
120	PaperCanvas	1
120	FishyBoy3811	1
120	Kryktal	1
120	ADEXTV	1
120	ILoveCarrot	1
120	AlphaWolfPlaysMC	1
120	Bl1tzFX	1
120	Joestra	1
120	NomadicRobin_	1
120	audiocracked	1
120	Katsuragi0243218	1
120	kiluaemc	1
120	_Bguette_	1
120	balin55	1
120	Renchi19	1
120	Manaateee	1
120	HellsSponge	1
120	_Karmaa	1
120	comjosh64	1
120	AstreaTSS	1
120	Shogunite	1
120	Deerfoot	1
120	weabis	1
120	censorsheep	1
120	Bloo2406	1
120	fluddd	1
120	AssassinAshton	1
120	ComplexSquirrel	1
120	Matorz	1
120	SkateboardR6	1
120	Spacewardharpy7	1
120	lordpipe	1
120	MrWataby	1
120	sp00ky_ghost977	1
120	iTheRaiden	1
120	layabout100	1
120	SexcMf	1
120	UCP_TheKingK	1
120	Juh1s	1
120	SammiWolfGirl	1
120	c0la_c0ca	1
120	Celeste_121	1
120	Ryn777	1
120	mawileite	1
120	youarefrench_	1
120	HuangMeiHua	1
120	cichy096	1
120	blackmage426	1
120	Jimb0nat0r	1
120	skrongus	1
120	calamariclam_I	1
120	WYFYoyo	1
120	JayToe	1
120	Freedrik	1
