rank	username	minecraft:picked_up/minecraft:pufferfish_bucket
1	500am	31
2	thewindmillman	30
3	kekhon	16
4	12Magner05	15
4	Hyp3rion_	15
6	Smoke____	11
7	noam464	10
8	FreakGenius	8
9	eitanzaki	6
9	Akoot_	6
11	rarrq	5
11	Skippeh	5
13	pintsizedrogue	4
13	xzvu	4
13	HesDemonPants	4
16	heckface	3
16	Blackberry1310	3
16	Werbe	3
16	Tyrannosplart	3
16	GlitchyPlate810	3
21	Mahoose	2
21	Fullut	2
21	_Boipl_	2
21	RoofTyler	2
21	LeeMcGee30	2
21	Ezekson	2
21	ConnorDanky_	2
21	jnp_gaming	2
21	TechnoNinja64	2
30	I_Am_Mushkin	1
30	Jindong	1
30	tsohomie	1
30	Historical_Sand	1
30	oreee	1
30	Sleepy_Time_	1
30	beeperbeeper5	1
30	tramizu	1
30	Motsaro	1
30	ROY4LE	1
30	Chromary	1
30	ApophisNova	1
30	Kynigito	1
30	fkGrim	1
30	MyNameIsDakar	1
30	claivin	1
30	Blaiku	1
30	MovingFish7	1
30	YungMaki	1
30	SammiWolfGirl	1
30	PortlyPete69	1
30	jcool7	1
30	EcksD	1
30	MyNamaSheff	1
30	Nicserso	1
30	Jimb0nat0r	1
