rank	username	minecraft:picked_up/minecraft:andesite_stairs
1	skitzxo	1027
2	PazinGaming	478
3	Mahoose	381
4	Legendosh	360
5	Huwulling	343
6	TheSecondLord	332
7	TheShyPig	310
8	Meatlaugh	253
9	Kakolbus	240
10	Lord_Jord	238
11	pintsizedrogue	166
12	Enderxz3	155
13	PlasticOtari	147
14	lordpipe	128
15	diamondgolem35	105
16	ApophisNova	103
16	MyNamaSheff	103
18	500am	92
19	Mr_Byzantine	86
20	rarrq	82
21	Crowman1	79
22	Cryptacity	74
23	Lukeee33	68
24	FishyBoy3811	67
25	_Huge_Male_	66
26	eitanzaki	64
26	luseis	64
26	Ezekson	64
29	Malorn_Aetherius	62
30	Steelynan	59
31	kekhon	54
32	Tiberonus	53
33	soundad	47
34	EKUG	46
34	ElectricDragon81	46
36	DemTechAlpha	43
37	YungMaki	42
38	powercas_gamer	41
39	joethahobo	40
39	Snowflowe	40
41	Mattesco	39
42	EMC_	38
42	Kowcio_	38
44	ImpavidArcher	37
45	Historical_Sand	35
45	NotMeanttoChange	35
47	Blaiku	33
48	beeperbeeper5	32
48	EveryonesUncle	32
50	Maenara	31
51	Jackattack53	30
51	valkam13	30
53	eviltunix	28
53	Sheldor097	28
55	Onennon	27
56	paranoid_plant	26
56	Shiirazu	26
58	shadowthemonkey	25
59	CattSoup	21
60	SpacesickPrism	20
61	KarlKaek	19
61	Manaateee	19
61	FreakGenius	19
64	Di_infiri	18
64	Eraxa	18
66	Blackberry1310	17
67	Sleek_Storm_721	16
67	_Meow_Mix	16
67	ReyTheLegend	16
67	Jimb0nat0r	16
71	The_slideV3	15
72	m_be9	14
73	mihimihimihi	13
74	Seyaboy	12
74	Fullut	12
74	pixelviolin	12
77	CharlieButt	11
77	weabis	11
77	07shiny	11
77	Quotary	11
81	Alphanzt99	10
81	Akoot_	10
81	CalebDHawk	10
84	T045RTY	9
84	Jackster03	9
84	ShedJr_	9
84	oreee	9
84	himak1	9
84	imcombxt	9
84	annoyingenderman	9
91	skroobiez	8
91	Flapjacker687	8
91	GamerDuck123	8
91	ElderRifken	8
91	Jamstroxian	8
91	miramyu	8
97	Smashic	7
97	gcaisawesome	7
97	Olib3ar	7
97	Deerfoot	7
97	Nicserso	7
97	Yamdalorian	7
103	ImNotYuqii	6
103	Sleepy_Evelyn	6
103	PegLegPete93	6
103	oscminus	6
103	claivin	6
103	wwwwinnebagoooo	6
109	ECstardust	5
109	4774	5
109	xxPipperDipperxx	5
109	fragrantmonke444	5
109	Zythose	5
109	LexMakesHistory	5
109	Dakar_	5
109	tartanboy	5
109	taengoos	5
118	SteveCraftBlocks	4
118	GLLogan2	4
118	crashomon	4
118	blackeemperor	4
118	Spacewardharpy7	4
118	Skippeh	4
118	jnp_gaming	4
125	SaltineDream	3
125	LagVibes	3
125	Mariopreeet	3
125	iTurbo	3
125	IamCL4SSY	3
125	ogoa	3
125	Fuad_R	3
125	HellsSponge	3
125	iSammael	3
125	MakeHistory157	3
125	__tomato	3
125	ZoomieZoomie	3
125	JayToe	3
138	shineh10	2
138	SquadMonster	2
138	TinMaster	2
138	Kkanot	2
138	andy_rex	2
138	LibertyMutual	2
138	avalan64	2
138	EcksD	2
138	smogfrog	2
138	The_SlideV5	2
138	WYFYoyo	2
149	Groovy_MoonBird	1
149	SmashingPump	1
149	Merv__	1
149	lorywithay	1
149	Alteriity	1
149	ryan521	1
149	Natty	1
149	lotarp	1
149	SpaceGrenadier	1
149	teqilas	1
149	heckface	1
149	_Dean_123	1
149	Yuvl	1
149	bl1ss0	1
149	whoaluv	1
149	Skylord_Luke	1
149	TheWildMateo	1
149	spellmre	1
149	KeruNatsema	1
149	True_Clipse	1
149	Deathkob	1
149	Karbl	1
149	MightyWertu	1
149	BumbleBeever	1
149	Chaotic1s	1
149	SvenskaHugo	1
149	Pumpkin_P_Patch	1
149	EtherealEspresso	1
149	jcool7	1
149	Biites	1
