rank	username	minecraft:picked_up/minecraft:warped_door
1	kekhon	47
2	eitanzaki	44
3	Di_infiri	42
4	CliffEmAll	29
5	thewindmillman	25
6	beeperbeeper5	14
7	Akoot_	12
8	rarrq	7
8	eclipseboi	7
10	Legendosh	6
11	CarltheCuck	5
12	ShedJr_	4
12	TheSecondLord	4
12	Fullut	4
12	Kokeech	4
12	Smoke____	4
17	T045RTY	3
17	joethahobo	3
17	Ardennes	3
17	_Dean_123	3
17	Decaying_Lotus	3
17	CalebDHawk	3
23	pintsizedrogue	2
23	Blackberry1310	2
23	Arceus1975	2
23	Zythose	2
23	PigDab	2
23	Lord_Jord	2
29	teslawolf38	1
29	set67	1
29	Xalithia	1
29	noam464	1
29	Soplight	1
29	SammiWolfGirl	1
