rank	username	minecraft:picked_up/minecraft:blue_dye
1	thewindmillman	806680
2	noam464	54933
3	beeperbeeper5	2531
4	Spacewardharpy7	1419
5	Typadopoulos	584
6	YungMaki	577
7	kekhon	536
8	Syropatathe	526
9	NinjaKnifeKill	320
9	MousePlays	320
11	oxfordschool	281
12	Smoke____	234
13	Hyp3rion_	207
14	lillips	186
14	WyngGoy	186
16	CliffEmAll	184
17	Ezekson	171
18	BlancoFlaco	156
19	NameGenerat0r	139
20	MakeHistory157	128
21	titanlax	113
22	EcksD	105
23	SokaOtaku	99
24	ApophisNova	96
24	MyNamaSheff	96
26	Akoot_	91
27	lordpipe	74
28	Bandito_Roamer	73
29	Hiryu27	70
30	WET_WET_WET	69
30	Shogunite	69
32	ROY4LE	68
33	Kubelz	65
33	cedric72	65
35	Swexti	64
35	set67	64
35	egglapras	64
35	Awyrlas	64
35	emrekn	64
35	gcaisawesome	64
35	Snowflowe	64
35	Werbe	64
35	AssEatrAndLicker	64
44	XxCookiequeenxX	63
45	mwrty	60
46	joethahobo	57
47	jacxhadow	56
48	PhantomsGhost_	54
49	Parcc	48
50	The_SlideV5	46
51	Merv__	38
52	TheBiggestFeller	34
52	Fullut	34
52	Powowowow	34
55	Frozil12	33
56	masskedman	32
57	teslawolf38	30
58	CoffeeNoir	28
58	Kakolbus	28
58	Soplight	28
61	RodSerlingCringe	27
62	Dali1465	24
63	Inbefour	21
64	Natty	20
65	TheShyPig	19
65	HellsSponge	19
67	KarlKaek	18
67	2Stout	18
69	BRRRN179	17
70	pintsizedrogue	16
70	rarrq	16
72	bloodbiter	13
73	loveseeker	11
73	Skomo	11
75	eitanzaki	10
75	livingdaydreams	10
75	Enderslayerxz3	10
78	sebastiensaborio	9
79	Historical_Sand	8
79	_Dean_123	8
79	thescout7	8
79	AJplaysMC_	8
79	marumochis	8
79	lcvezra	8
85	The_Dark_One_00	7
85	_naturell	7
85	Blu3beast	7
88	TheFlfthHorseman	6
88	Inchef	6
88	r123moore	6
88	SSytex_X	6
88	VentiHilton	6
93	Blackberry1310	5
93	Di_infiri	5
93	starbits140	5
93	Legendosh	5
97	6king6colt6	4
97	Mahoose	4
97	SuperPooch06	4
97	whoaluv	4
97	LargeCarl	4
97	UltraZombie	4
103	Jovaphobic	3
103	_Virify_	3
103	KartivGal	3
103	Leyna3	3
103	CalebDHawk	3
103	h2p_emrld	3
109	ProbablyNick	2
109	AuroraValkyrie	2
109	diamondgolem35	2
109	12Magner05	2
109	TheThomas69	2
109	SteveCraftBlocks	2
109	DarlaMeow	2
109	SammiWolfGirl	2
109	smogfrog	2
109	AstroLightz_	2
109	TechnoNinja64	2
120	squigglybones	1
120	Wooptey	1
120	H72l9w	1
120	Valoth	1
120	gabriels543	1
120	MangoTheFish	1
120	Skylord_Luke	1
120	EveryonesUncle	1
120	StitchCrashes	1
120	Freak_Genius	1
120	Bloo2406	1
120	Groundler	1
120	Airem_Core	1
120	Ze_BaronKrigler	1
120	stavgod	1
120	ayamefag	1
120	Kowcio_	1
120	fffMike	1
120	xorompole	1
