rank	username	minecraft:picked_up/minecraft:end_stone
1	12Magner05	35513
2	mwrty	33667
3	Smoke____	15888
4	PigDab	14130
5	WET_WET_WET	14120
6	NomadicRobin_	8925
7	iSammael	8745
8	MilleGrug	8544
9	lordpipe	7330
10	Rumpletaezer	6100
11	El_Jalapeno	5716
12	Blaiku	4920
13	Di_infiri	4796
14	joethahobo	4167
15	gcaisawesome	4023
16	TheShyPig	3900
17	TooManyDuck	3875
18	chipklip	3813
19	m_be9	3763
20	Blu3beast	3635
21	brofrickcheaters	3572
22	__TheNorseMan__	3471
23	thewindmillman	3331
24	Mahoose	3166
25	claivin	3162
26	ProbablyNick	3161
27	YungMaki	3033
28	yulgur1	2717
29	SpaceGrenadier	2543
30	sxc_	2482
31	DarkS0L	2293
32	Xclax101	2260
33	Arceus1975	2104
34	Mewar	2017
35	Myszoaz	1919
36	Ezekson	1905
37	Spacewardharpy7	1845
38	Zaridey	1824
39	beeperbeeper5	1792
40	Alteriity	1791
41	TheEnderman548	1776
42	MinttyFressh	1672
43	HellsSponge	1515
44	6king6colt6	1425
45	avalan64	1421
46	Racengan	1370
47	fanofbands101	1351
48	masskedman	1336
49	SuperPooch06	1327
50	501g	1309
51	AlexxO_o	1281
52	Strangemonkey71	1255
53	set67	1246
54	jnp_gaming	1203
55	Ender_Souls	1188
56	eitanzaki	1161
57	Freak_Genius	1142
58	Mr_Byzantine	1133
59	iHuntWeeaboos	1099
60	Enderslayerxz3	1079
61	pintsizedrogue	1068
62	Blackberry1310	948
63	_Karmaa	944
64	TheSecondLord	940
65	crying_wolf_13	938
66	kekhon	930
67	r123moore	896
68	EcksD	886
69	Kowcio_	874
70	ImpavidArcher	849
71	rarrq	783
72	PhantomsGhost_	764
72	Akoot_	764
74	Eraxa	754
75	elicobnoah	741
76	PlasticOtari	723
77	Hpdinosaur	721
78	bigstankyy	699
79	_Razar	669
80	AuroraSkies	656
81	500am	638
82	Segotep999	637
83	Incinere	636
84	gabriels543	629
85	NameGenerat0r	616
86	TechnoNinja64	602
87	Avermu	593
88	ROY4LE	570
89	Bumpy419	567
90	Razzgriz	559
91	laron58	549
92	Quaintster	544
93	ItsJWolff	531
94	TheTrueClipse	519
95	MissCeleste7	509
96	ElectricDragon81	499
97	PegLegPete93	496
98	Kijiki	471
99	SwooshBoi	464
100	oxfordschool	462
101	ssleepless	426
102	ShedJr_	417
103	voiding_	412
104	I_Am_Mushkin	404
105	lcvezra	401
106	RebelAndroid	397
107	TheDankPlatypus	396
108	peach0s	393
109	noam464	391
110	zorin123	383
111	ZaneABrain	382
111	Historical_Sand	382
111	SkateboardR6	382
114	eiC_	349
115	diggydog67	346
116	Marbz_	339
117	Hisiste	328
118	Zythose	314
119	ooga47	311
120	Iagoku	307
121	ProfessorBee	303
122	Donutt	302
122	Katthaj	302
124	Kubeusz2010	283
125	dabloons	282
125	MyNameIsJobo	282
127	Legendosh	281
128	RobotMinion101	272
129	mariominejedi	268
129	sp00ky_ghost977	268
131	Dedalus36	264
132	Sky_light_KING	261
133	striker90333	259
134	lizardfightclub	258
135	MightyWertu	255
135	MovingFish7	255
137	himak1	251
138	Covalents	244
139	SingedBread	241
140	Gary_	234
141	SellyZ	231
142	Nycteus_	220
143	T045RTY	215
144	ToastedGamingYT	213
145	fkGrim	210
146	Nicserso	208
147	DemTechAlpha	207
147	_k2x	207
147	Hermanni__	207
150	Chuglyfe	206
151	Jackattack53	205
151	EcksDofficial	205
153	SvenskaHugo	203
154	Shogunite	196
155	Bobby808	193
156	SaucyDark	184
157	Nagasaki_Riku	176
158	Deodorante	166
158	stahouo	166
160	livingdaydreams	164
161	Kakolbus	163
162	JuuustYeet	161
163	33sudo	158
164	FirsTimeGamingTV	147
165	SamZombie	145
165	Hiryu27	145
167	Maenara	144
167	Captain_Nasty	144
169	AlphaWolfPlaysMC	143
170	Awyrlas	137
171	Windo_licker	135
171	Hyp3rion_	135
173	UrbanPlanner1978	134
174	stellarjay	133
175	geekbird	130
176	jimintyy	126
176	bloodbiter	126
178	Steelynan	125
179	Batman922	124
179	HesDemonPants	124
