rank	username	minecraft:picked_up/minecraft:golden_helmet
287	H0UNDFRMH3LL	2
287	ECstardust	2
287	Sleek_Storm_721	2
287	Kegradigm	2
287	ImpavidArcher	2
287	BlancoFlaco	2
287	Hpdinosaur	2
287	Ryker	2
287	youhjjhhhjj	2
287	lorywithay	2
287	lotarp	2
287	CoffeeNoir	2
287	MLG_Kirby69	2
287	H72l9w	2
