rank	username	minecraft:picked_up/minecraft:lime_banner
1	SteveCraftBlocks	315
2	eitanzaki	50
3	beeperbeeper5	37
4	TechnoNinja64	32
5	Soplight	29
6	500am	21
7	SammiWolfGirl	18
8	YungMaki	17
9	Lez_	15
10	Huwulling	12
10	r123moore	12
10	Mattesco	12
10	Kowcio_	12
10	jnp_gaming	12
15	PaperCanvas	10
16	k_ce	9
16	Fullut	9
18	lillips	7
18	LexMakesHistory	7
20	T045RTY	6
20	Mahoose	6
20	kekhon	6
20	Kamflame10	6
20	Akoot_	6
25	SirUnderpants	5
25	Blackberry1310	5
25	Inbefour	5
28	M_Patata	4
28	valiSW	4
28	Reneedium	4
28	NameGenerat0r	4
28	lcvezra	4
33	Mr_Byzantine	3
33	teslawolf38	3
33	ShedJr_	3
33	joethahobo	3
33	Sleepy_Time_	3
33	Werbe	3
33	TheShyPig	3
33	pixelviolin	3
33	ZoomieZoomie	3
42	Merv__	2
42	Sleek_Storm_721	2
42	m_be9	2
42	MrExplorer	2
42	_Dean_123	2
42	noam464	2
42	Kakolbus	2
42	ApophisNova	2
42	AlexxO_o	2
42	luseis	2
42	MAns_44	2
42	fluddd	2
42	GravitySaint	2
42	Blaiku	2
42	MasterNueve	2
42	Eraxa	2
42	CalebDHawk	2
42	MyNamaSheff	2
42	xolstoi	2
61	pintsizedrogue	1
61	Frozil20	1
61	TAKrules	1
61	DuckTrip	1
61	HoltGrim	1
61	legal_tax_evader	1
61	hanaryheatwave	1
61	oscminus	1
61	Inconvenionce	1
61	LeGold	1
61	Ender_Souls	1
61	avalan64	1
61	claivin	1
61	Xclax101	1
61	MineMaster0012	1
61	Njensen7	1
61	ConnorDanky_	1
