rank	username	minecraft:picked_up/minecraft:dandelion
1	thewindmillman	164224
2	noam464	35335
3	PlasticOtari	5194
4	beeperbeeper5	3929
5	Smoke____	3691
6	joethahobo	3374
7	lordpipe	2684
8	lillips	2553
9	EveryonesUncle	1713
10	eitanzaki	1631
11	SpacesickPrism	1179
12	audiocracked	1045
13	Groundler	971
14	Inbefour	878
15	Quotary	826
16	Lez_	752
17	thescout7	747
18	pintsizedrogue	729
18	ROY4LE	729
20	MousePlays	701
21	WyngGoy	673
22	YungMaki	634
23	FreakGenius	608
24	Kakolbus	606
25	TheShyPig	593
26	Di_infiri	534
27	Mahoose	531
28	Lord_Jord	526
29	Warlord324	519
30	Snowflowe	502
31	DarlaMeow	478
32	KartivGal	472
33	Legendosh	467
34	El_Jalapeno	463
35	TechnoNinja64	436
36	ConnorDanky_	425
37	kekhon	412
37	HellsSponge	412
39	wwwwinnebagoooo	374
40	Steelynan	353
41	Werbe	346
42	LordSpeed37	341
43	xxPipperDipperxx	334
44	r123moore	331
45	Skylord_Luke	330
46	cedric72	324
47	00000000-0000-0000-0009-01ff0c3e5e4f	291
48	EMC_	288
49	Onennon	282
50	TheSecondLord	281
51	Xclax101	279
52	Weepingbiel	277
53	PeteO1995	275
54	JitteryJared2	266
55	PortlyPete69	256
56	ImpavidArcher	253
57	500am	251
57	Fullut	251
59	_Dean_123	247
60	Yatitay	244
61	Blackberry1310	243
62	m_be9	234
63	Crowman1	232
64	mihimihimihi	229
65	Huwulling	224
65	Nicserso	224
67	LeauVox4921	206
68	claivin	196
69	SuperPooch06	193
70	djancak	191
71	Groovy_MoonBird	187
72	xolstoi	186
73	Akoot_	182
74	SSytex_X	181
75	SammiWolfGirl	178
76	CoffeeNoir	177
76	Arceus1975	177
76	Rasmanden	177
79	Blaiku	171
80	Merv__	170
81	rarrq	166
82	burbankbuilder28	158
83	Smashic	157
84	luseis	155
84	sp00ky_ghost977	155
86	Sral7	153
87	anbbang	152
88	Wolverine4302	150
89	TheDankPlatypus	146
90	masskedman	144
90	Lowjinx	144
92	MattieHD	142
93	NatalieTW	141
94	Notta	136
94	Rumpletaezer	136
96	jnp_gaming	133
97	Spacewardharpy7	132
98	PhantomsGhost_	129
99	Wolf_Mauler_73	127
100	himak1	126
101	groofles	124
101	Fuad_R	124
103	lcvezra	123
104	Frozil20	122
105	hcb238	121
105	binman420	121
107	Wooptey	120
107	Kowcio_	120
109	SaintJosie	119
110	MovingFish7	113
111	SaucyDark	112
111	Njensen7	112
113	ApophisNova	110
113	MyNamaSheff	110
115	MyNameIsJobo	109
116	Bumpy419	105
116	PigDab	105
118	Ezekson	104
119	SellyZ	103
120	Dusk_95	100
121	AJplaysMC_	98
122	NomadicRobin_	97
122	fffMike	97
124	RoskobiOne	96
124	TheFlfthHorseman	96
124	The_slideV3	96
127	King_Pancake1	95
