rank	username	minecraft:picked_up/minecraft:polished_granite_slab
1	Smoke____	1745
2	joethahobo	1364
3	sebastiensaborio	862
4	AlphaWolfPlaysMC	739
5	beeperbeeper5	607
6	Doom_melon	417
7	Mahoose	389
8	Freak_Genius	384
9	TheThomas69	312
10	Merv__	306
11	valkam13	245
12	Hoid_the_Roamer	221
13	_Bguette_	201
14	Kakolbus	152
15	Ssor69	142
16	Lord_Jord	114
17	seramalen	101
18	_czarny	99
19	Stiar	98
20	kekhon	91
20	Racengan	91
22	EcksDofficial	88
23	Snowflowe	78
24	Legendosh	77
25	BobDeBouwer1337	70
26	fred870d	64
27	Winklepicker279	59
27	CalebDHawk	59
29	Frozil12	58
30	stellarjay	55
31	KarlKaek	54
32	SingedBread	51
32	Enderslayerxz3	51
34	HellsSponge	49
34	YungMaki	49
36	Jiminie	48
36	_Karmaa	48
38	pintsizedrogue	47
38	Onennon	47
40	ImpavidArcher	46
41	Werbe	45
41	AssEatrAndLicker	45
43	Ezekson	43
44	Quotary	42
45	Akoot_	34
46	ShedJr_	32
47	jacxhadow	30
48	Eraxa	27
49	DanTheBuilderino	26
50	NNikitas	24
51	_stets	21
52	awesomeoneme	20
53	Inbefour	19
54	r123moore	18
54	bpmm	18
56	youhjjhhhjj	17
57	mwrty	16
57	chipklip	16
59	ApophisNova	15
59	PigDab	15
59	SexcMf	15
59	MyNamaSheff	15
63	Soplight	14
64	BlankityMcBlank	13
65	Mr_Byzantine	12
65	NameGenerat0r	12
67	SaucyDark	11
67	Deerfoot	11
67	FGamerJ	11
70	Hpdinosaur	10
71	m_be9	9
72	Historical_Sand	8
72	Inchef	8
72	2Stout	8
72	TheShyPig	8
72	PlasticOtari	8
77	Groovy_MoonBird	7
78	eitanzaki	6
78	Tergandius	6
78	ProfessorDiaper	6
78	Matorz	6
82	himak1	5
82	Deathkob	5
82	claivin	5
82	Spacewardharpy7	5
86	the_fireminer	4
86	El_Jalapeno	4
86	VentiHilton	4
89	Fullut	3
89	pappaberg	3
91	Nesquiczek	2
91	Lukeee33	2
91	Kkanot	2
91	andy_rex	2
91	Drewen24	2
91	lillips	2
91	Meatlaugh	2
91	MyNameIsDakar	2
91	DarlaMeow	2
91	fluddd	2
91	_TCARREIRA_	2
91	laron58	2
91	jnp_gaming	2
104	SteveCraftBlocks	1
104	ItsAki_	1
104	TiborSterle	1
104	razorarctic	1
104	stahouo	1
104	tartanboy	1
104	Nicserso	1
