rank	username	minecraft:picked_up/minecraft:verdant_froglight
1	Hyp3rion_	5005
2	thewindmillman	4092
3	hanaryheatwave	980
4	Lez_	721
5	pintsizedrogue	227
6	RoskobiOne	158
7	Mr_Sun15	111
7	RoofTyler	111
9	q_wq	98
10	Smoke____	94
11	Enderxz3	67
12	CattSoup	65
13	luseis	63
14	ImpavidArcher	54
15	AlexxO_o	44
16	Jackattack53	40
17	Kowcio_	39
18	lordpipe	29
19	TheSecondLord	21
20	joethahobo	19
21	UCP_TheKingK	14
22	Jimb0nat0r	13
23	Legendosh	10
24	Crowman1	8
25	weabis	7
25	pixelviolin	7
27	k_ce	5
28	diamondgolem35	4
29	Mahoose	3
29	jessewegottacook	3
29	bearlystraight	3
29	MineMaster0012	3
29	RealGroot	3
34	Alteriity	2
34	12Magner05	2
34	Marbz_	2
37	Huwulling	1
37	beeperbeeper5	1
37	rarrq	1
37	MEMES4_LIFE	1
37	Fuad_R	1
37	3_Solar_3	1
37	wwwwinnebagoooo	1
37	ZoomieZoomie	1
