rank	username	minecraft:picked_up/minecraft:acacia_wood
1	Megarboh	380
2	Manaateee	338
3	Legendosh	272
4	corvidpartyfor6	134
5	fffMike	127
6	4774	122
7	Elastiq	120
8	fade_emerge78823	104
8	fkGrim	104
10	luseis	92
11	Mahoose	89
12	beeperbeeper5	86
13	Apollo_993	82
14	AdmiralSmoke	81
15	Nicserso	80
16	eitanzaki	68
16	YungMaki	68
18	Onennon	55
19	ConnorDanky_	52
20	KingMatthew506	41
21	ImpavidArcher	36
22	Winklepicker279	29
23	jushykins	24
24	stellarjay	23
25	pintsizedrogue	21
26	NatalieTW	14
27	joethahobo	12
27	Ezekson	12
29	Kowcio_	11
30	Frozil20	9
31	Jonafrog99	8
31	AnnieBathory	8
33	_Bguette_	6
34	TheShyPig	5
34	Racengan	5
34	TheALV	5
37	Barjas	4
37	TheSecondLord	4
37	MS_Pryxx	4
37	Spacewardharpy7	4
41	Groovy_MoonBird	3
41	Merv__	3
41	SteveCraftBlocks	3
41	noam464	3
45	xXTheWolfmanXx	2
45	noodlepack	2
45	r123moore	2
45	Huic_ostiarius	2
45	TJawesome09	2
45	Lord_Zacler	2
45	_Ruzeeq_	2
52	SmashingPump	1
52	BodaciousCake	1
52	jessewegottacook	1
52	Dblikstad	1
52	Howertt	1
52	xxPipperDipperxx	1
52	Di_infiri	1
52	SuperPooch06	1
52	Rebytre	1
52	Hiryu27	1
52	RobotMinion101	1
52	BlankityMcBlank	1
52	Slapface522	1
52	TechnoNinja64	1
52	calamariclam_I	1
