rank	username	minecraft:picked_up/minecraft:oak_slab
1	Spacewardharpy7	8676
2	Mahoose	5234
3	Mr_Byzantine	4527
4	luseis	3608
5	FreakGenius	1987
6	TheShyPig	1882
7	AdmiralSmoke	1473
8	Lez_	1434
8	El_Jalapeno	1434
10	EveryonesUncle	1262
11	Ssor69	1202
12	Ezekson	1146
13	MyNameIsJobo	1133
14	hcb238	1131
15	HellsSponge	1026
16	thescout7	1016
17	AlphaWolfPlaysMC	946
18	Onennon	938
19	Hyp3rion_	908
20	Megarboh	905
21	MrExplorer	885
22	KingMatthew506	873
23	PlasticOtari	868
24	Legendosh	865
25	rarrq	839
26	PigDab	830
27	EMC_	800
28	diggydog67	770
29	Groovy_MoonBird	769
30	Burge_r	723
31	SSytex_X	670
32	Segotep999	655
33	Steelynan	634
34	MightyWertu	616
35	Huwulling	615
36	pintsizedrogue	567
37	fkGrim	553
38	seanitoo	539
39	Kakolbus	532
40	Lord_Jord	527
41	6king6colt6	511
42	CoffeeNoir	497
43	SammiWolfGirl	492
44	jacxhadow	485
45	_Dean_123	474
46	kekhon	461
47	Fildyr	459
48	AuroraSkies	454
49	ITDV	442
50	intropass	441
51	Snowflowe	417
52	fanofbands101	411
53	Akoot_	406
54	Gingayy	405
55	H0UNDFRMH3LL	397
56	Freedrik	396
57	BlancoFlaco	390
58	Rebytre	373
59	joethahobo	361
60	KarlKaek	360
61	Matemax	357
61	Hiryu27	357
63	m_be9	356
64	SteveCraftBlocks	354
64	ConnorDanky_	354
66	beeperbeeper5	349
67	Kowcio_	344
68	fr0stss	318
69	yaboo88	317
70	NoChumpChange	306
71	_Karmaa	289
72	Racengan	285
73	mwrty	280
74	eitanzaki	279
75	Cowison	275
76	Smashic	274
77	Winklepicker279	269
78	Mimiir345	268
78	Di_infiri	268
80	The11thDoctor	267
81	Stiar	266
81	FishyBoy3811	266
81	tsitrawhy	266
84	PortlyPete69	255
85	Quotary	253
86	CharlieButt	249
87	Jackattack53	246
88	Ecplosive	243
89	MixerDixer	238
90	BlankityMcBlank	236
91	KingFaenor	234
92	q_wq	231
93	xolstoi	230
94	ROY4LE	229
95	Merv__	227
96	YungMaki	226
97	DarkS0L	222
98	Manaateee	220
99	youhjjhhhjj	216
100	Choco_Spy	215
101	Lord_Zacler	214
101	Barlycorn	214
103	TheThomas69	206
103	BreadBacon	206
105	Eraxa	205
106	ProfessorBee	204
106	bndo	204
108	ReyTheLegend	201
108	CalebDHawk	201
110	Sqwishy	198
110	Sheldor097	198
112	diamondgolem35	195
112	07shiny	195
114	BodaciousCake	184
115	Blu3beast	179
116	Bumpy419	178
117	livingdaydreams	177
117	WyngGoy	177
119	Prodiginus	174
120	SaucyDark	173
120	Xclax101	173
122	PazinGaming	171
123	Sleepy_Time_	168
124	MovingFish7	166
125	xxPipperDipperxx	162
126	Z3braYTIL	161
127	MineMaster0012	159
128	whoaluv	156
128	__tomato	156
130	Kukkelikuk	155
131	KGTV	152
131	ItzYaBoiPicard	152
131	ogoa	152
134	ItsDeltaMC	151
135	JMK208	150
136	Blackberry1310	143
136	kyouma777	143
138	Fullut	139
138	lordpipe	139
140	GingerNeutron	135
141	anbbang	133
142	Rumpletaezer	131
143	Crowman1	128
