rank	username	minecraft:picked_up/minecraft:hanging_roots
1	pintsizedrogue	4458
2	luseis	1176
3	j5ylim	541
4	Yamdalorian	265
5	SteveCraftBlocks	191
6	Kowcio_	144
7	12Magner05	128
8	Mahoose	86
9	Manaateee	78
10	TheSecondLord	66
11	PlasticOtari	64
12	Enderxz3	38
13	Kakolbus	31
13	Spacewardharpy7	31
15	Skwillyum13	28
16	500am	21
16	hanaryheatwave	21
18	TheWickedBird	18
19	thewindmillman	17
20	Blackberry1310	14
21	_Dri_	12
22	Yahir091	11
23	2blox_	8
24	k_ce	7
25	Alteriity	5
26	_witch_craft_	4
26	shadowthemonkey	4
28	Sorry_Arey07	3
29	Arceus1975	2
29	pixelviolin	2
29	SammiWolfGirl	2
32	EMC_	1
32	skroobiez	1
32	SquadMonster	1
32	knarian	1
32	oscminus	1
32	Buuck_	1
32	SpacesickPrism	1
32	Nicserso	1
32	Spaghettatron	1
