rank	username	minecraft:picked_up/minecraft:grass_block
1	joethahobo	126696
2	Freak_Genius	63807
3	HellsSponge	57712
4	noam464	56044
5	beeperbeeper5	53773
6	Di_infiri	53601
7	Kakolbus	51626
8	Ezekson	49357
9	EveryonesUncle	44362
10	Sral7	41993
11	YungMaki	41914
12	Blackberry1310	37834
13	pintsizedrogue	34719
14	Mahoose	34049
15	El_Jalapeno	33473
16	awesomeoneme	30906
17	Werbe	29848
18	AssEatrAndLicker	29834
19	Cowison	27799
20	Blaiku	27682
21	lordpipe	26467
22	Smoke____	25176
23	emrekn	22703
24	gcaisawesome	22618
25	ApophisNova	22502
25	MyNamaSheff	22502
27	PigDab	22117
28	NoChumpChange	22025
29	sebastiensaborio	21582
30	m_be9	20804
31	Arceus1975	20538
32	Deathkob	20458
33	TheShyPig	19330
34	TheSecondLord	18657
35	EcksDofficial	17554
36	Quincannon	17194
37	lillips	14918
38	OtariCharlie	14758
39	TechnoNinja64	14405
40	Frozil12	12323
41	burbankbuilder28	12177
42	jnp_gaming	12167
43	Snowflowe	11550
44	Winklepicker279	10849
45	MyNameIsJobo	10793
46	Hyp3rion_	10739
47	Historical_Sand	10238
48	MightyWertu	10153
49	set67	9954
50	Soplight	9669
51	ProfessorBee	9532
52	_Karmaa	8679
53	Merv__	8496
54	picardred	8314
55	NameGenerat0r	8019
56	Onennon	7966
57	Kowcio_	7955
58	Jackattack53	7950
59	ShedJr_	7891
60	Incinere	7676
61	WyngGoy	7648
62	kekhon	7599
63	EMC_	7508
64	DemTechAlpha	7481
65	diggydog67	7427
66	DTwenty	7392
67	thewindmillman	7096
68	rarrq	6999
69	Eraxa	6979
70	eitanzaki	6911
71	500am	6845
72	Bumpy419	6542
73	FishyBoy3811	6541
74	cog	6493
75	stahouo	6148
76	_Dean_123	5946
77	Enderslayerxz3	5917
78	titanlax	5746
79	RebelAndroid	5568
80	fffMike	5493
81	oxfordschool	5283
82	Blu3beast	5180
83	NomadicRobin_	5064
84	r123moore	5039
85	Rumpletaezer	4917
86	_NieToksikpl_	4895
87	EcksD	4829
88	Winston_Ingram	4702
89	Swexti	4687
90	Luigipunch989	4683
91	Euclidoris	4614
92	Skylord_Luke	4560
93	fluddd	4331
94	Sky_light_KING	4259
95	Dusk_95	4188
96	K_a__a_n	4119
97	Akoot_	3988
98	Mewar	3984
99	Darkgon	3973
100	ImpavidArcher	3970
101	audiocracked	3903
102	Nicserso	3779
103	bigstankyy	3710
104	T045RTY	3692
105	Cortexia	3663
106	The_slideV3	3624
107	diamondgolem35	3503
107	Ssor69	3503
109	thescout7	3394
110	HesDemonPants	3335
111	Dreamdbr14	3304
112	Zythose	3252
113	Chromary	3226
114	YoshikageBites	3214
115	RobotMinion101	3174
116	Lord_Jord	3128
117	Spenduh	3117
118	SpaceGrenadier	3099
119	XxCookiequeenxX	3034
120	UncreativeArtist	3014
121	paranoid_plant	2927
122	Syropatathe	2744
123	TooManyDuck	2694
124	jcool7	2604
125	XboxPanda	2488
126	Hoid_the_Roamer	2474
127	stavgod	2413
128	Hermanni__	2294
129	Mistruth	2284
130	IAmTheWalrus910	2261
131	6king6colt6	2256
132	Sqwishy	2222
133	IWorkAtIkea	2182
134	12Magner05	2149
135	HolyVenom	2089
136	UrbanPlanner1978	2062
137	SlayerCrypto	2025
138	pixelviolin	1936
139	Groundler	1933
140	__tomato	1908
141	SUN_DREAM	1866
142	07shiny	1856
143	egglapras	1828
144	Inbefour	1763
145	claivin	1737
146	LexMakesHistory	1728
147	MilleGrug	1723
148	chipklip	1694
149	surfinggiraffejp	1687
150	gabriels543	1686
151	UltraZombie	1675
152	SeverianTheLame	1637
153	Hyugo	1590
154	2blox	1554
155	Kkanot	1545
156	ssleepless	1524
157	Drlzyy	1487
158	AuroraValkyrie	1480
159	ClemenPine	1439
160	Iagoku	1426
161	dragonsleger	1411
162	TheDankPlatypus	1377
163	geekbird	1350
164	Legendosh	1323
165	PhantomsGhost_	1308
166	Mr_Byzantine	1283
167	Cryptacity	1274
168	slkiey	1264
169	MangoTheFish	1227
170	JESS_THE_RERE	1224
171	KingMatthew506	1221
172	ayamefag	1217
173	__Fanda__	1208
174	PlzNoBM	1183
175	FishisTTV	1182
176	Spacewardharpy7	1143
177	Typadopoulos	1133
178	TheThomas69	1121
179	Billious	1106
180	xxPipperDipperxx	1096
181	mariominejedi	1079
181	MissCeleste7	1079
183	crying_wolf_13	1077
184	PortlyPete69	1051
185	Freedrik	1021
186	Warlord324	1009
187	_Virify_	987
188	himak1	960
189	oreee	956
190	RoyalDorrr	953
191	Soap_Bender	945
192	stellarjay	944
193	Zoeyfortnite	934
194	obzii	926
195	remmisrat	911
196	CoffeeNoir	871
197	JEWISHBadenBeele	869
198	mwrty	860
199	beeleg	836
200	Malorn_Aetherius	835
201	Cocoamallows	824
202	Comma__	782
203	gaziter10	777
204	NotMeowMix	764
205	Maenara	753
206	speenduhXD	749
207	RyuNeko932000	745
208	seanitoo	743
209	ROY4LE	738
210	Njensen7	736
211	Awyrlas	715
212	RadarHz	700
213	Powowowow	699
214	DarlaMeow	689
215	CueMix	668
216	Queen_Jalapeno	642
217	Nagasaki_Riku	635
218	jushykins	631
219	WET_WET_WET	618
220	GlitchyPlate810	614
221	layabout100	605
222	Jiminie	600
223	TheEnderman548	581
224	Groovy_MoonBird	574
225	yulgur1	555
226	q_wq	548
227	Factoroni	541
228	Fullut	517
229	Shogunite	512
230	WYFYoyo	506
231	MakeHistory157	505
232	DC_XII	499
233	_Bguette_	486
234	Zaridey	480
235	SammiWolfGirl	461
236	NotTrixi	458
237	djancak	441
237	lcvezra	441
239	SoftSix	432
240	MousePlays	424
241	nocturne78	423
242	MeetTheWollo	418
243	pappaberg	403
244	Gundam_Steven	397
245	OG_Songsee	390
245	AltnumberF4	390
247	whoaluv	376
248	ayqq	366
249	Truckoss	358
249	TheTrueClipse	358
251	bloodbiter	357
252	masskedman	352
253	MattieHD	350
254	noodlepack	349
255	TheMilkerOfCats	348
256	starbits140	345
257	Xalithia	340
258	gilesmcriles	333
259	freeandrew	332
260	CliffEmAll	330
260	DaviusMaximoose	330
262	Smiguli_	325
263	TheOuterCore	322
264	Racengan	319
265	Nicky19	312
266	_Nuf	310
267	Xclax101	301
268	BobDeBouwer1337	300
269	The_SlideV5	296
270	RodSerlingCringe	293
271	Z3braYTIL	289
272	M_Patata	288
273	jacxhadow	272
274	leaf26	271
275	Avrelion	259
276	ProfessorDiaper	251
277	NinjaKnifeKill	248
278	Hiryu27	245
279	Miko_Fullbuster	242
280	TinMaster	240
281	Sleek_Storm_721	239
282	SkateboardR6	238
283	KarlKaek	234
284	Babushka0430	233
285	MasterNueve	227
286	LAVA129	224
287	anbbang	223
288	SquadMonster	221
289	NotMeanttoChange	215
290	Drewen24	210
291	Eczbek	198
292	_Hayt	197
293	BlancoFlaco	195
294	Optiprimus	185
295	SaltineDream	184
296	MAns_44	182
297	Skippeh	177
298	Wowful	174
299	lizardfightclub	173
300	Inchef	170
