rank	username	minecraft:picked_up/minecraft:potion
1	noam464	1896
2	thewindmillman	1493
3	Racengan	994
4	Hyp3rion_	959
5	eitanzaki	906
6	Frozil12	840
7	Freak_Genius	744
8	Blaiku	591
9	Hoid_the_Roamer	557
10	500am	530
11	kekhon	458
12	jnp_gaming	444
13	beeperbeeper5	411
14	SammiWolfGirl	374
15	Mahoose	364
16	xxPipperDipperxx	358
17	Werbe	321
18	AssEatrAndLicker	319
19	Di_infiri	301
20	Smoke____	286
21	EcksD	281
22	Soplight	268
23	Akoot_	260
24	Eraxa	258
25	PhantomsGhost_	253
26	Arceus1975	243
27	pintsizedrogue	241
28	bloodbiter	237
29	KG1999	228
30	HellsSponge	224
31	Auseawesome	223
31	Fullut	223
33	joethahobo	208
34	TechnoNinja64	203
35	CalebDHawk	196
36	ProfessorBee	193
37	DarlaMeow	172
38	Kowcio_	168
38	Ezekson	168
40	YungMaki	154
41	rarrq	153
41	djancak	153
43	EveryonesUncle	150
44	T045RTY	149
45	pixelviolin	148
46	lillips	144
47	PigDab	137
48	masskedman	136
49	Spacewardharpy7	135
50	fred870d	131
51	TheSecondLord	128
52	Blackberry1310	127
53	SvenskaHugo	124
54	Inchef	121
55	diamondgolem35	119
56	lordpipe	112
57	Drlzyy	110
58	ImpavidArcher	107
58	Legendosh	107
60	mwrty	102
61	loveseeker	101
62	Chromary	96
62	TheShyPig	96
64	kinas45y5	95
65	monky_irl	88
66	6king6colt6	87
66	Awyrlas	87
68	Eczbek	85
69	NomadicRobin_	84
69	Xclax101	84
71	Hisiste	82
71	stellarjay	82
73	_Dean_123	78
74	chipklip	77
75	Enderslayerxz3	76
76	gcaisawesome	73
76	Hiryu27	73
78	teslawolf38	72
79	ROY4LE	66
80	_Bguette_	65
80	Ze_BaronKrigler	65
82	_Virify_	63
82	q_wq	63
82	jcool7	63
85	Historical_Sand	61
85	SlayerCrypto	61
87	lizardfightclub	59
87	Fildyr	59
89	Jovaphobic	57
89	Winston_Ingram	57
91	Snowflowe	55
91	Poppy235	55
93	Sral7	54
94	AlphaWolfPlaysMC	53
94	claivin	53
96	oxfordschool	52
97	gabriels543	50
97	Onennon	50
99	EMC_	49
99	sebastiensaborio	49
101	Blu3beast	48
101	Skippeh	48
103	_naturell	47
104	r123moore	46
105	KarlKaek	45
105	_Boipl_	45
105	Lord_Jord	45
105	Fuhrer_Teemo	45
109	m_be9	44
109	LordSpeed37	44
109	__tomato	44
109	stahouo	44
109	Hermanni__	44
114	Inbefour	43
114	MineMaster0012	43
116	Syropatathe	42
116	alderban107	42
118	CruncyIsTaken	41
118	ItzWqlfy	41
120	EcksDofficial	40
121	WyngGoy	38
122	ratglock	36
122	Sky_light_KING	36
122	fluddd	36
122	MakeHistory157	36
122	LeeMcGee30	36
127	Groovy_MoonBird	35
127	Merv__	35
127	Zythose	35
127	Quaintster	35
131	egglapras	33
131	WET_WET_WET	33
133	I_Am_Mushkin	32
133	jushykins	32
135	SteveCraftBlocks	30
136	Kkanot	29
136	lcvezra	29
138	FishyBoy3811	28
138	Nagasaki_Riku	28
140	12Magner05	27
140	_Karmaa	27
140	Shogunite	27
140	PlasticOtari	27
144	Dedalus36	26
145	Sleek_Storm_721	25
145	paranoid_plant	25
145	Maenara	25
145	El_Jalapeno	25
149	CliffEmAll	24
149	thescout7	24
149	MyNameIsJobo	24
149	Bumpy419	24
149	Joestra	24
149	laron58	24
155	RodSerlingCringe	23
156	Deathkob	22
156	censorsheep	22
156	MightyWertu	22
159	Zoeyfortnite	21
160	Myszoaz	20
160	XboxPanda	20
160	Parcc	20
160	MovingFish7	20
164	Incinere	19
164	LoboTheLobster	19
164	CheifJumbo	19
164	JayToe	19
168	RebelAndroid	18
168	NameGenerat0r	18
168	h2p_emrld	18
171	the_russell1611	17
172	error10101	16
172	Jackster03	16
172	SingedBread	16
175	Bandito_Roamer	15
175	ThePoliteG	15
175	set67	15
175	Ecplosive	15
175	HolyVenom	15
175	SkateboardR6	15
175	_TCARREIRA_	15
175	FishisTTV	15
183	awesomeoneme	14
183	ShedJr_	14
183	NotoriousNina	14
183	SuperPooch06	14
183	Rumpletaezer	14
183	ApophisNova	14
183	Groundler	14
183	PortlyPete69	14
183	ItsJunoIGuess	14
183	MyNamaSheff	14
183	WYFYoyo	14
194	Mr_Byzantine	13
194	FirsTimeGamingTV	13
194	slkiey	13
194	Xalithia	13
194	fr_ser	13
194	Jackattack53	13
194	Lil_Breadboy	13
194	Spenduh	13
194	obzii	13
203	himak1	12
203	M_Patata	12
203	Zaridey	12
203	Marbz_	12
207	dudcreeper	11
207	KingFaenor	11
207	eclipseboi	11
207	BilboBaggins23	11
207	Skomo	11
207	Leyna3	11
207	Babushka0430	11
207	Dusk_95	11
207	MasterNueve	11
207	diggydog67	11
217	SpaceGrenadier	10
217	jacxhadow	10
217	NotTrixi	10
217	KingEgg1	10
217	Luigipunch989	10
222	AuroraValkyrie	9
222	ssleepless	9
222	CoffeeNoir	9
222	Euclidoris	9
222	Ardennes	9
222	sandmire	9
222	Cambo5000	9
222	Flapjacker687	9
222	eiC_	9
222	trixterrx	9
222	Winklepicker279	9
222	LilyNova	9
222	seramalen	9
222	YungWali	9
222	FlashMigma	9
222	Vorlice	9
238	hm947	8
238	Paleshield	8
238	livingdaydreams	8
238	MSK__	8
238	TinMaster	8
238	crying_wolf_13	8
238	Mariopreeet	8
238	NotMeanttoChange	8
238	emrekn	8
238	__TheNorseMan__	8
238	2Stout	8
238	Norrhede	8
238	ooga47	8
238	Eerini	8
238	Wowful	8
238	proxivitoid	8
238	1442	8
238	ayamefag	8
238	Kyrum2169	8
238	_Yonk_	8
238	Dreamdbr14	8
238	Njensen7	8
260	TheBiggestFeller	7
260	lewieinnit	7
260	_AceOfSpace_	7
260	H72l9w	7
260	fr0stss	7
260	tramizu	7
260	Diavri	7
260	Kakolbus	7
260	RobotMinion101	7
260	Truckoss	7
260	Kynigito	7
260	gloryoftherain	7
260	xKhoshekh	7
260	sammidk	7
260	Littlest_Red	7
260	yulgur1	7
260	ydad	7
260	LetsDoItLive	7
260	33sudo	7
260	Strangemonkey71	7
260	KingMatthew506	7
260	MeetTheWollo	7
260	YoshikageBites	7
260	Amontillado	7
260	00000000-0000-0000-0009-01f532a65833	7
285	xXTheWolfmanXx	6
285	JingleLizi	6
285	Wooptey	6
285	KomputerDude	6
285	Cryptacity	6
285	AdvertisingMerc	6
285	Gofeeh	6
285	TableTim	6
285	King_Pancake1	6
285	SvenskaAlvar	6
285	LexMakesHistory	6
285	EfficientC52	6
285	GravitySaint	6
285	OG_Songsee	6
285	Kubeusz2010	6
285	TrollerYT	6
