rank	username	minecraft:picked_up/minecraft:warped_sign
1	Hyp3rion_	835
2	noam464	816
3	thewindmillman	185
4	12Magner05	150
5	Di_infiri	143
6	eitanzaki	135
7	Segotep999	127
8	Whiterooster001	100
9	gcaisawesome	82
10	Marbz_	78
11	EMC_	74
12	joethahobo	65
13	mihimihimihi	48
14	beeperbeeper5	46
15	EcksD	44
16	Mahoose	43
17	teslawolf38	34
18	Jackattack53	31
19	r123moore	26
20	lordpipe	23
21	Fullut	20
22	kekhon	19
22	cichy096	19
22	PlasticOtari	19
25	Merv__	17
25	SammiWolfGirl	17
25	Ezekson	17
28	Krasnal1337	16
28	rarrq	16
28	CliffEmAll	16
31	fluddd	15
32	pintsizedrogue	13
32	TheSecondLord	13
32	Blaiku	13
35	set67	12
35	EveryonesUncle	12
37	PigDab	11
37	HolyVenom	11
39	Spacewardharpy7	10
39	Enderslayerxz3	10
41	Smoke____	9
42	egglapras	8
42	Lutres_Torane	8
42	Eraxa	8
45	KG1999	7
45	Soplight	7
45	00000000-0000-0000-0009-01ff0c3e5e4f	7
48	ChosenBruh	6
48	djancak	6
50	Alteriity	5
50	Xalithia	5
50	Arceus1975	5
50	Kubeusz2010	5
54	eclipseboi	4
54	masskedman	4
54	sp00ky_ghost977	4
57	susbakaimpostor	3
57	Wooptey	3
57	Optiprimus	3
57	ZeroKraken	3
61	500am	2
61	_Kadian_	2
61	xxPipperDipperxx	2
61	TheWildMateo	2
61	Mattesco	2
61	Kokeech	2
61	Akoot_	2
61	NomadicRobin_	2
61	monky_irl	2
61	oxfordschool	2
61	Legendosh	2
72	nataliecool	1
72	BlancoFlaco	1
72	Blackberry1310	1
72	jacxhadow	1
72	MattieHD	1
72	_Dean_123	1
72	SuperPooch06	1
72	AmbroseForLife	1
72	iElijah	1
72	FishyBoy3811	1
72	IceeFireDragon	1
72	Jiminie	1
72	jake314810	1
72	DarlaMeow	1
72	Fuad_R	1
72	Freak_Genius	1
72	Decaying_Lotus	1
72	IdeallyGrey	1
72	guccipucci_	1
72	Quotary	1
72	Earlesstrain4	1
