rank	username	minecraft:picked_up/minecraft:green_stained_glass
1	Hyp3rion_	65002
2	hanaryheatwave	1728
3	Manaateee	1071
4	beeperbeeper5	996
5	Werbe	929
6	Spacewardharpy7	705
7	Quotary	599
8	stavgod	445
9	ImpavidArcher	437
10	EMC_	331
11	Alteriity	320
12	2blox_	297
13	Mattesco	263
14	pintsizedrogue	258
15	oreee	256
16	mwrty	142
16	Snowflowe	142
16	NameGenerat0r	142
19	Steelynan	141
20	Lez_	130
21	lordpipe	127
22	Eraxa	122
23	IamCL4SSY	113
24	joethahobo	106
25	noam464	80
26	TheShyPig	79
26	pretty_pink_reno	79
28	Kowcio_	73
29	eitanzaki	71
30	jnp_gaming	67
31	KingMatthew506	66
32	Blu3beast	64
32	ConnorDanky_	64
34	Di_infiri	61
34	Jackattack53	61
36	Arceus1975	58
37	TechnoNinja64	54
38	ROY4LE	52
39	Yamdalorian	51
40	Mr_Byzantine	49
40	okCrypto	49
42	ApophisNova	44
42	MyNamaSheff	44
44	Kakolbus	43
45	El_Jalapeno	36
45	Enderxz3	36
47	Freedrik	31
48	Blackberry1310	29
49	TheSecondLord	27
49	fluddd	27
51	Chromary	22
51	Sral7	22
53	Saucepeh	19
53	Maenara	19
55	heckface	17
55	Druid95	17
57	lorywithay	16
57	luseis	16
59	EcksD	15
60	rarrq	14
60	EveryonesUncle	14
62	_Nuf	12
62	Fullut	12
62	_Karmaa	12
65	_Dean_123	11
65	xxPipperDipperxx	11
67	_i_ERROR_i_	8
67	Jimb0nat0r	8
69	_Virify_	7
69	MSK__	7
69	GooseWithin	7
72	PazinGaming	6
72	Njensen7	6
74	Merv__	5
74	kekhon	5
74	HellsSponge	5
74	MAns_44	5
78	AuroraValkyrie	4
78	Hpdinosaur	4
78	Mahoose	4
78	SteveCraftBlocks	4
78	DTwenty	4
78	AspenLightVT	4
78	miramyu	4
85	SaucyDark	3
85	xzvu	3
85	Ezekson	3
85	TheWickedBird	3
89	CLG_Kata	2
89	Huwulling	2
89	titanlax	2
89	Onennon	2
89	Inbefour	2
89	Blaiku	2
89	Groundler	2
89	Kyrum2169	2
89	Soplight	2
89	Kubeusz2010	2
89	skitzxo	2
100	k_ce	1
100	RoskobiOne	1
100	Wooptey	1
100	ShedJr_	1
100	Pofen	1
100	Secret_Canary	1
100	Marbz_	1
100	MyNameIsJobo	1
100	thewindmillman	1
100	U_Mos_	1
100	oscminus	1
100	RobotMinion101	1
100	emreknugrlu	1
100	claivin	1
100	blackeemperor	1
100	pixelviolin	1
