rank	username	minecraft:picked_up/minecraft:polished_andesite_stairs
1	500am	433
2	Xclax101	391
3	EveryonesUncle	352
4	Inchef	332
5	Lord_Jord	322
6	beeperbeeper5	305
7	DemTechAlpha	298
8	burbankbuilder28	281
9	Legendosh	259
10	the_fireminer	255
11	Smoke____	252
12	Maenara	242
13	himak1	241
14	eviltunix	235
15	El_Jalapeno	234
16	Ezekson	216
17	Quotary	166
18	Cowison	165
19	kekhon	164
20	Ardennes	142
21	rarrq	128
22	SquadMonster	125
23	6king6colt6	122
23	CalebDHawk	122
25	lcvezra	121
25	VentiHilton	121
27	m_be9	118
28	EcksDofficial	104
29	Historical_Sand	102
30	SteveCraftBlocks	101
31	DarkS0L	94
32	AlphaWolfPlaysMC	91
32	Spacewardharpy7	91
34	xxPipperDipperxx	85
35	Enderslayerxz3	83
36	Mahoose	82
37	Groovy_MoonBird	79
38	HesDemonPants	78
39	layabout100	74
40	TheShyPig	72
41	jimintyy	70
42	Arceus1975	68
43	The_slideV3	63
44	MyNameIsDakar	62
44	sp00ky_ghost977	62
46	Sleek_Storm_721	60
46	Onennon	60
46	Meatlaugh	60
49	TechnoNinja64	56
50	diamondgolem35	55
51	CharlieButt	53
51	Akoot_	53
51	mawileite	53
54	Gooberkid223	52
55	lordpipe	51
56	joethahobo	47
56	Megarboh	47
56	Fuhrer_Teemo	47
56	_Karmaa	47
56	pixelviolin	47
61	Jackattack53	42
62	Dedalus36	40
63	Kowcio_	38
64	Comma__	37
65	pintsizedrogue	36
66	MyNameIsJobo	32
67	Ailmast	30
68	Skippeh	29
69	Merv__	28
69	youhjjhhhjj	28
71	seramalen	25
71	proxivitoid	25
71	Jamstroxian	25
74	ROY4LE	23
74	thewindmillman	23
74	Ajax6	23
74	Eraxa	23
78	AlazelTheReal	22
78	Frozil12	22
80	UncreativeArtist	21
80	XboxPanda	21
82	TheSecondLord	20
82	YungJakobo	20
84	Motsaro	19
84	Deathkob	19
84	Warlord324	19
84	07shiny	19
84	TheRealHi	19
89	Otto_chan	18
90	titanlax	17
91	impossibleteapot	16
91	Soplight	16
91	jnp_gaming	16
94	Cartoonmaniac	15
94	YungMaki	15
96	Matorz	14
96	alderban107	14
98	RoskobiOne	13
98	eitanzaki	13
98	NotMeanttoChange	13
98	valkam13	13
102	Jiminie	12
102	EcksD	12
104	SyK7	11
104	T045RTY	11
104	brycepants	11
104	yulgur1	11
104	cog	11
109	Tommhh	10
109	ooga47	10
109	MakeHistory157	10
109	Princesse_Louise	10
109	Steelynan	10
114	platinumzero	9
114	Chaotic1s	9
116	soundad	8
116	teslawolf38	8
116	Cryptacity	8
116	MattieHD	8
116	dedgt	8
116	ItsAki_	8
116	Inbefour	8
123	littlesophiagirl	7
123	Lukeee33	7
123	Natty	7
123	Kazekage	7
123	Di_infiri	7
123	fkndweeb	7
123	PortlyPete69	7
130	Devintronix	6
130	LotusProject	6
130	Freak_Genius	6
130	_Dri_	6
134	Myszoaz	5
134	TheThomas69	5
134	noam464	5
134	NarwhalTaco	5
134	HellsSponge	5
134	Racengan	5
134	Nicserso	5
134	Lowjinx	5
142	Blackberry1310	4
142	PegLegPete93	4
142	RobotMinion101	4
142	HolyVenom	4
142	Soap_Bender	4
142	Airem_Core	4
148	bigstankyy	3
148	Incinere	3
148	awesomeoneme	3
148	_Dean_123	3
148	Awyrlas	3
148	NoxxxxiS	3
148	SuperPooch06	3
148	_Boipl_	3
148	PigDab	3
148	LetsDoItLive	3
158	ryan521	2
158	fr0stss	2
158	egglapras	2
158	Winklepicker279	2
158	Hyp3rion_	2
158	Snowflowe	2
158	Zythose	2
158	Truckoss	2
158	MovingFish7	2
158	jcool7	2
168	seanitoo	1
168	The_Dark_One_00	1
168	q_wq	1
168	Houstonion	1
168	MrExplorer	1
168	Xalithia	1
168	dendydoom	1
168	The11thDoctor	1
168	HyperCave	1
168	XxCookiequeenxX	1
168	_Bguette_	1
168	NameGenerat0r	1
168	claivin	1
168	C0oOK13M0N5T3R	1
168	SingedBread	1
168	SexcMf	1
168	kyouma777	1
168	Dreamdbr14	1
168	Njensen7	1
168	KingMatthew506	1
168	bitsplease	1
168	Zoeyfortnite	1
