rank	username	minecraft:picked_up/minecraft:light_blue_concrete_powder
1	Hyp3rion_	10063
2	thewindmillman	1442
3	Frozil20	1385
4	Di_infiri	1136
5	iSammael	761
6	TheSecondLord	471
7	mwrty	241
8	ROY4LE	231
9	Mahoose	217
10	set67	192
11	RoofTyler	191
12	El_Jalapeno	186
13	YungMaki	161
14	_Dean_123	158
14	Enderxz3	158
16	Akoot_	131
17	claivin	125
18	Spacewardharpy7	124
19	LordSpeed37	111
20	Blaiku	108
21	lordpipe	85
22	lcvezra	80
23	ConnorDanky_	76
24	Dusk_95	64
25	SammiWolfGirl	62
26	r123moore	56
27	beeperbeeper5	53
28	bloodbiter	52
29	lillips	49
30	Maenara	48
31	Merv__	45
32	MightyWertu	42
33	Eraxa	38
34	peanutbader	37
35	diamondgolem35	36
35	Steelynan	36
37	Blackberry1310	34
38	Lord_Jord	32
39	Arceus1975	26
40	EMC_	25
41	Rumpletaezer	24
42	PlasticOtari	20
43	Fullut	18
44	joethahobo	17
45	_Virify_	15
45	the_russell1611	15
47	Itz_DuongVN	14
48	PazinGaming	12
49	Legendosh	11
50	SteveCraftBlocks	8
51	ssleepless	7
51	Dreamdbr14	7
53	jnp_gaming	6
54	eitanzaki	5
54	noam464	5
56	pintsizedrogue	4
56	TheShyPig	4
56	Iamthejo	4
56	bladeefan2009	4
60	Groovy_MoonBird	3
60	ImpavidArcher	3
60	gcaisawesome	3
60	HellsSponge	3
60	MakeHistory157	3
60	brofrickcheaters	3
60	Hermanni__	3
60	RoboTramp7865	3
60	Sral7	3
69	500am	2
69	fr_ser	2
69	Werbe	2
69	Onennon	2
69	luseis	2
69	Soplight	2
69	Jimb0nat0r	2
69	Smoke____	2
77	TheBiggestFeller	1
77	domon41c_2	1
77	Iagoku	1
77	T045RTY	1
77	Huwulling	1
77	Bumpy419	1
77	Chrisdeadeye	1
77	Blu3beast	1
77	Kowcio_	1
77	CalebDHawk	1
77	h2p_emrld	1
