rank	username	minecraft:picked_up/minecraft:dragon_breath
1	eitanzaki	438
2	TechnoNinja64	219
3	Di_infiri	195
3	Blu3beast	195
5	lillips	175
6	xxPipperDipperxx	174
7	ROY4LE	154
8	noam464	92
9	Akoot_	85
10	Jovaphobic	83
11	Tolhart	71
12	TheSecondLord	65
12	kekhon	65
12	Hyp3rion_	65
15	chipklip	64
16	Legendosh	61
17	PhantomsGhost_	59
17	r123moore	59
17	stavgod	59
20	Spacewardharpy7	58
21	Freak_Genius	49
22	Soplight	41
22	kinas45y5	41
24	Smoke____	39
25	gabriels543	38
26	Inchef	36
27	Comma__	32
28	33sudo	27
29	HellsSponge	22
30	joethahobo	20
30	Racengan	20
32	Inbefour	19
32	Eraxa	19
34	egglapras	17
35	rarrq	14
36	Wowful	9
36	Ezekson	9
38	Mahoose	7
38	__TheNorseMan__	7
38	thewindmillman	7
41	Chromary	6
41	OLookItsAnxiety	6
41	CSG_Haru	6
44	RodSerlingCringe	5
45	beeperbeeper5	4
45	Blackberry1310	4
45	m_be9	4
45	ApophisNova	4
45	The11thDoctor	4
45	alderban107	4
45	MyNamaSheff	4
52	Awyrlas	3
52	Rasmanden	3
52	wezzzi	3
55	jimintyy	2
55	Werbe	2
55	TheShyPig	2
55	claivin	2
55	MovingFish7	2
55	stahouo	2
55	jcool7	2
55	h2p_emrld	2
63	pintsizedrogue	1
63	dabloons	1
63	ItsColin11	1
63	numbra	1
63	Sleek_Storm_721	1
63	Incinere	1
63	Euclidoris	1
63	Jackattack53	1
63	SuperPooch06	1
63	Rumpletaezer	1
63	Maenara	1
63	censorsheep	1
63	lordpipe	1
63	Jij0	1
63	Kyrum2169	1
63	__tomato	1
63	lcvezra	1
63	Sheldor097	1
63	fffMike	1
63	EcksD	1
63	HesDemonPants	1
