rank	username	minecraft:picked_up/minecraft:glow_ink_sac
1	thewindmillman	49805
2	Lez_	2233
3	Mattesco	1353
4	lordpipe	1025
5	hanaryheatwave	919
6	EMC_	823
7	ITDV	733
8	Marbz_	712
9	Ezekson	707
10	Nicserso	687
11	Kowcio_	643
12	pintsizedrogue	598
13	non089	516
14	Legendosh	496
15	TheSecondLord	477
16	Hyp3rion_	454
17	pixelviolin	407
18	Jackattack53	372
19	k_ce	350
20	luseis	321
21	joethahobo	314
22	500am	310
23	TheBananaKat	305
24	12Magner05	303
24	Smashic	303
26	Enderxz3	280
27	Mahoose	236
28	Blackberry1310	235
29	Merv__	224
30	Kakolbus	216
31	Apollo_993	210
32	AdmiralSmoke	209
33	beeperbeeper5	206
34	Archsam	188
34	AlexxO_o	188
36	EveryonesUncle	185
37	PaperCanvas	184
38	Huwulling	178
39	00000000-0000-0000-0009-01ff0c3e5e4f	171
40	calamariclam_I	158
41	RebelAndroid	150
41	TheWildMateo	150
41	EtherealEspresso	150
44	diamondgolem35	149
45	Ryker	148
46	weabis	142
47	YungMaki	137
47	Segotep999	137
49	lunathelemon	133
50	ECstardust	128
50	mihimihimihi	128
52	Masssonnn	126
53	q_wq	124
54	MAns_44	121
55	TheALV	117
56	Hisiste	113
56	Quotary	113
58	IdeallyGrey	112
59	corvidpartyfor6	111
59	groofles	111
61	SteveCraftBlocks	110
62	NomadicRobin_	106
63	Alteriity	105
64	AuroraSkies	98
65	excelsionprime	96
66	Silvo614	94
66	Manaateee	94
68	poopybh	93
68	sp00ky_ghost977	93
70	_Nat666	87
71	Human_Resource	86
71	PlasticOtari	86
73	SuperPooch06	83
74	LeonelSalamanca	81
75	Mr_Byzantine	80
75	SingedBread	80
77	UCP_TheKingK	77
78	RoskobiOne	76
79	fffMike	75
80	Arceus1975	74
80	Fuad_R	74
80	StinkyDiplomat	74
83	Lutres_	73
83	wwwwinnebagoooo	73
85	Secret_Canary	71
86	CLG_Kata	70
87	obzii	67
88	ItsHydroMC	66
88	Spacewardharpy7	66
88	MilleGrug	66
91	Sleepy_Time_	65
92	Prismyst	64
93	QuiCreans	63
93	EngagedGrub41	63
95	WYFYoyo	62
96	oscminus	59
97	jessewegottacook	58
98	Rebytre	57
99	TheDankPlatypus	55
99	FreakGenius	55
101	MattieHD	54
102	Snowflowe	53
102	Samificator	53
104	Winklepicker279	52
105	ItsDeltaMC	51
106	CaracolCxnt	50
107	ConJaBz	48
108	ImpavidArcher	46
108	Spenduh	46
108	Steelynan	46
111	Jonafrog99	45
111	MustardSquid	45
111	Soplight	45
114	Frozil20	44
114	masskedman	44
116	SmashingPump	43
117	kalzor	42
117	Jimb0nat0r	42
119	NotRemets	41
119	Touched_Bread	41
119	noam464	41
122	MrKrabOnCoke	39
122	parodypatient	39
122	Invintic	39
125	Valoth	38
125	SlayerCrypto	38
125	shrimp_flips	38
128	Njensen7	37
129	JETrotter	36
130	zToasty69z	35
130	Avocadogerms	35
130	Blu3beast	35
133	TAKrules	33
133	Luminad3	33
133	SvenskaHugo	33
136	Lord_Jord	32
137	Killercatty78	31
137	lorywithay	31
137	fade_emerge78823	31
140	H0UNDFRMH3LL	30
140	hm947	30
140	Xalithia	30
140	KeruNatsema	30
144	YairZaki	29
144	Rocco_Lane	29
144	Moofyman	29
144	NATE_the_HALO	29
148	PazinGaming	28
148	Saltymart	28
148	CoffeeNoir	28
148	PigDab	28
148	RadarHz	28
153	gcaisawesome	27
153	ApophisNova	27
153	Dan_Scha	27
153	tsitrawhy	27
153	MyNamaSheff	27
158	chrolus	26
158	iSammael	26
158	Paguz01	26
161	Miroryk	25
161	StarCookiees_	25
163	Myszoaz	24
163	xPixelRainx	24
163	MinttyFressh	24
163	Inchef	24
163	Akoot_	24
163	Toriankel	24
163	Ossem	24
163	Skippeh	24
171	Pofen	23
171	mrnosetackle	23
171	JitteryJared2	23
171	_Boipl_	23
171	Elastiq	23
