rank	username	minecraft:picked_up/minecraft:dropper
1	Hyp3rion_	7474
2	noam464	4186
3	eitanzaki	2875
4	Jackattack53	2000
5	Awyrlas	1590
6	Di_infiri	1347
7	Eczbek	1033
8	thewindmillman	1016
9	HellsSponge	901
10	EcksD	861
11	thescout7	835
12	Eczbox	620
13	skitzxo	490
14	Werbe	415
15	Blaiku	369
16	ProfessorBee	322
17	mihimihimihi	313
18	Spacewardharpy7	285
19	m_be9	238
20	EMC_	185
21	PigDab	183
22	fffMike	182
23	FreakGenius	167
24	WyngGoy	161
25	Lez_	159
26	SoosAmongus	151
26	Soplight	151
28	Alteriity	149
29	kekhon	143
30	non089	134
31	Akoot_	132
32	sp00ky_ghost977	112
32	Jimb0nat0r	112
34	lordpipe	105
35	Arceus1975	104
36	MightyWertu	103
37	12Magner05	99
38	Legendosh	97
39	Deathkob	91
40	Yamdalorian	81
41	SteveCraftBlocks	80
42	Frozil20	77
43	El_Jalapeno	76
44	pixelviolin	70
45	_Mythic____	68
46	Shogunite	64
47	Fildyr	63
48	MyNameIsJobo	62
49	TheKingK_	60
50	r123moore	58
51	Inchef	52
52	Ryan_GEMS	49
53	pintsizedrogue	45
54	Archsam	44
54	Kakolbus	44
56	Fuad_R	42
57	Snowflowe	40
57	annebolyn	40
59	mariominejedi	39
59	PortlyPete69	39
59	FishisTTV	39
62	Historical_Sand	38
63	Kowcio_	37
64	MSK__	35
64	AstreaTSS	35
66	Eraza	34
67	Sral7	32
68	beeperbeeper5	31
69	TheSecondLord	28
69	KliBeast21	28
71	tsitrawhy	27
72	Mattesco	26
72	Lord_Jord	26
72	emreknugrlu	26
72	Groundler	26
72	Ezekson	26
77	Gus2005	25
77	ConnorDanky_	25
79	Hoid_the_Roamer	23
80	AlexxO_o	22
80	YungMaki	22
80	PlasticOtari	22
83	joethahobo	20
83	Zythose	20
83	EngagedGrub41	20
86	Apollo_993	19
86	ibarker21	19
86	TechnoNinja64	19
89	cedric72	18
89	yatsuta	18
89	jnp_gaming	18
92	Merv__	17
92	gcaisawesome	17
94	ImpavidArcher	16
94	eiC_	16
94	Inbefour	16
97	mwrty	15
97	Winklepicker279	15
97	BartekB19	15
100	_Huge_Male_	14
100	NotP0tato	14
100	Marbz_	14
100	Warlord324	14
104	Auseawesome	13
104	Fullut	13
104	U_Mos_	13
104	ReSynced	13
104	EveryonesUncle	13
104	StarCookiees_	13
110	IgnoredBee	12
110	Tmb1	12
110	selectrix	12
110	Maenara	12
110	IamCL4SSY	12
110	Blu3beast	12
110	Racengan	12
110	Barlycorn	12
110	obzii	12
119	Huwulling	11
119	Krowuss	11
119	TheShyPig	11
119	Manaateee	11
123	j5ylim	10
123	Scathra	10
123	Rumpletaezer	10
123	AspenLightVT	10
123	The_slideV3	10
123	MilleGrug	10
129	SmashingPump	9
129	Franco093	9
129	livingdaydreams	9
129	CarltheCuck	9
129	Onennon	9
129	fluddd	9
129	iSammael	9
129	Zoeyfortnite	9
137	Jindong	8
137	_Nuf	8
137	shadowthemonkey	8
137	oscminus	8
137	Quincannon	8
137	Steelynan	8
137	Quotary	8
144	_Virify_	7
144	diamondgolem35	7
144	Swexti	7
144	FishyBoy3811	7
144	Spenduh	7
144	CattSoup	7
144	Jordan_R	7
151	CLG_Kata	6
151	nattybears	6
151	Smashic	6
151	xxPipperDipperxx	6
151	TheDankPlatypus	6
151	Pumpkin_P_Patch	6
151	Dogcorn69420	6
151	CalebDHawk	6
151	Winston_Ingram	6
160	Mr_Byzantine	5
160	q_wq	5
160	bloodbiter	5
160	Paintz	5
160	M_Patata	5
160	SlayerCrypto	5
160	Hiryu27	5
160	luseis	5
160	MasterNueve	5
160	Segotep999	5
160	djancak	5
171	Gregward_Smith	4
171	Hydro___________	4
171	500am	4
171	lorpus	4
171	SellyZ	4
171	_8man	4
171	Olib3ar	4
171	LexMakesHistory	4
