rank	username	minecraft:picked_up/minecraft:warped_stairs
1	rarrq	442
2	kekhon	181
3	Smoke____	138
4	beeperbeeper5	119
5	pintsizedrogue	111
6	Enderslayerxz3	93
7	Marbz_	76
8	TheEnderman548	71
9	Akoot_	68
10	YungMaki	66
11	MyNameIsDakar	61
12	YoshikageBites	49
13	HolyVenom	47
14	Fullut	43
15	Eraxa	40
16	Ezekson	36
17	Mahoose	35
18	noam464	33
19	Legendosh	32
20	Lutres_Torane	27
21	Hpdinosaur	23
22	Hoid_the_Roamer	22
23	Werbe	21
23	AssEatrAndLicker	21
25	Lord_Jord	19
26	CalebDHawk	14
27	Nesquiczek	13
27	Xalithia	13
29	cwartzo	12
29	Optiprimus	12
31	BobDeBouwer1337	11
31	thewindmillman	11
33	TheSecondLord	9
34	Shogunite	8
34	Vegvisir	8
34	Decaying_Lotus	8
37	KarlKaek	7
37	EveryonesUncle	7
37	sebastiensaborio	7
37	PlasticOtari	7
41	12Magner05	6
41	PigDab	6
43	Kowcio_	5
44	Historical_Sand	4
44	SammiWolfGirl	4
46	Wooptey	3
46	Myszoaz	3
46	Jackattack53	3
46	LexMakesHistory	3
50	500am	2
51	eitanzaki	1
51	joethahobo	1
51	Blackberry1310	1
51	SteveCraftBlocks	1
51	CarltheCuck	1
51	SuperPooch06	1
51	ooga47	1
51	Freak_Genius	1
51	Hylo482y	1
51	diggydog67	1
