rank	username	minecraft:picked_up/minecraft:jungle_fence_gate
1	MyNameIsJobo	338
2	FreakGenius	257
3	xzvu	162
4	Mr_Byzantine	148
5	thewindmillman	135
6	PigDab	107
7	Jackattack53	64
8	Mahoose	58
9	Blaiku	57
10	Xalithia	49
11	Werbe	42
12	QuesoCrusaderIII	41
13	joethahobo	34
14	Soplight	32
15	Merv__	23
16	T045RTY	22
17	The_slideV3	19
18	eitanzaki	16
18	noam464	16
20	Zaridey	14
21	hermmm_	13
22	jcool7	10
23	luseis	9
24	Kim_Jong_eel	8
25	Felenov	7
25	Spacewardharpy7	7
27	The_SlideV5	6
28	Winklepicker279	5
28	Hyp3rion_	5
28	Njensen7	5
31	dimondking777	4
31	mwrty	4
31	Tyrannosplart	4
34	_Virify_	3
34	Incinere	3
34	thescout7	3
34	BronkerBrum	3
34	ItsAki_	3
34	Shortest_Man	3
34	MightyWertu	3
41	Apollo_993	2
41	500am	2
41	Smashic	2
41	Di_infiri	2
41	Gzrdy	2
41	fxiryglitch	2
41	El_Jalapeno	2
41	ItsDeltaMC	2
41	annebolyn	2
50	AuroraValkyrie	1
50	SaucyDark	1
50	MrKrabOnCoke	1
50	beeperbeeper5	1
50	Comma__	1
50	oscminus	1
50	Deathkob	1
50	JESS_THE_RERE	1
50	_Karmaa	1
50	claivin	1
50	_Mythic____	1
50	YungMaki	1
50	Steelynan	1
50	Legendosh	1
50	TechnoNinja64	1
50	PlasticOtari	1
50	00000000-0000-0000-0009-01f9013b764e	1
