rank	username	minecraft:picked_up/minecraft:flint_and_steel
1	eitanzaki	124
2	noam464	64
3	Freak_Genius	44
4	Spacewardharpy7	41
5	__Auspicious	35
6	El_Jalapeno	32
7	lordpipe	31
8	Werbe	28
8	AssEatrAndLicker	28
10	Legendosh	23
10	Smoke____	23
12	stahouo	21
12	EcksD	21
14	beeperbeeper5	20
14	rarrq	20
16	Di_infiri	19
17	ProfessorBee	16
17	Akoot_	16
19	kekhon	15
19	HellsSponge	15
19	Frozil12	15
22	PhantomsGhost_	14
23	EcksDofficial	13
24	Groovy_MoonBird	12
24	Blackberry1310	12
24	breadbowlgamer	12
24	Ezekson	12
24	jnp_gaming	12
29	mwrty	11
29	Rumpletaezer	11
29	Blu3beast	11
32	thewindmillman	10
32	Blaiku	10
34	pintsizedrogue	9
34	SyK7	9
34	Dedalus36	9
34	ROY4LE	9
34	Hyp3rion_	9
34	EveryonesUncle	9
40	chipklip	8
40	Kowcio_	8
40	lcvezra	8
40	PortlyPete69	8
40	fffMike	8
40	TechnoNinja64	8
46	Eraxa	7
46	Soplight	7
48	ImpavidArcher	6
48	Wooptey	6
48	ABUSNA1996	6
48	xxPipperDipperxx	6
48	SullyhS	6
48	loveseeker	6
48	Bumpy419	6
48	ooga47	6
48	KliBeast21	6
48	ayamefag	6
48	Kyrum2169	6
48	Enderslayerxz3	6
48	Sral7	6
61	Natofthese	5
61	T045RTY	5
61	MSK__	5
61	H72l9w	5
61	CliffEmAll	5
61	bloodbiter	5
61	12Magner05	5
61	Fullut	5
61	set67	5
61	Kakolbus	5
61	Arceus1975	5
61	TheShyPig	5
61	NameGenerat0r	5
61	fluddd	5
61	Airem_Core	5
61	Zoeyfortnite	5
61	h2p_emrld	5
61	diggydog67	5
79	abramgray	4
79	bigstankyy	4
79	awesomeoneme	4
79	joethahobo	4
79	Ssor69	4
79	m_be9	4
79	MattieHD	4
79	eviltunix	4
79	Chromary	4
79	Onennon	4
79	Kynigito	4
79	PigDab	4
79	yulgur1	4
79	fkGrim	4
79	censorsheep	4
79	KG1999	4
79	starbits140	4
79	sebastiensaborio	4
97	nataliecool	3
97	SaucyDark	3
97	Incinere	3
97	ewsophie	3
97	Natty	3
97	Reamdin	3
97	Euclidoris	3
97	Malorn_Aetherius	3
97	Awyrlas	3
97	Winklepicker279	3
97	Zythose	3
97	jewbacaman	3
97	fxiryglitch	3
97	KeruNatsema	3
97	Maenara	3
97	Wowful	3
97	lillips	3
97	The_slideV3	3
97	Quaintster	3
97	Groundler	3
97	Racengan	3
97	MovingFish7	3
97	AvaRosey	3
97	djancak	3
97	Dogcorn69420	3
97	jcool7	3
97	KingMatthew506	3
97	alderban107	3
97	laron58	3
97	OfficerAnvil	3
97	Quotary	3
97	AltnumberF4	3
97	Powowowow	3
97	WYFYoyo	3
97	FishisTTV	3
132	_Virify_	2
132	zqw10k	2
132	soundad	2
132	Drlzyy	2
132	6king6colt6	2
132	KarlKaek	2
132	diamondgolem35	2
132	RatatJuice	2
132	_Razar	2
132	Seyaboy	2
132	Mahoose	2
132	SpaceGrenadier	2
132	Historical_Sand	2
132	titanlax	2
132	TheSecondLord	2
132	jushykins	2
132	wiqor	2
132	Kkanot	2
132	UncreativeArtist	2
132	thescout7	2
132	NotMeanttoChange	2
132	himak1	2
132	LotusProject	2
132	Inchef	2
132	2Stout	2
132	WWWWMWWWWWWWWWWW	2
132	r123moore	2
132	ayqq	2
132	CollinMH06	2
132	Windo_licker	2
132	SuperPooch06	2
132	yaboo88	2
132	msJabberwock	2
132	ApophisNova	2
132	theofiel	2
132	ColourfulAfrican	2
132	lizardfightclub	2
132	HoldThatPee	2
132	RodSerlingCringe	2
132	Gryglu583	2
132	NoChumpChange	2
132	MyNameIsDakar	2
132	_Karmaa	2
132	MightyWertu	2
132	_k2x	2
132	SadRedstone	2
132	Warlord324	2
132	Dusk_95	2
132	CheifJumbo	2
132	Cocoamallows	2
132	ElectricDragon81	2
132	LordSpeed37	2
132	stavgod	2
132	YungMaki	2
132	Seindi	2
132	Sheldor097	2
132	Hermanni__	2
132	Rainaldus	2
132	Kubeusz2010	2
132	TheOnlyRake	2
132	RadarHz	2
132	BreadBacon	2
132	MyNamaSheff	2
132	HesDemonPants	2
132	aubergined	2
132	CrazyPotater	2
132	Freedrik	2
199	TheBiggestFeller	1
199	rats_life	1
199	SaltineDream	1
199	tgamemode	1
199	SugarMyNuggets	1
199	seanitoo	1
199	heysushii	1
199	Crowvens	1
199	dudcreeper	1
199	xyct	1
199	Cowison	1
199	JEWISHBadenBeele	1
199	Paint	1
199	teslawolf38	1
199	Ilinca_Io	1
199	EMC_	1
199	I_Am_Mushkin	1
199	error10101	1
199	ExtraDumb	1
199	ssleepless	1
199	F0mpel	1
199	hm947	1
199	Vynser	1
199	openatheclose	1
199	livingdaydreams	1
199	Kuragari_	1
199	ivorico	1
199	Hormones	1
199	peach0s	1
199	ShedJr_	1
199	gaziter10	1
199	FirsTimeGamingTV	1
199	DirtyDalle	1
199	Prodiginus	1
199	TinMaster	1
199	picardred	1
199	dopplexd	1
199	Khelvoryk	1
199	InfernalMound	1
199	Auseawesome	1
199	ratglock	1
199	shdesolt	1
199	firesgal3116	1
199	jacxhadow	1
199	MoistEggo	1
199	Vadanite	1
199	TheThomas69	1
199	Guillemet	1
199	_Nuf	1
199	TheDiamondCG	1
199	500am	1
199	CyrusIsTired	1
199	G1ldor	1
199	redikul	1
199	Cambo5000	1
199	GLLogan2	1
199	beeleg	1
199	Tenns	1
199	Ithaca_GC	1
199	SellyZ	1
199	Diavri	1
199	hcb238	1
199	gcaisawesome	1
199	VanJosh	1
199	noyan121	1
199	FalconOW	1
199	Kubelz	1
199	arcanemagic	1
199	Avrelion	1
199	IronyMan69	1
199	Eman__1	1
199	__Fanda__	1
199	fr_ser	1
199	GamingStyle325	1
199	gabriels543	1
199	Jackattack53	1
199	AJplaysMC_	1
199	mofojojo	1
199	burbankbuilder28	1
199	V2Loon	1
199	AnnieBathory	1
199	MaGro2010	1
199	andy_rex	1
199	MangoTheFish	1
199	Billious	1
199	Proxy_Man	1
199	DAD_1996	1
199	grislgrobl	1
199	CaptainDeadBread	1
199	Corbsman	1
199	selectrix	1
199	DeeDeeThonk	1
199	Truckoss	1
199	fred870d	1
199	superGamerBoy_	1
199	Skomo	1
199	TTNG	1
199	OtariCharlie	1
199	Kim_Jong_eel	1
199	SkyHighSkier	1
199	sxc_	1
199	Sky_light_KING	1
