rank	username	minecraft:picked_up/minecraft:waxed_cut_copper
1	Mattesco	1663
2	Solar_Power	379
3	TheSecondLord	308
4	Mr_Byzantine	247
5	_Huge_Male_	185
6	12Magner05	184
7	Jimb0nat0r	155
8	hanaryheatwave	151
9	TheKingK_	122
10	Lez_	71
11	HUNTERmaun	54
12	beeperbeeper5	51
13	TheWickedBird	31
14	PlasticOtari	28
15	Kowcio_	11
16	Smashic	9
17	EMC_	8
18	PazinGaming	7
18	luseis	7
20	Huwulling	6
20	fragrantmonke444	6
22	pintsizedrogue	5
22	ScootOfBoot	5
22	Yamdalorian	5
25	Lord_Jord	4
25	Steelynan	4
27	Myrulfan3	2
28	Touched_Bread	1
28	Reneedium	1
28	Krowuss	1
28	Thunder_bird4337	1
28	Soplight	1
