rank	username	minecraft:picked_up/minecraft:pink_wool
1	noam464	73341
2	joethahobo	65783
3	thewindmillman	57860
4	EcksD	13583
5	skitzxo	8954
6	xxPipperDipperxx	6076
7	eitanzaki	4553
8	Hyp3rion_	4186
9	EMC_	3481
10	Lord_Jord	3463
11	beeperbeeper5	2741
12	mwrty	2608
13	QuiCreans	2423
14	Werbe	2255
15	crashomon	1839
16	Yamdalorian	1774
17	Jimb0nat0r	1773
18	Spacewardharpy7	1759
19	HellsSponge	1467
20	hermmm_	1156
21	YungMaki	1128
22	AlexxO_o	1021
23	Iamthejo	802
24	BlancoFlaco	748
25	pretty_pink_reno	733
26	Racengan	638
27	Ezekson	619
28	Lez_	616
29	Inbefour	577
30	TechnoNinja64	465
31	SvenskaHugo	451
32	Frozil20	448
33	jnp_gaming	431
34	djancak	415
35	FreakGenius	403
36	Alteriity	373
37	EveryonesUncle	361
38	Wooptey	336
39	El_Jalapeno	325
40	paranoid_plant	320
40	luseis	320
42	Huwulling	309
43	SammiWolfGirl	306
44	CliffEmAll	304
45	lordpipe	270
46	Mr_Byzantine	263
47	FishyBoy3811	256
48	The11thDoctor	249
49	PeteO1995	230
50	monky_irl	227
51	ImpavidArcher	217
52	myaccountwasgone	206
53	Blaiku	205
54	Motsaro	204
55	500am	202
56	Onennon	197
57	Blu3beast	192
58	TheKingK_	182
58	ConnorDanky_	182
60	hm947	178
61	ShedJr_	176
62	Crowman1	169
63	annebolyn	162
64	Manaateee	160
65	Reneedium	158
66	_Huge_Male_	148
67	Legendosh	140
68	mariominejedi	129
68	NomadicRobin_	129
70	JackyKwacky	128
71	Sheldor097	125
72	nattybears	121
73	Blackberry1310	116
74	ProfessorBee	114
75	Tyrannosplart	111
76	Kynigito	108
77	hollowww	105
78	Sleepy_Evelyn	103
79	4774	100
80	PazinGaming	94
81	Boboczus	91
82	whoaluv	85
83	k_ce	83
83	Di_infiri	83
85	Lutres_	77
86	Mattesco	70
87	Boipl	68
88	bl1ss0	67
89	fanofbands101	64
89	Swexti	64
89	ZigzagLily43042	64
89	Deathkob	64
89	Kowcio_	64
94	Comma__	58
94	Buuck_	58
96	Arceus1975	57
97	Hpdinosaur	56
98	Fullut	47
99	Kura2218	46
99	__tomato	46
101	pintsizedrogue	45
101	Bumpy419	45
101	Afinnity	45
101	PlzNoBM	45
105	StarCookiees_	44
106	TheEnderMan548	42
107	Reamdin	41
107	KingMatthew506	41
109	KarlKaek	40
109	Tersea_	40
111	Rumpletaezer	34
112	_Dean_123	33
112	MindyDooWho	33
112	LordAurum	33
115	MortimerGaming	32
116	Segotep999	31
117	Kateesaur	26
118	AvaRosey	25
119	Tobinator_007	24
120	Zee_zey	23
120	legal_tax_evader	23
122	SpacesickPrism	22
123	dabloons	21
123	blackeemperor	21
123	censorsheep	21
126	Barlycorn	20
127	Smashic	19
128	Mercadies	17
128	CattSoup	17
130	Zaridey	16
131	Mahoose	15
131	PercivalCaduceus	15
131	corvidpartyfor6	15
131	RadarHz	15
131	Earlesstrain4	15
136	obzii	14
137	SaucyDark	12
137	Maenara	12
137	lunkuku	12
137	Quotary	12
141	oscminus	11
141	claivin	11
143	Ozixar	10
143	NameGenerat0r	10
143	mountaingirl311	10
143	Enderxz3	10
147	TheSecondLord	9
147	U_Mos_	9
147	KeruNatsema	9
147	Russiancat1	9
147	LexMakesHistory	9
152	BPTY4618	8
152	kekhon	8
152	SirPiccardo	8
152	LilyNova	8
152	BumbleBeever	8
157	CoffeeNoir	7
157	hanaryheatwave	7
157	RobotMinion101	7
157	420BreadLizard	7
161	ewsophie	6
161	Jackattack53	6
161	Snowflowe	6
161	Olib3ar	6
161	handsome_strong	6
161	GravitySaint	6
161	CalebDHawk	6
161	Steelynan	6
169	6king6colt6	5
169	Archsam	5
169	mimbo1211	5
169	yheece	5
169	Rickergaming	5
169	queenalina123	5
175	gaziter10	4
175	MinttyFressh	4
175	MattieHD	4
175	Secret_Canary	4
175	BilboBaggins23	4
175	Xalithia	4
175	Chromary	4
175	corpsecity	4
175	PigDab	4
175	Leyna3	4
175	ogoa	4
175	Lord_Zacler	4
175	ese_wn_po	4
175	Ze_BaronKrigler	4
175	Eraxa	4
175	AssFullaCum	4
175	KamFurnace	4
192	seanitoo	3
192	Travasaur	3
192	dudcreeper	3
192	SmashingPump	3
192	Tjhodskins19	3
192	UncleDanDan	3
192	ehunt54	3
192	Kakolbus	3
192	CollinMH06	3
192	burbankbuilder28	3
192	ApophisNova	3
192	Skomo	3
192	Groundler	3
192	taengoos	3
192	MyNamaSheff	3
207	SyK7	2
207	teslawolf38	2
207	Jindong	2
207	GingerNeutron	2
207	SteveCraftBlocks	2
207	M_Patata	2
207	shadowthemonkey	2
207	SuperPooch06	2
207	RyuNeko932000	2
207	Cruncy_	2
207	epiksk8erduck	2
207	Akoot_	2
207	AspenLightVT	2
207	Katthaj	2
207	Dakar_	2
207	Quaintster	2
207	MasterNueve	2
207	ayamefag	2
207	mobunni	2
226	SugarMyNuggets	1
226	Bandito_Roamer	1
226	Ghosthy_	1
226	ECstardust	1
226	q_wq	1
226	AverageGorg	1
226	rachcl	1
226	ColeSnyder	1
226	Flores991	1
226	RebelAndroid	1
226	jimintyy	1
226	KomputerDude	1
226	_AceOfSpace_	1
226	titanlax	1
226	5aces1211	1
226	Scathra	1
226	Awyrlas	1
226	Eraza	1
226	r123moore	1
226	imcombxt	1
226	Winklepicker279	1
226	Marbz_	1
226	Krowuss	1
226	TheShyPig	1
226	yulgur1	1
226	Mweems	1
226	Fuad_R	1
226	BigCronkin	1
226	Toriankel	1
226	_Mythic____	1
226	IdeallyGrey	1
226	bloomkieren	1
226	Pumpkin_P_Patch	1
226	Soplight	1
226	Spenduh	1
226	xzvu	1
226	Kiki_Majiki	1
226	00000000-0000-0000-0009-01faf4342590	1
