rank	username	minecraft:picked_up/minecraft:jungle_sapling
1	thewindmillman	8777
2	Smoke____	8240
3	Spacewardharpy7	7653
4	Hyp3rion_	2058
5	Blackberry1310	1440
6	Di_infiri	661
7	eitanzaki	593
8	EveryonesUncle	588
9	noam464	340
10	Steelynan	300
11	Historical_Sand	295
12	ROY4LE	277
13	beeperbeeper5	258
13	PigDab	258
15	Marbz_	257
16	mwrty	244
16	HellsSponge	244
18	Airem_Core	213
19	TechnoNinja64	207
20	Xalithia	198
21	Prodiginus	183
22	DemTechAlpha	180
23	Snowflowe	174
24	Bandito_Roamer	167
25	MyNameIsJobo	160
26	PeteO1995	159
27	WET_WET_WET	149
28	HesDemonPants	147
29	TheShyPig	143
30	titanlax	140
31	El_Jalapeno	129
32	eiC_	127
33	pintsizedrogue	113
34	kekhon	111
35	Inchef	110
36	Windo_licker	109
37	IWorkAtIkea	106
38	cedric72	105
39	Onennon	96
40	eviltunix	94
40	Winklepicker279	94
42	Soplight	87
43	Mahoose	84
44	_Virify_	83
45	KingMatthew506	80
46	gabriels543	78
46	MilleGrug	78
48	Freak_Genius	77
49	Blaiku	76
50	himak1	72
51	Thaumatarge	69
52	BlancoFlaco	65
53	Groovy_MoonBird	64
54	joethahobo	58
55	Cryptacity	55
56	Merv__	52
56	SaucyDark	52
56	Stiar	52
59	Kamflame10	50
60	ImpavidArcher	49
60	Comma__	49
60	Deathkob	49
60	Nycteus_	49
64	Lord_Jord	47
65	chrolus	46
65	Arceus1975	46
65	SvenskaHugo	46
68	RefluxRatio	45
68	Hoid_the_Roamer	45
68	Werbe	45
71	kinas45y5	41
72	oxfordschool	40
73	Sna_Ke	39
73	BronkerBrum	39
75	pixelviolin	37
76	KarlKaek	35
77	ooga47	34
77	Drawgirll	34
79	Frozil12	33
80	PegLegPete93	32
80	Groundler	32
80	OfficerAnvil	32
83	Akoot_	31
84	Ezekson	30
85	500am	29
86	07shiny	28
87	Jiminie	27
87	Xclax101	27
89	AuroraValkyrie	26
89	lordpipe	26
91	Toiton	25
92	SteveCraftBlocks	24
93	TAKrules	23
93	Bumpy419	23
95	hollowww	22
96	diamondgolem35	21
96	Swexti	21
96	lillips	21
96	YungMaki	21
96	RadarHz	21
101	PhantomsGhost_	20
101	Drlzyy	20
101	RodSerlingCringe	20
101	Factoroni	20
105	123louis456	19
105	RebelAndroid	19
105	MightyWertu	19
105	Barlycorn	19
105	Aezekial	19
110	TheSecondLord	18
