rank	username	minecraft:picked_up/minecraft:oak_wood
1	Bumpy419	3897
2	Spacewardharpy7	2002
3	Marbz_	1659
4	Hyp3rion_	835
5	Jackattack53	781
6	PazinGaming	478
7	Mahoose	317
8	Inbefour	296
9	Rebytre	213
10	ougstur	211
11	EveryonesUncle	196
12	Onennon	195
13	AdmiralSmoke	136
14	pintsizedrogue	128
15	eitanzaki	127
16	Kowcio_	124
17	Crowman1	120
18	rarrq	117
19	Blaiku	114
20	epiksk8erduck	111
21	kekhon	108
22	Akoot_	100
23	Werbe	88
24	Manaateee	74
25	oreee	70
26	ProbsNotNova	68
27	El_Jalapeno	65
28	Merv__	55
28	lordpipe	55
28	zOnlyKroks	55
31	master9067	48
32	luseis	46
33	beeperbeeper5	44
34	12Magner05	40
35	Mr_Byzantine	36
35	NieToksikpl	36
37	Ezekson	35
38	Legendosh	33
38	PlasticOtari	33
40	IWorkAtIkea	28
41	Cryptacity	27
42	Alphanzt99	25
42	Smashic	25
44	eclipseboi	23
44	__tomato	23
46	Arceus1975	21
46	Invintic	21
48	Luigipunch989	19
48	Jimb0nat0r	19
50	CollinMH06	18
50	Kouridragon	18
52	FirsTimeGamingTV	16
52	noam464	16
52	FennYuzuna	16
52	ApophisNova	16
52	MyNamaSheff	16
57	m_be9	15
57	MightyWertu	15
59	jessewegottacook	14
59	Quotary	14
61	Fullut	12
61	Zythose	12
63	EMC_	11
63	NomadicRobin_	11
63	Lutres_	11
63	Nicserso	11
63	calamariclam_I	11
68	JollyDroopy52	10
69	wiqor	9
69	SpacesickPrism	9
71	CalebDHawk	8
72	MixerDixer	7
72	Sorry_Arey	7
72	QuacksonThe3rd	7
72	SvenskaHugo	7
72	Heisenbberrg	7
77	_Huge_Male_	6
77	TheSecondLord	6
77	thescout7	6
77	ehunt54	6
77	owlcrush	6
77	floodjon	6
77	Maenara	6
77	GoofyBread	6
77	NinetyNick	6
86	SullyhS	5
86	dj1121	5
86	Skylord_Luke	5
86	Felenov	5
86	LetsDoItLive	5
86	PortlyPete69	5
92	thewindmillman	4
92	TheShyPig	4
92	_Mythic____	4
92	Soplight	4
96	joethahobo	3
96	marul1002	3
96	vampgey	3
96	Parcc	3
96	Romeom175	3
96	DASH_X7	3
96	__Auspicious	3
96	carbo_bro	3
96	MineMaster0012	3
96	jnp_gaming	3
96	h2p_emrld	3
107	6king6colt6	2
107	KarlKaek	2
107	Historical_Sand	2
107	500am	2
107	DataHawk2	2
107	LikeableSausage	2
107	M_Patata	2
107	SvenskaSara	2
107	AlexxO_o	2
107	ogoa	2
107	LibertyMutual	2
107	handsome_strong	2
107	DemTechAlpha	2
107	NameGenerat0r	2
107	MasterNueve	2
107	UCP_TheKingK	2
107	Moetis	2
107	ConnorDanky_	2
125	Groovy_MoonBird	1
125	Frozil20	1
125	Incinere	1
125	T045RTY	1
125	TheMaster972	1
125	Mimiir345	1
125	jacxhadow	1
125	SteveCraftBlocks	1
125	hanaryheatwave	1
125	iTurbo	1
125	DAD_1996	1
125	Forcolp	1
125	Ender_Souls	1
125	GooseWithin	1
125	Lord_Jord	1
125	LeonelSalamanca	1
125	JakobDylanC	1
125	DarlaMeow	1
125	1442	1
125	Western_1	1
125	OfficerAnvil	1
125	Wolverine4302	1
125	Oxygen16	1
125	Tristankill	1
