rank	username	minecraft:picked_up/minecraft:iron_block
1	Hyp3rion_	1968736
2	Jackattack53	150615
3	_Mythic____	109844
4	noam464	106256
5	EcksD	94200
6	Spacewardharpy7	54241
7	thewindmillman	54215
8	PigDab	26076
9	EMC_	19823
10	eitanzaki	17732
11	Blaiku	14287
12	Di_infiri	12880
13	HellsSponge	11642
14	mwrty	11356
15	Werbe	11192
16	lordpipe	10817
17	YungMaki	10558
18	joethahobo	10394
19	fffMike	9448
20	pixelviolin	9209
21	AdmiralSmoke	8451
22	thescout7	8415
23	EveryonesUncle	7626
24	beeperbeeper5	7610
25	Spenduh	6084
26	FreakGenius	5924
27	Ezekson	5296
28	Mahoose	4569
29	xolstoi	4467
30	Snowflowe	4338
31	TheSecondLord	4336
32	MilleGrug	4160
33	gcaisawesome	4144
34	pintsizedrogue	4016
35	Quotary	3954
36	ApophisNova	3942
36	MyNamaSheff	3942
38	CoffeeNoir	3861
39	Kakolbus	3610
40	12Magner05	3360
41	Blackberry1310	3325
42	Sral7	3274
43	Inchef	3146
44	Steelynan	3118
45	Frozil20	3106
46	Segotep999	3097
47	Jovaphobic	2963
48	kekhon	2885
49	Wowful	2785
50	luseis	2728
51	NameGenerat0r	2723
52	set67	2657
53	Iamthejo	2543
54	xzvu	2495
55	teslawolf38	2456
56	MightyWertu	2414
57	Jimb0nat0r	2378
58	Hermanni__	2294
59	Nicserso	2279
60	Marbz_	2189
61	Enderxz3	2174
62	Tyrannosplart	2135
63	obzii	2127
64	SpacesickPrism	2125
65	F_Uhre	2118
66	MyNameIsJobo	2023
67	Jimi7hits	2003
68	xxPipperDipperxx	1973
69	jcool7	1961
70	m_be9	1941
71	Mattesco	1917
72	_Nuf	1892
73	Merv__	1873
74	Winklepicker279	1807
75	Inbefour	1785
76	PortlyPete69	1783
77	Legendosh	1782
78	ROY4LE	1777
79	Skylord_Luke	1762
80	r123moore	1730
81	Swexti	1722
82	Skippeh	1702
83	PlasticOtari	1674
84	PazinGaming	1622
85	rarrq	1621
86	Shogunite	1591
87	MirielThePastor	1588
88	Zoeyfortnite	1586
89	Lord_Jord	1584
90	Krowuss	1571
91	ConnorDanky_	1516
92	TechnoNinja64	1483
93	q_wq	1466
94	fluddd	1458
95	Soplight	1454
96	Njensen7	1451
97	mihimihimihi	1446
98	mariominejedi	1431
99	WET_WET_WET	1430
100	Huwulling	1421
100	Blu3beast	1421
102	bigstankyy	1404
103	hanaryheatwave	1403
104	jnp_gaming	1369
105	groofles	1363
106	Hoid_the_Roamer	1339
107	lillips	1334
108	TheDankPlatypus	1318
109	Smashic	1311
110	Maenara	1303
111	Cowison	1296
112	Manaateee	1267
113	Awyrlas	1228
114	El_Jalapeno	1223
115	vandmanden	1221
116	gaziter10	1174
117	Nycteus_	1170
118	_Virify_	1150
119	Crowman1	1146
119	Strangemonkey71	1146
121	SuperPooch06	1130
122	ImpavidArcher	1117
123	catandmoose	1105
124	tuckerdoodle	1103
124	XboxPanda	1103
126	Historical_Sand	1091
127	Jonafrog99	1090
128	ZeroKraken	1067
129	TooManyDuck	1066
130	Lez_	1059
130	Corbsman	1059
132	Racengan	1058
132	__tomato	1058
134	Lutres_	1025
134	2blox_	1025
136	SkateboardR6	1009
137	ssleepless	987
138	ExtraDumb	956
139	weabis	945
140	PhantomsGhost_	942
141	alderban107	911
142	Kowcio_	909
143	Euclidoris	903
144	TheWildMateo	901
145	MoistMicrowave	894
146	NomadicRobin_	890
147	Elastiq	880
148	I_Am_Mushkin	874
149	Groovy_MoonBird	869
150	FishisTTV	852
151	Onennon	849
152	oscminus	830
152	claivin	830
154	Akoot_	827
155	Chromary	822
156	Fullut	816
157	Rumpletaezer	813
158	FishyBoy3811	800
159	HesDemonPants	798
160	Xclax101	794
161	Eraxa	789
162	Sheldor097	785
163	soundad	784
164	yheece	783
165	T045RTY	775
166	Arceus1975	774
167	stavgod	767
168	Rasmanden	766
169	Hisiste	745
170	little_dUki	738
171	The_slideV3	735
172	EngagedGrub41	734
173	_8man	731
174	GoofyBread	725
175	trexgb	724
176	Kyrum2169	707
177	ogoa	699
178	Incinere	694
178	h2p_emrld	694
180	iSammael	672
181	Zythose	655
182	SingedBread	652
183	Mewar	650
184	Badenbeele	639
185	LeeMcGee30	637
186	FelixPSY375	630
187	AlphaWolfPlaysMC	619
188	Soap_Bender	609
189	ProfessorBee	603
190	The_Quack_Dealer	598
191	lorpus	597
192	HolyVenom	586
193	RebelAndroid	583
194	UrbanPlanningEx	580
195	Solar_Power	579
196	SaphLaseer	577
196	wezzzi	577
198	MinttyFressh	569
199	RobotMinion101	566
200	ItsGrayWolf	553
201	anbbang	548
202	Rocco_Lane	539
203	himak1	536
204	SDMNAEK	531
205	lotarp	518
206	Aryamanee	512
207	MixerDixer	511
208	FirsTimeGamingTV	509
209	StinkyDiplomat	508
210	Airem_Core	504
211	non089	499
212	500am	494
212	Winston_Ingram	494
214	ElKaySVK	490
215	TheShyPig	484
216	ayamefag	481
217	DanTheBuilderino	473
218	SyntheticSurgeon	472
219	AuroraValkyrie	471
220	Gundam_Steven	462
221	Ssor69	460
222	lcvezra	446
223	_i_ERROR_i_	437
224	oreee	433
225	Z3braYTIL	432
226	TheThomas69	430
227	ECstardust	429
227	NoChumpChange	429
229	Syropatathe	422
230	CollinMH06	420
231	SexcMf	418
232	SellyZ	405
233	07shiny	401
234	diamondgolem35	387
235	Truckoss	382
236	mattybeewrapss	374
237	BumbleBeever	373
238	KliBeast21	371
239	jushykins	369
239	RIPB0ZO	369
241	Deodorante	365
242	eviltunix	364
243	skrongus	361
244	NinjaKnifeKill	359
245	AlexxO_o	358
246	ITDV	356
247	yulgur1	352
248	cog	348
249	ClemenPine	344
250	emrekn	342
250	Jonte0599	342
252	theonlymagikarp	341
253	Zedducius	339
253	Deathkob	339
255	pappaberg	333
255	MineMaster0012	333
257	Afinnity	331
258	H0UNDFRMH3LL	330
258	Eczbek	330
260	Mistruth	329
260	Powowowow	329
262	NatalieTW	328
262	YungWali	328
264	Hiryu27	326
