rank	username	minecraft:picked_up/minecraft:crying_obsidian
1	noam464	23591
2	eitanzaki	3363
3	thewindmillman	2849
4	CliffEmAll	2598
5	Di_infiri	2418
6	Blaiku	2278
7	beeperbeeper5	1702
8	PigDab	819
9	joethahobo	548
10	Smoke____	483
11	lillips	299
12	KG1999	270
13	Kakolbus	235
14	Spacewardharpy7	234
15	gcaisawesome	199
16	Mahoose	169
17	Racengan	168
18	Jackattack53	146
19	lordpipe	128
20	Eraxa	125
21	DScatgirls	111
22	diggydog67	108
23	Fullut	81
24	wwwwinnebagoooo	78
25	YungMaki	77
26	Hyp3rion_	73
27	mwrty	72
27	DarlaMeow	72
29	teslawolf38	70
30	Menthas	69
31	Winklepicker279	66
32	Ezekson	56
33	Hpdinosaur	54
34	Lord_Jord	53
35	EcksD	49
36	TheShyPig	47
37	pintsizedrogue	45
37	HellsSponge	45
39	Zythose	43
40	set67	42
41	kekhon	40
41	PlasticOtari	40
43	T045RTY	38
44	Historical_Sand	36
44	500am	36
44	Freak_Genius	36
47	Segotep999	35
47	Njensen7	35
49	fanofbands101	33
49	Rebytre	33
51	12Magner05	32
52	Kubeusz2010	31
53	Cowison	30
54	Legendosh	28
55	Blackberry1310	27
55	r123moore	27
57	TheSecondLord	25
57	Deathkob	25
57	IvarEXE	25
60	_Virify_	24
60	Sleek_Storm_721	24
62	rarrq	23
62	trexgb	23
64	jnp_gaming	22
65	livingdaydreams	21
66	trixterrx	20
66	Quotary	20
68	MakeHistory157	19
69	fred870d	18
69	AuroraSkies	18
69	Jiminie	18
72	monky_irl	17
72	SammiWolfGirl	17
74	__TheNorseMan__	16
75	Luigipunch989	15
75	CalebDHawk	15
77	lotarp	14
77	Frozil12	14
77	Optiprimus	14
80	ROY4LE	13
80	MineMaster0012	13
82	djancak	12
82	brofrickcheaters	12
84	tsitrawhy	11
84	oxfordschool	11
84	00000000-0000-0000-0009-01ff0c3e5e4f	11
87	fade_emerge78823	10
87	EveryonesUncle	10
89	NomadicRobin_	9
90	ShedJr_	8
90	Scathra	8
90	Akoot_	8
90	masskedman	8
94	Huwulling	7
94	Moyd_	7
94	censorsheep	7
94	Razzgriz	7
98	Groovy_MoonBird	6
98	Ardennes	6
98	Smashic	6
98	SlayerCrypto	6
98	Moofyman	6
98	Nycteus_	6
98	07shiny	6
98	fffMike	6
98	Miko_Fullbuster	6
98	Enderslayerxz3	6
98	EcksDofficial	6
109	hm947	5
109	lizardfightclub	5
109	MAns_44	5
109	Dusk_95	5
109	_Ruzeeq_	5
109	ItsDeltaMC	5
109	obzii	5
109	WYFYoyo	5
117	Travasaur	4
117	_Razar	4
117	RebelAndroid	4
117	Master_Kol	4
117	XboxPanda	4
117	TheDankPlatypus	4
117	Marbz_	4
117	whoaluv	4
117	Chromary	4
117	Snowflowe	4
117	JitteryJared2	4
117	_Boipl_	4
117	LexMakesHistory	4
117	_Karmaa	4
117	DeGodz4life	4
117	Eon_57	4
117	Decaying_Lotus	4
134	error10101	3
134	ImpavidArcher	3
134	NinjaKnifeKill	3
134	Prodiginus	3
134	Awyrlas	3
134	xxPipperDipperxx	3
134	theonlymagikarp	3
134	Kubelz	3
134	CharlieButt	3
134	ReverendSmith	3
134	Arceus1975	3
134	Skylord_Luke	3
134	Mattesco	3
134	Jimi7hits	3
134	Kowcio_	3
134	microcrisp	3
134	GlitchyPlate810	3
134	Winston_Ingram	3
134	MilleGrug	3
153	nataliecool	2
153	Nesquiczek	2
153	Dedalus36	2
153	CoffeeNoir	2
153	Prismyst	2
153	Myrlewen	2
153	Myszoaz	2
153	IWorkAtIkea	2
153	Khelvoryk	2
153	BobDeBouwer1337	2
153	funnyblitz123	2
153	M_Patata	2
153	mariominejedi	2
153	SuperPooch06	2
153	burbankbuilder28	2
153	MangoTheFish	2
153	KartivGal	2
153	Jonte0599	2
153	YahooScreen9000	2
153	Shogunite	2
153	Cyntrical	2
153	MightyWertu	2
153	Toriankel	2
153	Hisiste	2
153	MasterNueve	2
153	pixelviolin	2
153	Eczbek	2
153	alderban107	2
153	tartanboy	2
153	mobunni	2
153	RadarHz	2
153	2blox	2
185	xyct	1
185	soundad	1
185	AshleeCW	1
185	H72l9w	1
185	tramizu	1
185	jacxhadow	1
185	TheThomas69	1
185	UncreativeArtist	1
185	Mookle96	1
185	Inchef	1
185	Touched_Bread	1
185	pumpfonzo	1
185	King_Pancake1	1
185	nut_e	1
185	Afinnity	1
185	SpaggeDR	1
185	KliBeast21	1
185	MyNameIsDakar	1
185	GlitchMixed	1
185	El_Jalapeno	1
185	SingedBread	1
185	ZeroKraken	1
185	Steelynan	1
185	athereall	1
185	Hermanni__	1
185	Freedrik	1
