rank	username	minecraft:picked_up/minecraft:black_stained_glass_pane
1	FreakGenius	1390
2	Eczbek	1187
3	pintsizedrogue	841
4	himak1	714
5	burbankbuilder28	576
6	Mahoose	488
7	Eraxa	458
8	beeperbeeper5	442
9	wx4z	410
10	Lez_	402
11	Mr_Byzantine	371
12	titanlax	333
13	EMC_	312
14	Snowflowe	279
15	500am	234
16	doublemaki	218
17	Arceus1975	215
18	12Magner05	211
19	jnp_gaming	209
20	RoskobiOne	208
21	kekhon	200
22	HUNTERmaun	139
23	craaaash	131
23	MakeHistory157	131
25	RebelAndroid	124
26	SingedBread	123
27	Ssor69	122
28	k_ce	115
29	mihimihimihi	114
29	LuvLuvLove	114
31	Rich_Kat	109
32	Di_infiri	106
33	joethahobo	104
34	_Karmaa	99
35	Jimb0nat0r	94
36	TheWickedBird	93
37	MightyWertu	83
38	U_Mos_	82
39	Akoot_	81
40	BobDeBouwer1337	80
41	livingdaydreams	74
41	Hyp3rion_	74
41	Enderxz3	74
44	SaucyDark	67
45	Spacewardharpy7	66
46	DTwenty	57
47	noam464	54
48	royal_2	53
48	ROY4LE	53
50	Franco093	52
50	Buuck_	52
50	ConnorDanky_	52
53	robertsnose	49
53	diamondgolem35	49
53	pixelviolin	49
56	ImpavidArcher	45
57	miramyu	44
58	I_Am_Mushkin	43
59	Blackberry1310	41
59	Winklepicker279	41
61	thescout7	40
62	El_Jalapeno	39
63	KamFurnace	38
64	CliffEmAll	36
64	EveryonesUncle	36
64	Steelynan	36
67	ShedJr_	35
68	Jackattack53	34
68	NameGenerat0r	34
68	ZoomieZoomie	34
71	Xalithia	31
72	TheShyPig	29
72	Cache3	29
74	Merv__	26
74	Myszoaz	26
74	Werbe	26
77	Jonafrog99	24
77	Matyyy15	24
77	Groundler	24
77	Kubeusz2010	24
81	6king6colt6	23
81	laron58	23
83	cichy096	22
84	_witch_craft_	21
84	IvarEXE	21
86	TechnoNinja64	19
87	KliBeast21	16
87	Inbefour	16
87	sp00ky_ghost977	16
90	Syropatathe	15
90	iSammael	15
92	Toriankel	14
93	AuroraValkyrie	13
94	Ezekson	12
95	Historical_Sand	11
95	Hiryu27	11
97	_Huge_Male_	10
97	teslawolf38	10
97	Huwulling	10
97	bloodbiter	10
97	luseis	10
97	LexMakesHistory	10
103	PazinGaming	9
103	emreknugrlu	9
103	Manaateee	9
103	THEKINGLyric10	9
107	Mattesco	8
107	audiocracked	8
109	Vol_Rod33	7
110	fr_ser	6
110	ReflexCode	6
110	TheKingK_	6
110	es0th	6
114	_flud	5
115	TinMaster	4
115	UncreativeArtist	4
115	Maenara	4
115	EdGalbraith	4
115	NomadicRobin_	4
115	lordpipe	4
115	Kowcio_	4
115	robonya_	4
115	EcksD	4
124	Apollo_993	3
124	Frozil20	3
124	mymayowasgone	3
124	IgnoredBee	3
124	Fullut	3
124	PegLegPete93	3
124	Marbz_	3
124	oscminus	3
124	ApophisNova	3
124	Onennon	3
124	Fuad_R	3
124	claivin	3
124	Blaiku	3
124	FiguraDei	3
124	taengoos	3
124	MyNamaSheff	3
140	CLG_Kata	2
140	Incinere	2
140	NinjaKnifeKill	2
140	Kronos42	2
140	TheSecondLord	2
140	noodlepack	2
140	Smashic	2
140	drunkeeez	2
140	OreTheBear	2
140	Rebytre	2
140	That_tech_head	2
140	YungWali	2
140	MAns_44	2
140	_Mythic____	2
140	AssFullaCum	2
140	xzvu	2
140	PortlyPete69	2
140	SpacesickPrism	2
158	MunkaKris	1
158	_Virify_	1
158	KarlKaek	1
158	ssleepless	1
158	Raltemoxitonica	1
158	eitanzaki	1
158	NieToksikpl	1
158	jushykins	1
158	MattieHD	1
158	Secret_Canary	1
158	Inchef	1
158	fkGrim	1
158	Deathkob	1
158	cuddlyMonster	1
158	Ma_name_alex	1
158	SvenskaHugo	1
158	Pumpkin_P_Patch	1
158	Spenduh	1
158	MilleGrug	1
158	TheOuterCore	1
158	Nicserso	1
