rank	username	minecraft:picked_up/minecraft:dead_brain_coral
1	Di_infiri	56
2	balin55	6
3	Blackberry1310	3
4	eitanzaki	1
4	noam464	1
4	Winklepicker279	1
4	thewindmillman	1
4	HellsSponge	1
