rank	username	minecraft:picked_up/minecraft:oxidized_cut_copper_slab
1	pintsizedrogue	266
2	OneLessChromosom	158
3	Mr_Byzantine	146
4	thewindmillman	104
5	MattieHD	53
6	Marbz_	47
7	Manaateee	38
8	Apollo_993	34
9	Nicserso	27
10	ImpavidArcher	25
11	Hyp3rion_	20
12	luseis	17
13	Kowcio_	16
14	Juansinmiedo18	12
15	PlasticOtari	8
16	skroobiez	7
17	weabis	6
17	MAns_44	6
17	EcksD	6
20	Niklas20114552	5
20	Mattesco	5
22	pixelviolin	4
23	Jimb0nat0r	3
24	beeperbeeper5	2
24	lpinfinity	2
24	Jackattack53	2
24	Fuad_R	2
24	TheWickedBird	2
29	Alteriity	1
29	TheSecondLord	1
29	Jekyll	1
29	NameGenerat0r	1
29	lordpipe	1
29	MC_Skribble	1
29	robonya_	1
29	ZoomieZoomie	1
