rank	username	minecraft:picked_up/minecraft:dark_oak_boat
149	mwrty	20
149	NotMeanttoChange	20
149	Peeing	20
149	Arceus1975	20
149	Mattesco	20
158	dudcreeper	19
158	PazinGaming	19
158	powercas_gamer	19
158	Lukeee33	19
158	paranoid_plant	19
158	Kakolbus	19
158	TheShyPig	19
158	Rasmanden	19
158	Optiprimus	19
158	Zetsey	19
158	UCP_TheKingK	19
169	k_ce	18
169	Bazongoman	18
169	Doom_melon	18
169	Inconvenionce	18
169	Zcolt69	18
174	TooManyDuck	17
174	Kamflame10	17
174	Awyrlas	17
174	eviltunix	17
174	LAVA129	17
174	ApophisNova	17
174	KlausVonStiglitz	17
174	Karbl	17
174	Templar_David	17
174	MyNamaSheff	17
174	Teebone15	17
185	lorywithay	16
185	melono_o	16
185	SHAOBADMAN	16
185	Winklepicker279	16
185	NameGenerat0r	16
185	MakeHistory157	16
185	_Mythic____	16
185	Jij0	16
185	2blox_	16
194	SmashingPump	15
194	SaucyDark	15
194	Notta	15
194	ImDisconnected_	15
194	MyNameIsJobo	15
194	WET_WET_WET	15
194	ooga47	15
194	stuy9	15
194	ReSynced	15
203	Incinere	14
203	SpaceGrenadier	14
203	Paintz	14
203	Hoid_the_Roamer	14
203	OreTheBear	14
203	F_Uhre	14
203	thgrocks	14
203	lizardfightclub	14
203	the_russell1611	14
203	xzvu	14
203	Dreamdbr14	14
203	smogfrog	14
203	FishisTTV	14
216	EMC_	13
216	jessemgaming	13
216	itburb	13
216	Hpdinosaur	13
216	slkiey	13
216	SellyZ	13
216	ThePurpleFire	13
216	FishyBoy3811	13
216	Leyna3	13
216	Maenara	13
216	ExploreMyBow	13
216	_Bguette_	13
216	__tomato	13
216	Quotary	13
230	MrExplorer	12
230	AnnieBathory	12
230	Kynigito	12
230	Nekomin0	12
230	obzii	12
230	_3Stump_	12
230	imaginek1d	12
237	dongli	11
237	Alteriity	11
237	Tiberonus	11
237	GingerNeutron	11
237	redikul	11
237	Snowflowe	11
237	LeonelSalamanca	11
237	Agent108	11
237	Inbefour	11
237	Thomez_	11
237	AvaRosey	11
237	Razzgriz	11
237	felincaus	11
237	KeterComet	11
251	gary_	10
251	AuroraValkyrie	10
251	teslawolf38	10
251	Ozixar	10
251	cheerytomato	10
251	ratglock	10
251	Arch3lia	10
251	Scathra	10
251	emrekn	10
251	masskedman	10
251	weabis	10
251	Bloo2406	10
251	Kura2218	10
251	faqpilot	10
251	SvenskaHugo	10
251	MineMaster0012	10
251	_TCARREIRA_	10
251	Eczbek	10
251	h2p_emrld	10
270	bigstankyy	9
270	Nicky_H225	9
270	KingEgg1	9
270	platinumzero	9
270	Aneurysmas	9
270	Shiirazu	9
270	XMiner22	9
270	DTwenty	9
270	Russiancat1	9
270	avalan64	9
270	El_Jalapeno	9
270	33sudo	9
270	_i_ERROR_i_	9
270	lexrl_	9
270	TheOnlyRake	9
285	NatalieTW	8
285	PhantomsGhost_	8
285	ZigzagLily43042	8
285	xPixelRainx	8
285	Noah_Bez	8
285	Kubelz	8
285	Rainistry	8
285	Zaridey	8
285	fr_ser	8
285	CranialBlowout	8
285	_Boipl_	8
285	Azmodan_246	8
285	ScootOfBoot	8
285	Onennon	8
285	sxc_	8
285	Elastiq	8
