rank	username	minecraft:picked_up/minecraft:pink_petals
1	Apollo_993	3369
2	EveryonesUncle	812
3	Enderxz3	649
4	SteveCraftBlocks	635
5	MineMaster0012	559
6	Alteriity	534
7	UMosDiesIrae	340
7	MadmanRaven	340
9	Kakolbus	337
10	xolstoi	320
11	lunathelemon	306
12	lorywithay	296
12	MAns_44	296
14	pintsizedrogue	253
15	Merv__	247
16	j5ylim	191
17	Fullut	183
18	Huwulling	181
19	k_ce	177
20	Reneedium	126
21	Lez_	116
22	Napoleonpancake	108
23	shineh10	93
24	hanaryheatwave	77
24	SpacesickPrism	77
26	Soplight	69
27	TheBananaKat	68
28	corvidpartyfor6	65
28	luseis	65
28	Steelynan	65
31	SvenskaSara	64
32	ScootOfBoot	63
33	beeperbeeper5	60
34	tuckerdoodle	59
34	Buuck_	59
36	Kowcio_	58
37	ECstardust	57
37	Hahaa_0	57
39	Krowuss	53
40	oscminus	48
40	PaperCanvas	48
42	Manaateee	37
43	Jackattack53	36
44	Hyp3rion_	32
45	pixelviolin	23
46	longappendage	20
47	Werbe	15
48	00000000-0000-0000-0009-01f26ea966c4	14
49	lordpipe	12
49	StarCookiees_	12
51	Mr_Byzantine	7
52	excelsionprime	5
53	Mattesco	4
53	UCP_TheKingK	4
53	KamFurnace	4
56	_Huge_Male_	3
57	TheSecondLord	1
57	Cjay925	1
57	cokcandbals	1
