rank	username	minecraft:picked_up/minecraft:mangrove_propagule
1	Touched_Bread	379
2	corvidpartyfor6	351
3	Jiminie	266
4	beeperbeeper5	146
5	Enderslayerxz3	95
6	pintsizedrogue	91
7	Smashic	89
8	Segotep999	82
9	Soplight	76
10	Mahoose	61
11	EMC_	40
12	Hyp3rion_	39
13	Mr_Byzantine	33
13	Huwulling	33
15	Rebytre	21
16	Fuad_R	14
17	Jackattack53	13
18	Kakolbus	8
19	Smoke____	7
20	thewindmillman	5
21	ImpavidArcher	4
21	Marbz_	4
23	DinoDoctor_	3
23	SteveCraftBlocks	3
23	PlasticOtari	3
26	Alteriity	2
27	Merv__	1
27	binman420	1
27	ItsDeltaMC	1
27	YungMaki	1
27	calamariclam_I	1
