rank	username	minecraft:picked_up/minecraft:soul_lantern
1	noam464	1587
2	pintsizedrogue	1214
3	Crowman1	619
4	beeperbeeper5	469
5	Kakolbus	411
6	Ezekson	363
7	mihimihimihi	356
8	r123moore	295
9	eitanzaki	290
10	thewindmillman	288
11	rarrq	280
12	joethahobo	269
13	Kowcio_	268
14	TheSecondLord	220
15	Legendosh	199
16	FishyBoy3811	177
17	luseis	174
18	CalebDHawk	170
19	Mattesco	166
20	T045RTY	134
21	kekhon	130
22	Lil_Breadboy	128
23	Billious	110
24	_Dean_123	90
25	MrExplorer	86
26	mwrty	85
27	Eraxa	84
28	parodypatient	71
29	EveryonesUncle	67
30	ROY4LE	65
31	Mahoose	64
31	HolyVenom	64
31	TheTommyGun63	64
34	ECstardust	63
35	Lez_	56
36	NieToksikpl	52
37	Blackberry1310	50
38	SpacesickPrism	48
39	HellsSponge	47
39	ConnorDanky_	47
41	Druid95	42
42	Historical_Sand	34
42	Akoot_	34
42	anbbang	34
45	Enderxz3	33
46	500am	32
46	AdmiralSmoke	32
48	Mr_Byzantine	28
48	Manaateee	28
50	Huwulling	27
51	diamondgolem35	24
51	CattSoup	24
53	k_ce	23
54	Wowful	22
54	MAns_44	22
56	MrKrabOnCoke	20
57	MuffinManzz	19
57	Fullut	19
59	poopybh	18
59	Marbz_	18
59	TheShyPig	18
62	pixelviolin	17
63	UncreativeArtist	16
64	RebelAndroid	14
64	SteveCraftBlocks	14
66	Jackattack53	12
66	Dakar_	12
68	Jonafrog99	11
68	PlasticOtari	11
70	_Nat666	10
70	_Boipl_	10
70	ZeroKraken	10
73	YungMaki	9
73	SammiWolfGirl	9
73	_i_ERROR_i_	9
73	TheBananaKat	9
77	corpsecity	8
77	F_Uhre	8
77	Spacewardharpy7	8
77	Nicserso	8
81	RoskobiOne	7
81	q_wq	7
81	Frozil20	7
81	12Magner05	7
81	Hoid_the_Roamer	7
81	Skylord_Luke	7
81	bearlystraight	7
81	Blaiku	7
89	SmashingPump	6
89	seramalen	6
89	ZoomieZoomie	6
89	Quotary	6
89	00000000-0000-0000-0009-01ff0c3e5e4f	6
94	teslawolf38	5
94	Wooptey	5
94	PaperCanvas	5
94	Elastiq	5
94	NomadicRobin_	5
99	6king6colt6	4
99	shadowthemonkey	4
99	CarltheCuck	4
99	Chromary	4
99	Arceus1975	4
99	LeonelSalamanca	4
99	wwwwinnebagoooo	4
99	MineMaster0012	4
99	EtherealEspresso	4
99	2blox_	4
99	xolstoi	4
110	0nly_sn1per	3
110	Moofyman	3
110	gustarlep	3
110	Shogunite	3
110	Vegvisir	3
110	Iamthejo	3
116	Cowison	2
116	PazinGaming	2
116	Creativebuilder2	2
116	SyntheticSurgeon	2
116	jessewegottacook	2
116	jacxhadow	2
116	DocZelenka	2
116	XboxPanda	2
116	Di_infiri	2
116	0Vyp_	2
116	Kokeech	2
116	the_russell1611	2
116	Mr_Gulle	2
116	Fuad_R	2
116	lordpipe	2
116	SvenskaHugo	2
116	Sheldor097	2
116	Kubeusz2010	2
116	Kitchen_Moose	2
116	EcksD	2
136	ChumpyCat	1
136	_Virify_	1
136	CLG_Kata	1
136	SoosAmongus	1
136	Merv__	1
136	DinoDoctor_	1
136	RatatJuice	1
136	_AceOfSpace_	1
136	ShedJr_	1
136	SquadMonster	1
136	eclipseboi	1
136	Inchef	1
136	Cellcorgi649	1
136	gcaisawesome	1
136	Zythose	1
136	Akuzmi	1
136	SvenskaSara	1
136	Werbe	1
136	lizardfightclub	1
136	GooseWithin	1
136	l_James_	1
136	aruzs	1
136	Racengan	1
136	tonyth3tiger	1
136	Segotep999	1
136	non089	1
136	guccipucci_	1
136	KingMatthew506	1
136	Steelynan	1
136	jnp_gaming	1
136	skrongus	1
