rank	username	minecraft:picked_up/minecraft:purple_concrete_powder
1	Hyp3rion_	81986
2	thewindmillman	62282
3	mwrty	2017
4	skitzxo	1854
5	Jackattack53	1727
6	Kowcio_	1247
7	jnp_gaming	1244
8	YungMaki	897
9	HellsSponge	510
10	Mr_Byzantine	384
11	TechnoNinja64	358
12	Hoid_the_Roamer	240
13	noam464	204
14	Steelynan	109
15	Pumpkin_P_Patch	91
16	royal_2	70
17	ROY4LE	69
18	Yamdalorian	51
19	AnnieBathory	47
20	MakeHistory157	41
21	ApophisNova	40
21	MyNamaSheff	40
21	Enderxz3	40
24	VittoValenttino	25
25	TheShyPig	23
26	Manaateee	22
27	TheSecondLord	20
27	emreknugrlu	20
29	LordSpeed37	19
30	rarrq	17
31	starbits140	16
31	Legendosh	16
33	jcool7	14
34	mihimihimihi	10
34	xzvu	10
36	EMC_	8
36	Arceus1975	8
38	Fullut	7
38	luseis	7
38	lordpipe	7
41	Napoleonpancake	6
41	oscminus	6
41	claivin	6
44	MattieHD	5
45	PortlyPete69	4
46	beeperbeeper5	3
46	Jimb0nat0r	3
48	set67	2
48	WWWWMWWWWWWWWWWW	2
48	IamCL4SSY	2
48	WyngGoy	2
48	SvenskaHugo	2
48	mobunni	2
54	pintsizedrogue	1
54	ItsColin11	1
54	eitanzaki	1
54	Notta	1
54	legal_tax_evader	1
54	Di_infiri	1
54	RefluxRatio	1
54	PigDab	1
54	thgrocks	1
54	Cyntrical	1
54	Blaiku	1
54	Spacewardharpy7	1
54	Leithz6	1
54	carbo_bro	1
54	Soplight	1
54	KingMatthew506	1
54	EcksD	1
54	Nicserso	1
