rank	username	minecraft:picked_up/minecraft:warped_wart_block
1	12Magner05	24672
2	Blackberry1310	20632
3	noam464	16615
4	Snowflowe	12280
5	pintsizedrogue	7616
6	joethahobo	5885
7	TheSecondLord	4345
8	Ezekson	4318
9	Blaiku	4160
10	thewindmillman	3201
11	Historical_Sand	2932
12	Arceus1975	2858
13	rarrq	2538
14	Fullut	1992
15	Freak_Genius	1840
16	Afinnity	1722
17	Decaying_Lotus	1626
18	diamondgolem35	1511
19	sebastiensaborio	1431
20	lizardfightclub	1206
21	eitanzaki	1126
22	CliffEmAll	1109
23	Cowison	988
24	Luigipunch989	949
25	BobDeBouwer1337	851
26	pumpfonzo	789
27	Akoot_	758
28	oxfordschool	677
29	Eraxa	652
30	Mahoose	645
31	Hermanni__	611
32	Xalithia	517
33	gcaisawesome	508
34	Spacewardharpy7	489
35	Smoke____	470
36	Enderslayerxz3	457
37	Hpdinosaur	456
38	HellsSponge	454
39	Hoid_the_Roamer	444
40	PegLegPete93	424
41	brofrickcheaters	423
42	YungMaki	367
43	livingdaydreams	353
44	Kakolbus	345
45	Winston_Ingram	344
46	EveryonesUncle	331
47	Legendosh	314
48	Kubelz	301
49	teslawolf38	289
50	Lord_Jord	269
51	Whiterooster001	249
52	beeperbeeper5	240
53	Kowcio_	235
54	TheShyPig	215
55	EMC_	186
56	mwrty	170
57	CalebDHawk	153
58	CarltheCuck	141
59	KartivGal	135
60	PortlyPete69	108
61	ooga47	103
62	kekhon	99
63	SammiWolfGirl	95
64	_Dean_123	90
65	XboxPanda	85
66	sammidk	76
67	Deathkob	74
67	Vorlice	74
69	scarletwarrior1	69
70	lordpipe	66
71	_Virify_	64
71	MSK__	64
73	TheEnderman548	60
74	Soplight	51
75	CoffeeNoir	49
76	Winklepicker279	47
77	Awyrlas	43
78	BlancoFlaco	41
79	jaimshae	40
80	HolyVenom	38
81	ShedJr_	37
82	djancak	32
83	SuperPooch06	31
84	Dusk_95	30
85	NomadicRobin_	29
86	500am	28
86	Hyp3rion_	28
88	RatatJuice	26
89	Drlzyy	22
89	trexgb	22
91	monky_irl	20
92	Wooptey	18
92	MilleGrug	18
94	DarlaMeow	17
94	ZeroKraken	17
96	BasedEphex	16
96	diggydog67	16
98	TheDankPlatypus	15
98	Frozil12	15
98	Nicserso	15
101	OtariCharlie	12
102	titanlax	9
102	MrExplorer	9
102	r123moore	9
102	Di_infiri	9
106	soundad	8
107	Nesquiczek	7
107	cwartzo	7
107	MyNameIsDakar	7
107	anbbang	7
111	UncreativeArtist	6
111	Zythose	6
111	Nycteus_	6
114	trixterrx	5
115	Travasaur	4
115	PhantomBionic	4
115	jacxhadow	4
115	StarPlanetMoon	4
115	Chromary	4
115	GlitchyPlate810	4
115	YoshikageBites	4
122	PhantomsGhost_	3
122	IdeallyGrey	3
124	Merv__	2
124	AuroraValkyrie	2
124	T045RTY	2
124	SquadMonster	2
124	bloodbiter	2
124	SteveCraftBlocks	2
124	himak1	2
124	lillips	2
124	MightyWertu	2
124	sp00ky_ghost977	2
124	ZoharGoldMine	2
124	Ze_BaronKrigler	2
124	07shiny	2
124	Kubeusz2010	2
138	Groovy_MoonBird	1
138	_NieToksikpl_	1
138	hm947	1
138	Base_Tempest	1
138	Swexti	1
138	Ardennes	1
138	TowenPL	1
138	paranoid_plant	1
138	benediktine1	1
138	M_Patata	1
138	breadbowlgamer	1
138	whoaluv	1
138	burbankbuilder28	1
138	King_Pancake1	1
138	PigDab	1
138	KliBeast21	1
138	LexMakesHistory	1
138	DemTechAlpha	1
138	MAns_44	1
138	Hisiste	1
138	MasterNueve	1
138	AssFullaCum	1
138	RadarHz	1
