rank	username	minecraft:picked_up/minecraft:dripstone_block
1	thewindmillman	3113
2	pintsizedrogue	2844
3	500am	1518
4	Enderslayerxz3	885
5	PlasticOtari	849
6	TheSecondLord	807
7	Steelynan	691
8	Flores991	677
9	corvidpartyfor6	400
10	TheDankPlatypus	346
11	Smoke____	328
12	Kakolbus	324
13	Mahoose	315
14	EMC_	290
15	Kubelz	284
16	TheEnderman548	280
17	Freak_Genius	265
18	RebelAndroid	241
19	_stets	186
20	Solar_Power	183
21	SquadMonster	175
22	Mattesco	165
23	EcksD	148
24	RoskobiOne	145
25	SingedBread	123
26	AlexxO_o	107
27	YungMaki	106
28	Lez_	105
29	pixelviolin	95
30	HolyVenom	92
31	Kowcio_	84
32	Marbz_	81
33	Enigma0251	71
34	Lord_Zacler	66
35	HoltGrim	64
36	beeperbeeper5	63
37	RatatJuice	62
38	Segotep999	60
39	Lord_Jord	54
40	_Razar	51
40	EveryonesUncle	51
42	MAns_44	42
43	Alteriity	39
43	00000000-0000-0000-0009-01ff0c3e5e4f	39
45	SuperPooch06	36
46	Spacewardharpy7	35
46	Sheldor097	35
46	RadarHz	35
49	Prismyst	32
50	eitanzaki	31
51	noam464	30
51	Snowflowe	30
53	Touched_Bread	29
53	WYFYoyo	29
55	Merv__	28
55	prizm_	28
57	IdeallyGrey	25
58	ApophisNova	24
58	groofles	24
58	athereall	24
58	MyNamaSheff	24
62	diamondgolem35	23
63	Hyp3rion_	22
64	fade_emerge78823	21
65	Chickenchaser2	20
65	Vegvisir	20
65	Soplight	20
68	lordpipe	19
68	Legendosh	19
70	Huwulling	18
70	MilleGrug	18
72	Inchef	17
73	ImpavidArcher	15
73	Skippeh	15
75	T045RTY	13
75	Moofyman	13
75	sp00ky_ghost977	13
75	UCP_TheKingK	13
75	CalebDHawk	13
80	mix9ine_maz	12
80	Rebytre	12
80	MyNameIsDakar	12
83	Glowhetic	11
84	Xalithia	10
84	verynothing	10
86	benediktine1	8
86	Jiminie	8
88	crying_wolf_13	6
88	KGTV	6
88	Jackattack53	6
88	_Boipl_	6
88	SvenskaAlvar	6
88	AuroraSkies	6
88	EtherealEspresso	6
95	DinoDoctor_	5
95	PhantomBionic	5
95	joethahobo	5
95	12Magner05	5
95	breadbowlgamer	5
95	JitteryJared2	5
95	wilgot_	5
95	Frozil12	5
95	Xi_J1nping	5
95	calamariclam_I	5
105	Drlzyy	4
105	ccwildfire1	4
105	LeauVox4921	4
105	Winklepicker279	4
105	cwartzo	4
105	Joestra	4
105	Vicemaniac	4
105	Njensen7	4
105	00000000-0000-0000-0009-01f898304150	4
114	XboxPanda	3
114	PigDab	3
114	ItsDeltaMC	3
114	Quotary	3
118	ZaneABrain	2
118	Da_Boss_Rani	2
118	MinttyFressh	2
118	NomadicRobin_	2
118	shrimp_flips	2
118	tsitrawhy	2
118	Spenduh	2
118	SammiWolfGirl	2
126	shineh10	1
126	Smashic	1
126	Kkanot	1
126	Ithaca_GC	1
126	Jeteight	1
126	Skylord_Luke	1
126	Dan_Scha	1
126	Jimi7hits	1
126	Akoot_	1
126	MrQuanQuan	1
126	Deathkob	1
126	Not_Insom	1
126	Th6masss	1
126	wwwwinnebagoooo	1
126	Physics_Breaker	1
126	2blox	1
