rank	username	minecraft:picked_up/minecraft:black_shulker_box
1	thewindmillman	2705
2	beeperbeeper5	1288
3	TheShyPig	1230
4	Eraxa	1079
5	Mahoose	798
6	Hyp3rion_	699
7	Frozil12	675
8	Historical_Sand	561
9	__tomato	546
10	Kubeusz2010	542
11	Blackberry1310	520
12	jnp_gaming	500
13	Chromary	488
14	noam464	484
15	pintsizedrogue	436
16	Xclax101	429
17	Onennon	411
18	teslawolf38	394
19	kekhon	390
20	Enderslayerxz3	385
21	PortlyPete69	356
22	sp00ky_ghost977	343
23	Skippeh	309
24	EcksD	307
25	Blaiku	302
26	Dedalus36	301
27	PlzNoBM	285
28	6king6colt6	258
29	Segotep999	251
30	Xalithia	250
31	EcksDofficial	242
32	Kyrum2169	237
33	Covalents	229
34	lillips	219
35	MightyWertu	201
36	Hermanni__	195
37	whoaluv	189
38	El_Jalapeno	183
39	Jovaphobic	180
40	FirsTimeGamingTV	170
41	Bumpy419	168
42	MyNameIsJobo	167
43	Akoot_	166
44	MattieHD	158
45	Deathkob	142
46	HellsSponge	137
46	YungMaki	137
48	Werbe	134
48	HesDemonPants	134
50	Spenduh	132
51	claivin	127
52	Rumpletaezer	125
53	ApophisNova	123
54	MyNamaSheff	122
55	eviltunix	120
56	Maenara	119
57	Zaridey	114
58	Spacewardharpy7	113
59	rarrq	105
59	_Karmaa	105
61	500am	104
62	Hisiste	96
63	Groundler	94
64	SpookyDraggin	89
65	mwrty	84
66	PlasticOtari	83
67	Snowflowe	82
68	Shogunite	81
69	r123moore	80
69	jcool7	80
71	Mattesco	78
72	eitanzaki	74
73	12Magner05	72
74	Groovy_MoonBird	71
74	Skylord_Luke	71
76	Hiryu27	69
76	TheSeismicDuck	69
78	Voxin2K	68
78	WyngGoy	68
80	Malorn_Aetherius	66
80	eiC_	66
80	SammiWolfGirl	66
83	gcaisawesome	65
83	burbankbuilder28	65
83	TechnoNinja64	65
86	emrekn	63
86	Racengan	63
88	gabriels543	61
89	lordpipe	59
90	stahouo	58
91	Ecplosive	53
92	Awyrlas	50
92	xxPipperDipperxx	50
94	TheSecondLord	49
94	Steelynan	49
96	Myszoaz	48
96	fluddd	48
98	oxfordschool	47
99	anbbang	44
100	Fullut	43
100	PigDab	43
100	Jiminie	43
103	xPixelRainx	42
103	KingMatthew506	42
105	Kamflame10	40
106	ImpavidArcher	36
106	seramalen	36
106	cedric72	36
106	NameGenerat0r	36
110	Dogcorn69420	35
111	geekbird	34
112	Iagoku	33
112	NotP0tato	33
112	_TCARREIRA_	33
115	jushykins	32
116	thescout7	31
117	livingdaydreams	30
118	ShedJr_	29
118	Warlord324	29
120	Di_infiri	28
120	Hoid_the_Roamer	28
120	stuy9	28
120	MustaLoordi	28
124	Legendosh	27
125	TooManyDuck	26
125	Quincannon	26
127	Barlycorn	25
127	Airem_Core	25
127	lcvezra	25
130	_NieToksikpl_	24
130	joethahobo	24
132	Nesquiczek	23
132	NotMeowMix	23
132	kinas45y5	23
132	diggydog67	23
136	__Fanda__	22
136	fffMike	22
138	Swexti	21
138	SellyZ	21
138	ToastedGamingYT	21
138	censorsheep	21
138	Th6masss	21
138	Smoke____	21
144	H72l9w	20
144	Inchef	20
146	Mewar	19
146	Kowcio_	19
148	AuroraValkyrie	18
148	SteveCraftBlocks	18
148	Noah_Bez	18
151	PhantomsGhost_	17
151	titanlax	17
151	egglapras	17
151	Motsaro	17
151	Nicky19	17
156	Crowvens	16
156	TAKrules	16
156	ProfessorBee	16
156	Smiguli_	16
156	Njensen7	16
156	ZeroKraken	16
162	ColeSnyder	15
162	Jiminbub	15
162	obzii	15
165	I_Am_Mushkin	14
165	StanceTB	14
165	King_Pancake1	14
165	Steven1282598	14
165	Eczbek	14
170	RoskobiOne	13
170	Soplight	13
170	h2p_emrld	13
173	MangoTheFish	11
173	Blu3beast	11
173	stavgod	11
173	djancak	11
173	2blox	11
178	bigstankyy	10
178	ssleepless	10
178	Megarboh	10
178	_Nuf	10
178	Kkanot	10
178	FelixPSY375	10
184	JEWISHBadenBeele	9
184	Merv__	9
184	Drewen24	9
184	lizardfightclub	9
184	Jimi7hits	9
184	audiocracked	9
184	TheEnderman548	9
191	mariominejedi	8
191	Jackattack53	8
191	RodSerlingCringe	8
191	Sky_light_KING	8
191	DTwenty	8
191	1442	8
191	GlitchyPlate810	8
198	Bandito_Roamer	7
198	Seyaboy	7
198	peach0s	7
198	eli_tschki	7
198	BlossomOwO	7
198	EveryonesUncle	7
198	Razzgriz	7
205	seanitoo	6
205	m_be9	6
205	Donutt	6
205	GoofyBread	6
205	DarlaMeow	6
205	TheTommyGun63	6
205	Sheldor097	6
205	OfficerAnvil	6
205	Nicserso	6
214	_Virify_	5
214	MixerDixer	5
214	KarlKaek	5
214	Hpdinosaur	5
214	Batman922	5
214	SpaceGrenadier	5
214	MSK__	5
214	himak1	5
214	NomadicRobin_	5
214	chipklip	5
214	DemTechAlpha	5
214	pixelviolin	5
226	Houstonion	4
226	Ssor69	4
226	M_Patata	4
226	pappaberg	4
226	k1ngGilgamesh	4
226	monky_irl	4
226	Dusk_95	4
226	SexcMf	4
226	MilleGrug	4
235	Jackywho	3
235	awesomeoneme	3
235	nocturne78	3
235	MrExplorer	3
235	TheDiamondCG	3
235	set67	3
235	Flapjacker687	3
235	ROY4LE	3
235	CollinMH06	3
235	Solar_Power	3
235	RobotMinion101	3
235	masskedman	3
235	Freak_Genius	3
235	_k2x	3
235	sadvavilloso	3
235	alderban107	3
235	TheOuterCore	3
252	dabloons	2
252	T045RTY	2
252	AlazelTheReal	2
252	Hormones	2
252	SoftSix	2
252	TakeThis2UrGrave	2
252	WET_WET_WET	2
252	Russiancat1	2
252	5397dec3-5821-49e8-96c6-dd9d9a84cb81	2
252	KSI	2
252	Travka100	2
252	rezi	2
252	extralargenose	2
252	Jij0	2
252	Juh1s	2
252	K_a__a_n	2
252	AltnumberF4	2
269	nataliecool	1
269	diamondgolem35	1
269	Flores991	1
269	the_fireminer	1
269	faulkyou_	1
269	Euclidoris	1
269	QuakerOatsGod	1
269	YungJakobo	1
269	eclipseboi	1
269	_Dean_123	1
269	Nab3rius	1
269	Tjhodskins19	1
269	Stiar	1
269	Arsinic7	1
269	RocketRidge	1
269	loveseeker	1
269	XLIFluid	1
269	SuperPooch06	1
269	Zythose	1
269	CrateOfBoxes	1
269	Truckoss	1
269	Kynigito	1
269	Matyyy15	1
269	dezxalo	1
269	Inbefour	1
269	Deodorante	1
269	Soap_Bender	1
269	Nycteus_	1
269	MasterNueve	1
269	MakeHistory157	1
269	Strangemonkey71	1
269	SvenskaHugo	1
