rank	username	minecraft:picked_up/minecraft:brown_shulker_box
1	thewindmillman	890
2	m_be9	439
3	kekhon	432
4	Mahoose	376
5	Skippeh	314
6	Groundler	309
7	El_Jalapeno	290
8	Smoke____	284
9	Frozil12	255
10	Dedalus36	212
11	Historical_Sand	181
12	MattieHD	178
13	YungMaki	159
14	pintsizedrogue	155
14	pixelviolin	155
16	EveryonesUncle	153
17	Akoot_	150
18	500am	149
19	beeperbeeper5	130
20	Fullut	128
21	HellsSponge	115
22	Xclax101	110
23	Awyrlas	107
24	Myszoaz	101
25	6king6colt6	97
26	mwrty	95
27	lordpipe	86
28	Enderslayerxz3	81
29	Kubeusz2010	79
30	yulgur1	76
31	Sral7	75
32	Bumpy419	73
33	oxfordschool	72
34	Euclidoris	71
34	bloodbiter	71
36	TheSecondLord	70
37	Hisiste	67
38	TheShyPig	62
39	NameGenerat0r	59
40	Hyp3rion_	58
40	ApophisNova	58
40	MyNamaSheff	58
43	EcksD	55
44	Xalithia	54
45	_Virify_	51
46	Quaintster	44
47	Skylord_Luke	43
48	MakeHistory157	40
49	cedric72	39
50	Karbl	37
50	jnp_gaming	37
52	noam464	36
53	ImpavidArcher	34
53	Queen_Jalapeno	34
53	Shogunite	34
56	Nach0Bear	33
56	Russiancat1	33
58	Eczbek	29
59	SellyZ	28
60	Blackberry1310	26
60	gabriels543	26
60	Werbe	26
63	PhantomsGhost_	24
64	sp00ky_ghost977	23
65	Jackattack53	22
65	LexMakesHistory	22
67	Kyrum2169	21
68	Snowflowe	20
68	Blaiku	20
70	Hpdinosaur	19
70	Ecplosive	19
70	Deathkob	19
73	eitanzaki	18
74	_Karmaa	17
74	Nicserso	17
76	Rumpletaezer	16
77	stahouo	15
78	joethahobo	14
78	r123moore	14
78	Lutres_Torane	14
78	TechnoNinja64	14
82	lillips	13
82	Miko_Fullbuster	13
84	SteveCraftBlocks	12
84	Di_infiri	12
84	pappaberg	12
84	k1ngGilgamesh	12
84	Ezekson	12
89	MangoTheFish	11
89	Jimi7hits	11
91	Soplight	10
91	Dogcorn69420	10
93	teslawolf38	9
93	Cryptacity	9
93	SammiWolfGirl	9
96	TAKrules	8
96	fred870d	8
96	DarlaMeow	8
96	claivin	8
96	Cocoamallows	8
101	rarrq	7
101	wezzzi	7
101	Jiminie	7
101	KSI	7
101	Blu3beast	7
101	MightyWertu	7
107	Groovy_MoonBird	6
107	jcool7	6
107	Steelynan	6
107	MissCeleste7	6
111	AuroraValkyrie	5
111	thescout7	5
111	Marbz_	5
111	loveseeker	5
115	TooManyDuck	4
115	nocturne78	4
115	_Nuf	4
115	PigDab	4
115	Maenara	4
115	Steven1282598	4
115	Razzgriz	4
115	vandmanden	4
123	Merv__	3
123	Kkanot	3
123	Zythose	3
123	NomadicRobin_	3
123	The_slideV3	3
123	OG_Songsee	3
129	Houstonion	2
129	YungJakobo	2
129	ROY4LE	2
129	Racengan	2
129	KG1999	2
129	FelixPSY375	2
129	Kateesaur	2
129	h2p_emrld	2
137	Bandito_Roamer	1
137	I_Am_Mushkin	1
137	diamondgolem35	1
137	SpaceGrenadier	1
137	Ssor69	1
137	jushykins	1
137	Masssonnn	1
137	WET_WET_WET	1
137	RobotMinion101	1
137	fw3xywashere	1
137	Bl1tzFX	1
137	audiocracked	1
137	Inbefour	1
137	Spacewardharpy7	1
137	Xovalt_	1
137	Eraxa	1
137	sadvavilloso	1
137	EtherealEspresso	1
137	_3Stump_	1
137	TheOuterCore	1
137	AltnumberF4	1
137	Powowowow	1
