rank	username	minecraft:picked_up/minecraft:chainmail_boots
1	Mahoose	30
2	Drlzyy	26
3	thewindmillman	22
3	Enderslayerxz3	22
5	Hyp3rion_	21
5	Freak_Genius	21
5	Smoke____	21
8	PlasticOtari	19
9	chipklip	18
10	pintsizedrogue	17
11	Blackberry1310	15
11	TechnoNinja64	15
13	500am	14
13	Jiminie	14
15	ShedJr_	13
15	joethahobo	13
15	beeperbeeper5	13
15	noam464	13
15	HellsSponge	13
20	PigDab	12
21	Akoot_	11
22	Fullut	9
22	TheShyPig	9
22	Segotep999	9
25	Frozil20	8
25	Smashic	8
25	Di_infiri	8
25	Arceus1975	8
25	YungMaki	8
30	Jovaphobic	7
30	jacxhadow	7
30	El_Jalapeno	7
30	Kowcio_	7
34	RebelAndroid	6
34	ROY4LE	6
34	burbankbuilder28	6
34	SingedBread	6
34	sp00ky_ghost977	6
34	djancak	6
34	Luigipunch989	6
34	fffMike	6
42	H72l9w	5
42	Historical_Sand	5
42	rarrq	5
42	12Magner05	5
42	kekhon	5
42	eviltunix	5
42	gcaisawesome	5
42	Snowflowe	5
42	Maenara	5
42	Xclax101	5
42	fluddd	5
42	SammiWolfGirl	5
42	Njensen7	5
42	diggydog67	5
56	Cowison	4
56	6king6colt6	4
56	ImpavidArcher	4
56	livingdaydreams	4
56	TheSecondLord	4
56	BilboBaggins23	4
56	thescout7	4
56	loveseeker	4
56	Werbe	4
56	Wowful	4
56	NomadicRobin_	4
56	EveryonesUncle	4
56	DemTechAlpha	4
56	Deerfoot	4
56	Quaintster	4
56	Nycteus_	4
56	censorsheep	4
56	lordpipe	4
56	Soplight	4
56	lcvezra	4
56	h2p_emrld	4
77	Bandito_Roamer	3
77	fanofbands101	3
77	Merv__	3
77	KarlKaek	3
77	bigstankyy	3
77	Dedalus36	3
77	Ryker	3
77	Jahara	3
77	Swexti	3
77	_Dean_123	3
77	IforgotCS_Source	3
77	Winklepicker279	3
77	fr_ser	3
77	Jackattack53	3
77	SuperPooch06	3
77	RobotMinion101	3
77	ooga47	3
77	seramalen	3
77	_naturell	3
77	KeruNatsema	3
77	Rasmanden	3
77	FreddyFart	3
77	Deathkob	3
77	ebanana	3
77	JESS_THE_RERE	3
77	MyNameIsDakar	3
77	StinkyDiplomat	3
77	Blaiku	3
77	Spacewardharpy7	3
77	stavgod	3
77	07shiny	3
77	SvenskaHugo	3
77	UCP_TheKingK	3
77	Spenduh	3
77	KingMatthew506	3
77	Miko_Fullbuster	3
77	Ezekson	3
114	Groovy_MoonBird	2
114	Menthas	2
114	Travasaur	2
114	xyct	2
114	Paint	2
114	_stets	2
114	q_wq	2
114	EMC_	2
114	I_Am_Mushkin	2
114	Nesquiczek	2
114	Incinere	2
114	openatheclose	2
114	Alteriity	2
114	TAKrules	2
114	KomputerDude	2
114	CoffeeNoir	2
114	Myszoaz	2
114	SquadMonster	2
114	Ssor69	2
114	Nicky_H225	2
114	ProfessorBee	2
114	zorin123	2
114	crying_wolf_13	2
114	Z3braYTIL	2
114	Kkanot	2
114	Kamflame10	2
114	set67	2
114	egglapras	2
114	himak1	2
114	LotusProject	2
114	r123moore	2
114	Touched_Bread	2
114	John6970	2
114	mimbo1211	2
114	funnyblitz123	2
114	M_Patata	2
114	SeverianTheLame	2
114	Kakolbus	2
114	Rumpletaezer	2
114	WET_WET_WET	2
114	Fast_Turtle	2
114	Billious	2
114	Rebytre	2
114	Skylord_Luke	2
114	ApophisNova	2
114	TheWildMateo	2
114	selectrix	2
114	Onennon	2
114	Moofyman	2
114	FishyBoy3811	2
114	Kim_Jong_eel	2
114	RodSerlingCringe	2
114	Lord_Jord	2
114	binman420	2
114	NameGenerat0r	2
114	iHuntWeeaboos	2
114	Steven1282598	2
114	Racengan	2
114	Barlycorn	2
114	g0rr1lla	2
114	MasterNueve	2
114	MakeHistory157	2
114	TheEnderman548	2
114	bloomkieren	2
114	GlitchyPlate810	2
114	MilleGrug	2
114	Steelynan	2
114	Kubeusz2010	2
114	anbbang	2
114	oxfordschool	2
114	Quotary	2
114	MyNamaSheff	2
114	Lowjinx	2
114	Legendosh	2
114	EcksDofficial	2
189	Alexanderjac	1
189	rats_life	1
189	SugarMyNuggets	1
189	heysushii	1
189	teslawolf38	1
189	TildaAndrea	1
189	chimpmunker	1
189	Begformurrcy	1
189	jimbo61101jr	1
189	Sabby65	1
189	Hpdinosaur	1
189	Flores991	1
189	eitanzaki	1
189	SailiXX	1
189	T045RTY	1
189	youhjjhhhjj	1
189	SyntheticSurgeon	1
189	Huwulling	1
189	peach0s	1
189	Lez_	1
189	Alphanzt99	1
189	TheFlfthHorseman	1
189	chlorinex	1
189	urbeans	1
189	DirtyDalle	1
189	dopplexd	1
189	NieToksikpl	1
189	Crowman1	1
189	ratglock	1
189	MrExplorer	1
189	TheThomas69	1
189	rpmm	1
189	SoftSix	1
189	Allanon1235	1
189	ConcretePirate	1
189	AngalexikCZ	1
189	GLLogan2	1
189	TheHarryMeister	1
189	Scathra	1
189	Nach0Bear	1
189	mwrty	1
189	Awyrlas	1
189	Robby_Cream	1
189	NotMeanttoChange	1
189	PegLegPete93	1
189	LeauVox4921	1
189	Septemb3r	1
189	xxPipperDipperxx	1
189	eiC_	1
189	platinumzero	1
189	CharlieButt	1
189	breadbowlgamer	1
189	91stCataclysm	1
189	ninjacat027	1
189	gabriels543	1
189	SlayerCrypto	1
189	whoaluv	1
189	Chromary	1
189	LunarRedPanda	1
189	Zythose	1
189	King_Pancake1	1
189	andy_rex	1
189	cwartzo	1
189	CrateOfBoxes	1
189	WarMachina	1
189	Rocco_Lane	1
189	Bumpy419	1
189	ItsAki_	1
189	d4mndaniel2	1
189	p4lp	1
189	fred870d	1
189	Mattesco	1
189	Sqwishy	1
189	Ghemmah	1
189	AlexxO_o	1
189	SvenskaAlvar	1
189	SullivanNephew	1
189	aec9	1
189	PuFY	1
189	ToastedGamingYT	1
189	Luminad3	1
189	Stephenpoling	1
189	Vladotz	1
189	Aangezet	1
189	ILoveCarrot	1
189	parodypatient	1
189	AuroraSkies	1
189	ogoa	1
189	Joestra	1
189	masskedman	1
189	Inbefour	1
189	PineappleZ215	1
189	ese_wn_po	1
189	Fuhrer_Teemo	1
189	Veillax135	1
189	wobn	1
189	madderfall	1
189	lillips	1
189	Ragnar2105	1
189	CuzIm2Kev	1
189	The_Quack_Dealer	1
189	HELLO_I_AM_BEAR	1
189	Darkgon	1
189	Karbl	1
189	drumine	1
189	DarlaMeow	1
189	The_slideV3	1
189	_Karmaa	1
189	BigCronkin	1
189	FlashMigma	1
189	MightyWertu	1
189	GravitySaint	1
