rank	username	minecraft:picked_up/minecraft:purple_carpet
1	HellsSponge	1792
2	joethahobo	1519
3	jnp_gaming	850
4	burbankbuilder28	571
5	MakeHistory157	416
6	lordpipe	406
7	Smoke____	250
8	Jovaphobic	231
9	Legendosh	230
10	ROY4LE	122
11	mwrty	118
12	6king6colt6	70
13	noam464	64
14	Soplight	60
15	12Magner05	56
16	Mahoose	51
17	beeperbeeper5	48
18	SaucyDark	45
19	kekhon	44
20	Akoot_	38
21	Merv__	37
21	TechnoNinja64	37
23	LoboTheLobster	33
24	fkGrim	26
25	TheShyPig	23
25	Kowcio_	23
27	FishyBoy3811	21
28	thgrocks	20
28	wwwwinnebagoooo	20
30	titanlax	18
30	YungMaki	18
32	TooManyDuck	17
32	lcvezra	17
34	oxfordschool	15
35	AlazelTheReal	14
35	Smashic	14
35	MaGro2010	14
35	Enderslayerxz3	14
35	UrbanPlanner1978	14
40	pintsizedrogue	13
41	heckface	12
41	KingMatthew506	12
43	MAns_44	10
43	Factoroni	10
43	__tomato	10
43	diggydog67	10
47	TheBiggestFeller	9
47	Inchef	9
47	r123moore	9
47	Ezekson	9
51	KarlKaek	7
51	AJplaysMC_	7
53	RebelAndroid	6
53	M_Patata	6
53	MasterNueve	6
53	WyngGoy	6
57	NomadicRobin_	5
57	LexMakesHistory	5
59	MinttyFressh	4
59	KlausVonStiglitz	4
59	Njensen7	4
62	xXxSebastianLxXx	3
62	BRRRN179	3
62	chipklip	3
62	Blaiku	3
62	ediballbearings	3
62	GlitchyPlate810	3
62	PlzNoBM	3
62	EcksD	3
70	FS0L0	2
70	SquadMonster	2
70	dopplexd	2
70	TheSecondLord	2
70	bloodbiter	2
70	paranoid_plant	2
70	Mewar	2
70	xxPipperDipperxx	2
70	drompje	2
70	gustarbite	2
70	DarlaMeow	2
70	claivin	2
70	Deerfoot	2
70	_3Stump_	2
70	Hermanni__	2
70	Zoeyfortnite	2
86	_NieToksikpl_	1
86	Swexti	1
86	rarrq	1
86	Cryptacity	1
86	jushykins	1
86	Wotters7	1
86	Karetoko	1
86	Di_infiri	1
86	AnnieBathory	1
86	ApophisNova	1
86	RobotMinion101	1
86	cedric72	1
86	_naturell	1
86	Spacewardharpy7	1
86	Eraxa	1
86	Fizznut909	1
86	Steelynan	1
86	xWeber	1
86	MyNamaSheff	1
