rank	username	minecraft:picked_up/minecraft:packed_mud
1	thewindmillman	1300
2	SpacesickPrism	185
3	pixelviolin	138
4	Legendosh	128
5	Hyp3rion_	109
6	j5ylim	105
7	_witch_craft_	85
8	pintsizedrogue	73
9	oscminus	64
10	Pumpkin_P_Patch	61
11	Soplight	51
12	Merv__	42
13	12Magner05	37
14	Roenfire	36
15	FiguraDei	35
16	myaccountwasgone	33
17	KarlKaek	32
18	Steelynan	30
19	Enderxz3	28
20	Manaateee	25
21	Juansinmiedo18	22
21	PlasticOtari	22
23	Mr_Byzantine	17
24	GooseWithin	13
25	XxCookiequeenxX	12
26	ECstardust	10
27	crashomon	9
27	Aakvaa	9
29	EMC_	7
29	luseis	7
31	PazinGaming	6
32	Buuck_	5
32	Kowcio_	5
34	Lez_	4
34	Werbe	4
36	Apollo_993	3
37	Fullbit_	2
37	Jimb0nat0r	2
37	skitzxo	2
37	Yamdalorian	2
41	Mahoose	1
41	Archsam	1
41	catandmoose	1
41	Secret_Canary	1
41	Jackattack53	1
41	FormulaNewt3627	1
