rank	username	minecraft:picked_up/minecraft:mangrove_door
1	CalebDHawk	11
2	Merv__	8
2	Enderxz3	8
4	pintsizedrogue	5
5	noam464	4
5	Olib3ar	4
5	Legendosh	4
8	T045RTY	2
8	Mahoose	2
8	Jonafrog99	2
8	widgewee	2
8	_Mythic____	2
8	pixelviolin	2
8	Nicserso	2
15	PazinGaming	1
15	Lez_	1
15	xxPipperDipperxx	1
15	Kondzik2008	1
15	Mattesco	1
15	Steelynan	1
15	PlasticOtari	1
