rank	username	minecraft:picked_up/minecraft:wet_sponge
1	Ezekson	15033
2	joethahobo	14762
3	thewindmillman	9316
4	noam464	7425
5	EMC_	6310
6	EcksD	5916
7	Jackattack53	5836
8	Lord_Jord	4979
9	Hyp3rion_	4704
10	HellsSponge	4558
11	BumbleBeever	4552
12	Enderxz3	4533
13	Blu3beast	4426
14	Snowflowe	4128
15	Spacewardharpy7	4111
16	Bumpy419	3822
17	YungMaki	3809
18	EngagedGrub41	3774
19	MilleGrug	3659
20	non089	3001
21	diamondgolem35	2790
22	Blaiku	2476
23	PigDab	2424
24	AuroraValkyrie	2254
25	eviltunix	2212
26	Yamdalorian	2134
27	AstreaTSS	2132
28	NomadicRobin_	2068
29	obzii	1966
30	PhantomsGhost_	1887
31	MightyWertu	1784
32	beeperbeeper5	1767
33	Segotep999	1721
34	Di_infiri	1697
35	pintsizedrogue	1631
36	Kakolbus	1610
37	Drawgirl	1591
38	Fuad_R	1517
39	500am	1502
40	Maenara	1372
41	himak1	1326
42	eitanzaki	1314
43	Barlycorn	1242
44	lizardfightclub	1239
45	ImpavidArcher	1222
46	IamCL4SSY	1188
47	Manaateee	1101
48	rarrq	1088
49	SpacesickPrism	1028
50	H0UNDFRMH3LL	1023
51	powercas_gamer	1018
52	gcaisawesome	1004
53	lordpipe	996
54	Fullut	994
55	TheSandwhich_	988
56	xDraggin	987
57	SuperPooch06	957
58	oscminus	909
59	Pumpkin_P_Patch	903
60	skitzxo	857
61	Comma__	832
62	hanaryheatwave	808
63	Chromary	759
64	hermmm_	756
65	pretty_pink_reno	750
66	Kowcio_	745
67	MAns_44	724
68	MattieHD	709
69	Iagoku	650
70	Awyrlas	645
71	Lez_	617
72	Paintz	599
73	FishisTTV	583
74	Groundler	545
75	Dogcorn69420	543
76	Smashic	542
76	Inbefour	542
78	Archsam	539
79	QueenShuvi	536
80	vandmanden	520
81	k_ce	512
82	M_Patata	502
82	MasterNueve	502
84	RebytreGT	492
85	Frozil20	476
86	Rumpletaezer	455
87	Mattesco	436
87	SammiWolfGirl	436
89	Skippeh	410
90	NameGenerat0r	409
91	mihimihimihi	403
92	Zoeyfortnite	379
93	12Magner05	342
94	Marbz_	336
95	Alteriity	333
96	claivin	328
97	diggydog67	315
98	gren_ben	305
99	T045RTY	302
100	Werbe	283
101	Alexanderjac	281
102	Arceus1975	278
103	Legendosh	274
104	TheShyPig	254
105	The11thDoctor	245
106	calamariclam_I	234
107	Hiryu27	227
108	Jovaphobic	226
109	luseis	218
110	EdGalbraith	209
111	Soap_Bender	203
112	_Mythic____	201
113	PortlyPete69	200
114	TheSecondLord	196
115	Apollo_993	191
