rank	username	minecraft:picked_up/minecraft:cherry_boat
1	cuddlyMonster	502
2	MattieHD	160
3	Dynamic_wolf_1	123
4	Cache3	55
5	robonya_	47
6	craaaash	43
7	bl1ss0	41
8	Lorcout	39
9	Alteriity	36
10	Enderxz3	33
11	MrShojo	28
12	WET_WET_WET	27
13	Buuck_	20
14	mymayowasgone	19
15	royal_2	18
15	_Duckery	18
17	_witch_craft_	17
17	Gus2005	17
19	Thunder_bird4337	14
20	TheInfernoPup	13
21	pintsizedrogue	12
21	BubblyPrototype_	12
21	That_tech_head	12
24	TipDuy3010	11
24	hanaryheatwave	11
24	Yamdalorian	11
27	Gelberkodo	10
27	UnContemporary	10
27	FiguraDei	10
30	LuvLuvLove	9
31	AstreaTSS	8
32	Mr_Froxy	7
32	DairyNickel756	7
34	ECstardust	6
34	albus0x	6
34	Kowcio_	6
37	Lazy_geniusig	5
37	Lez_	5
37	philandr	5
37	Taco_Cat898	5
41	Mr_Byzantine	4
41	frizzbees	4
41	danotz	4
41	creatineshakes	4
45	Apollo_993	3
45	AmmiDesu	3
45	powercas_gamer	3
45	TheSecondLord	3
45	Jackattack53	3
45	oscminus	3
45	Mattesco	3
45	StarCookiees_	3
53	Poliitikko	2
53	EMC_	2
53	noam464	2
53	Krowuss	2
53	Vol_Rod33	2
53	lordpipe	2
53	Synthoum	2
53	Pumpkin_P_Patch	2
53	_3Stump_	2
53	Steelynan	2
53	CalvinCandie17	2
53	EcksD	2
65	YATO202010	1
65	WinterSepp	1
65	_stets	1
65	Niklas20114552	1
65	gren_ben	1
65	DinoDoctor_	1
65	ImpavidArcher	1
65	Mekahsvu	1
65	CoffeeNoir	1
65	beeperbeeper5	1
65	SteveCraftBlocks	1
65	Smashic	1
65	hoverfishing	1
65	Torwynd	1
65	Hashises	1
65	milltesco	1
65	Hyp3rion_	1
65	DackBools	1
65	Galactic_Badger	1
65	Werbe	1
65	AkiDev	1
65	wwwwinnebagoooo	1
65	Moss_2006	1
65	pixelviolin	1
65	AlessTheGamer_69	1
65	00000000-0000-0000-0009-01fe065167f0	1
