rank	username	minecraft:picked_up/minecraft:white_dye
1	thewindmillman	2021414
2	noam464	59027
3	Spacewardharpy7	23660
4	Hyp3rion_	16351
5	EcksD	3728
6	fffMike	2450
7	imaginek1d	1774
8	ROY4LE	1550
9	Di_infiri	1541
10	kekhon	1525
11	Ecplosive	1511
12	KG1999	1416
13	Bandito_Roamer	1413
14	ImpavidArcher	1192
15	Freak_Genius	1122
16	Werbe	1043
17	eitanzaki	962
18	Akoot_	628
19	EMC_	612
20	joethahobo	597
21	Smoke____	589
22	beeperbeeper5	512
23	Toriankel	490
24	Parcc	489
25	Miko_Fullbuster	444
26	PlasticOtari	438
27	HellsSponge	364
27	Enderslayerxz3	364
29	EcksDofficial	363
30	thescout7	326
31	PortlyPete69	318
32	pZygh0st	256
33	El_Jalapeno	254
34	YungMaki	250
35	xxPipperDipperxx	240
36	rarrq	236
37	_Virify_	232
38	bigstankyy	227
39	mwrty	216
40	Ezekson	209
41	Jackattack53	203
42	Kakolbus	202
42	Legendosh	202
44	PhantomsGhost_	197
45	Segotep999	192
46	_Karmaa	190
47	ILoveCarrot	186
48	Frozil12	173
49	Sky_light_KING	171
50	pintsizedrogue	158
51	set67	157
52	Hoid_the_Roamer	144
53	oxfordschool	141
54	egglapras	132
55	EveryonesUncle	129
56	emrekn	128
56	felincaus	128
58	chipklip	127
59	StinkyDiplomat	122
60	Th6masss	119
61	Merv__	114
62	XboxPanda	111
63	lordpipe	109
64	Eraxa	108
64	Steelynan	108
66	jnp_gaming	106
67	kinas45y5	105
68	wTXop	104
69	Soap_Bender	97
70	Hiryu27	95
71	SteveCraftBlocks	91
72	500am	87
73	r123moore	84
74	p4lp	79
75	Soplight	77
75	Quotary	77
77	Marbz_	73
78	ApophisNova	70
78	MyNamaSheff	70
80	loveseeker	68
81	Whiterooster001	66
81	SellyZ	66
81	KingMatthew506	66
84	Vellu21	65
85	cedric72	64
85	Eerini	64
85	CSG_Haru	64
85	Dogcorn69420	64
85	FelixPSY375	64
90	SpookyDraggin	63
90	fluddd	63
92	Blu3beast	62
93	ShedJr_	61
94	Arceus1975	60
94	RodSerlingCringe	60
96	nataliecool	58
96	Cryptacity	58
96	Blaiku	58
99	The_SlideV5	57
100	Mattesco	56
101	stahouo	55
102	Xalithia	54
102	MilleGrug	54
104	_Bguette_	52
105	jimintyy	51
106	MyNameIsJobo	50
107	Xclax101	49
108	HyperCave	48
109	Groovy_MoonBird	47
110	Jeteight	46
110	TheTrueClipse	46
110	NameGenerat0r	46
113	ExtraDumb	45
113	Ardennes	45
115	AltnumberF4	42
116	Historical_Sand	41
116	TheShyPig	41
118	q_wq	40
118	Kubelz	40
120	Blackberry1310	39
121	Mahoose	38
121	_Dean_123	38
121	TheWildMateo	38
121	KartivGal	38
125	Bumpy419	36
125	Truckoss	36
127	AJplaysMC_	31
128	Wowful	30
129	Lord_Jord	29
129	GlitchyPlate810	29
131	Kowcio_	27
132	Deathkob	26
133	Drlzyy	25
134	12Magner05	24
134	Zythose	24
134	XxCookiequeenxX	24
137	diamondgolem35	23
138	ssleepless	22
138	jacxhadow	22
140	hm947	20
140	Maenara	20
140	iHuntWeeaboos	20
