rank	username	minecraft:picked_up/minecraft:stone_button
1	thewindmillman	20347
2	Spacewardharpy7	14303
3	gcaisawesome	11768
4	joethahobo	3342
5	mwrty	2456
6	EMC_	1813
7	HellsSponge	1131
8	pappaberg	991
9	m_be9	798
10	Freak_Genius	685
11	UrbanPlanner1978	621
12	Lord_Jord	608
13	Smoke____	604
14	beeperbeeper5	560
15	noam464	548
16	NameGenerat0r	502
17	kekhon	444
18	thescout7	441
19	Kakolbus	438
19	Akoot_	438
21	Mahoose	406
22	Awyrlas	405
23	Tolhart	351
24	eitanzaki	330
25	WET_WET_WET	314
26	Di_infiri	305
27	slkiey	291
28	PhantomsGhost_	279
29	lordpipe	255
30	PlasticOtari	249
31	Hyp3rion_	245
32	Eczbek	240
33	Blaiku	233
34	Ezekson	229
35	M_Patata	198
36	FirsTimeGamingTV	190
37	Jackattack53	186
38	Historical_Sand	183
39	ApophisNova	181
39	MyNamaSheff	181
41	T045RTY	174
42	Frozil12	138
43	YungMaki	137
43	Legendosh	137
45	Groundler	136
46	VentiHilton	133
47	CoffeeNoir	125
48	bigstankyy	124
48	Deathkob	124
50	Sral7	115
51	Powowowow	112
52	burbankbuilder28	110
53	EcksDofficial	104
54	Xalithia	98
55	Cowison	94
56	Chromary	93
57	500am	92
58	jacxhadow	91
59	PortlyPete69	87
60	Werbe	86
60	TheShyPig	86
62	ShedJr_	84
63	Arceus1975	80
64	ProfessorBee	79
65	Shogunite	73
66	titanlax	71
67	NoChumpChange	69
67	Hermanni__	69
69	Flores991	66
69	Blu3beast	66
71	NomadicRobin_	65
72	pintsizedrogue	63
72	bloodbiter	63
72	Soplight	63
75	SteveCraftBlocks	59
75	sp00ky_ghost977	59
77	Fullut	58
78	loveseeker	57
78	Nicserso	57
80	EveryonesUncle	55
80	jcool7	55
82	ImpavidArcher	54
82	Snowflowe	54
82	RobotMinion101	54
85	Maenara	53
85	TechnoNinja64	53
87	__lobgn__	51
87	rarrq	51
87	obzii	51
90	Blackberry1310	50
91	WyngGoy	49
92	set67	48
93	NotMeanttoChange	45
94	MightyWertu	44
95	smogfrog	43
96	Racengan	42
97	TheSecondLord	41
97	DarlaMeow	41
99	Shiirazuku	39
99	Eraxa	39
99	EcksD	39
102	El_Jalapeno	38
102	KingMatthew506	38
104	Groovy_MoonBird	37
104	Dedalus36	37
104	wwwwinnebagoooo	37
107	claivin	36
