rank	username	minecraft:picked_up/minecraft:stripped_acacia_log
1	beeperbeeper5	1243
2	Zaridey	339
3	Werbe	261
4	TheSecondLord	199
5	KarlKaek	181
6	ooga47	160
7	Jackattack53	151
8	Manaateee	138
9	Soplight	132
10	fkGrim	123
11	Hoid_the_Roamer	121
12	prizm_	104
13	kekhon	97
14	ProfessorBee	95
15	eiC_	91
16	Steelynan	85
17	Zedducius	77
17	Mattesco	77
19	Huwulling	76
20	Hpdinosaur	75
20	FreddyFart	75
22	ROY4LE	73
23	hanaryheatwave	71
24	AdmiralSmoke	70
25	noam464	66
26	Mahoose	65
27	Ozixar	64
27	EcksD	64
29	Merv__	57
30	legal_tax_evader	54
31	Segotep999	52
32	MyNameIsJobo	49
33	_Huge_Male_	44
34	cichy096	38
35	Groovy_MoonBird	35
35	QuacksonThe3rd	35
37	corvidpartyfor6	33
38	Meatlaugh	32
39	lilsay	30
40	Blackberry1310	25
41	xolstoi	20
42	Snowflowe	19
42	Nicserso	19
44	pintsizedrogue	18
44	Karetoko	18
46	Hiryu27	16
46	Kowcio_	16
48	k_ce	15
48	Cellcorgi649	15
50	Mowelan	13
50	ImpavidArcher	13
50	Jonafrog99	13
53	excelsionprime	12
54	Incinere	11
54	PlasticOtari	11
56	Blaiku	10
57	Mr_Byzantine	9
57	Lez_	9
57	joethahobo	9
57	set67	9
57	UCP_TheKingK	9
57	Ezekson	9
57	smogfrog	9
64	Vizzoid	8
64	m_be9	8
64	12Magner05	8
67	Akoot_	7
67	Enderxz3	7
69	SaucyDark	6
69	Megarboh	6
69	Fullut	6
69	BlueZabu	6
69	andy_rex	6
74	dudcreeper	5
74	Myrosia	5
74	Winklepicker279	5
74	Doom_melon	5
74	EveryonesUncle	5
74	HellsSponge	5
80	Swexti	4
80	SuperPooch06	4
80	TheShyPig	4
80	luseis	4
80	Hisiste	4
80	YungMaki	4
80	PortlyPete69	4
80	ConnorDanky_	4
88	Franco093	3
88	ThePoliteG	3
88	PigDab	3
88	bitsplease	3
88	tartanboy	3
93	CLG_Kata	2
93	Ilinca_Io	2
93	Hyugo	2
93	youhjjhhhjj	2
93	peach0s	2
93	Arteriana	2
93	jushykins	2
93	Rich_Kat	2
93	pr33tu	2
93	2Stout	2
93	gcaisawesome	2
93	mariominejedi	2
93	pappaberg	2
93	ApophisNova	2
93	KlausVonStiglitz	2
93	DarlaMeow	2
93	Groundler	2
93	Soul_Atreus	2
93	starbits140	2
93	Spenduh	2
93	fffMike	2
93	Vellu21	2
93	MyNamaSheff	2
93	jnp_gaming	2
93	Powowowow	2
93	Sral7	2
119	funeralhome	1
119	EMC_	1
119	eitanzaki	1
119	Fractured_	1
119	jessewegottacook	1
119	SteveCraftBlocks	1
119	FemboyFwuit	1
119	slkiey	1
119	r123moore	1
119	Aneurysmas	1
119	Marahuyo00	1
119	Di_infiri	1
119	kars0n	1
119	MisterKanister	1
119	Moofyman	1
119	LilLizardWizard	1
119	Kim_Jong_eel	1
119	Leyna3	1
119	JESS_THE_RERE	1
119	NameGenerat0r	1
119	mafiKiwi	1
119	MAns_44	1
119	FreakGenius	1
119	Barlycorn	1
119	MS_Pryxx	1
119	IAmTheWalrus910	1
119	Optiprimus	1
119	ayamefag	1
119	Zetsey	1
119	Kyrum2169	1
119	xzvu	1
119	TheALV	1
119	Kubeusz2010	1
