rank	username	minecraft:picked_up/minecraft:bubble_coral
1	thewindmillman	312
2	El_Jalapeno	137
3	Di_infiri	127
4	Legendosh	124
5	Kouridragon	105
6	33sudo	64
6	Enderslayerxz3	64
8	12Magner05	52
9	ImpavidArcher	35
9	500am	35
11	TheShyPig	30
12	beeperbeeper5	28
13	pintsizedrogue	24
14	Fullut	23
15	_Dean_123	20
15	Hyp3rion_	20
17	Mahoose	19
18	livingdaydreams	18
19	HellsSponge	17
20	Vetral1	14
21	AuroraValkyrie	13
22	Blackberry1310	12
22	kekhon	12
22	YungMaki	12
22	djancak	12
26	Ssor69	11
26	Mewar	11
26	lordpipe	11
26	HesDemonPants	11
30	Skylord_Luke	10
30	__tomato	10
32	noam464	9
33	Xalithia	8
33	ApophisNova	8
33	MyNamaSheff	8
33	Smoke____	8
37	Jovaphobic	6
37	Merv__	6
37	IdeallyGrey	6
40	SaucyDark	5
40	TheSecondLord	5
40	Onennon	5
40	Inbefour	5
40	Typadopoulos	5
40	Powowowow	5
46	Marbz_	4
46	TheSeismicDuck	4
46	FreddyFart	4
46	NameGenerat0r	4
46	Blaiku	4
46	Luigipunch989	4
52	Noah_Bez	3
52	MyNameIsJobo	3
52	SuperPooch06	3
52	Karbl	3
52	Dusk_95	3
52	AvaRosey	3
52	KingMatthew506	3
59	T045RTY	2
59	titanlax	2
59	r123moore	2
59	Covalents	2
59	Kakolbus	2
59	CollinMH06	2
59	Rumpletaezer	2
59	Arceus1975	2
59	domagawha	2
59	Hiryu27	2
59	HolyVenom	2
59	Maenara	2
59	XxCookiequeenxX	2
59	Jiminbub	2
59	Jiminie	2
59	Deathkob	2
59	YungWali	2
59	_Karmaa	2
59	WyngGoy	2
59	Nagasaki_Riku	2
59	TechnoNinja64	2
80	Groovy_MoonBird	1
80	Bandito_Roamer	1
80	6king6colt6	1
80	KarlKaek	1
80	Iagoku	1
80	Incinere	1
80	urbeans	1
80	ratglock	1
80	ProfessorBee	1
80	eclipseboi	1
80	surfinggiraffejp	1
80	TheDankPlatypus	1
80	burbankbuilder28	1
80	Bumpy419	1
80	Voxin2K	1
80	RobotMinion101	1
80	Eerini	1
80	SpookyDraggin	1
80	KlausVonStiglitz	1
80	lillips	1
80	Blu3beast	1
80	monky_irl	1
80	sp00ky_ghost977	1
80	AssFullaCum	1
80	Soplight	1
80	lcvezra	1
80	PortlyPete69	1
80	GlitchyPlate810	1
80	sebastiensaborio	1
80	laron58	1
80	Nicserso	1
80	PlasticOtari	1
80	YoshikageBites	1
80	h2p_emrld	1
80	diggydog67	1
