rank	username	minecraft:picked_up/minecraft:magenta_bed
1	Mahoose	69
2	Blu3beast	48
3	HellsSponge	32
4	SammiWolfGirl	15
5	Arceus1975	13
5	ApophisNova	13
5	MyNamaSheff	13
8	jcool7	10
9	lcvezra	8
10	luseis	7
11	Bandito_Roamer	6
11	El_Jalapeno	6
11	Kateesaur	6
14	beeperbeeper5	5
14	500am	5
16	Esme_1	3
16	kekhon	3
16	_Dean_123	3
16	burbankbuilder28	3
16	natajimi	3
16	masskedman	3
16	DarlaMeow	3
23	pintsizedrogue	2
23	NatalieTW	2
23	SaucyDark	2
23	Lez_	2
23	Frxnkz	2
23	Chromary	2
23	thewindmillman	2
23	YahooScreen9000	2
23	OverallConcept	2
23	fluddd	2
23	Soul_Atreus	2
23	TechnoNinja64	2
35	Jorrdi	1
35	Frozil20	1
35	ROY4LE	1
35	SonicRainBow_	1
35	FishyBoy3811	1
35	Maenara	1
35	_Crimson_Legate	1
35	Quaintster	1
35	MAns_44	1
35	Blaiku	1
35	monky_irl	1
35	TheEnderMan548	1
35	Kowcio_	1
35	YungMaki	1
35	djancak	1
35	Bawbman	1
35	Professor_x8	1
35	Catharsist	1
35	Weepingbiel	1
