rank	username	minecraft:picked_up/minecraft:pink_stained_glass
1	jnp_gaming	855
2	lordpipe	300
3	chipklip	299
4	Smoke____	260
5	pintsizedrogue	139
6	Steelynan	131
7	Incinere	93
8	Werbe	87
9	EveryonesUncle	80
10	gcaisawesome	64
10	Eraxa	64
12	PigDab	58
13	Billious	39
14	beeperbeeper5	37
15	HellsSponge	27
16	TechnoNinja64	26
17	Groovy_MoonBird	19
18	El_Jalapeno	18
18	Groundler	18
20	AssFullaCum	16
21	Mahoose	14
22	mwrty	11
23	AuroraValkyrie	10
23	ShedJr_	10
23	SkateboardR6	10
26	500am	7
27	CoffeeNoir	6
27	NameGenerat0r	6
29	SaucyDark	5
29	kekhon	5
29	Xalithia	5
29	Inbefour	5
29	Cocoamallows	5
29	Earlesstrain4	5
35	Wooptey	4
35	Freak_Genius	4
35	LordSpeed37	4
35	TheEnderman548	4
39	titanlax	3
39	fluddd	3
41	6king6colt6	2
41	eitanzaki	2
41	walll	2
41	MyNameIsJobo	2
41	Blaiku	2
41	MakeHistory157	2
41	BlankityMcBlank	2
41	PortlyPete69	2
41	Quotary	2
50	awesomeoneme	1
50	Blackberry1310	1
50	MinttyFressh	1
50	_Dean_123	1
50	xxPipperDipperxx	1
50	noam464	1
50	Marbz_	1
50	WET_WET_WET	1
50	lillips	1
50	Nycteus_	1
50	MightyWertu	1
50	Soplight	1
