rank	username	minecraft:picked_up/minecraft:spruce_fence_gate
1	Eraxa	263
2	m_be9	251
3	Merv__	232
4	MyNameIsJobo	230
5	Mahoose	168
6	kekhon	161
7	jcool7	133
8	pintsizedrogue	117
9	Skylord_Luke	114
9	Ezekson	114
11	Winklepicker279	93
12	Freak_Genius	92
13	EcksDofficial	88
14	PlasticOtari	86
15	Onennon	85
15	TheShyPig	85
17	beeperbeeper5	84
18	joethahobo	81
19	eitanzaki	73
19	stahouo	73
21	_Dean_123	68
22	PortlyPete69	65
23	500am	57
24	RobotMinion101	56
25	Drlzyy	54
25	TheOuterCore	54
27	Cryptacity	50
27	EveryonesUncle	50
29	Zythose	49
30	Smoke____	46
31	Steelynan	45
31	Enderslayerxz3	45
33	Jackattack53	43
34	El_Jalapeno	38
34	Soplight	38
36	Frozil12	37
37	Di_infiri	36
38	ImpavidArcher	31
39	_stets	29
39	diamondgolem35	29
41	Comma__	28
41	Cortexia	28
41	Arceus1975	28
44	oxfordschool	27
45	rarrq	26
46	rachcl	25
46	fkGrim	25
48	Hisiste	23
49	Jackster03	22
49	RodSerlingCringe	22
51	TheSecondLord	21
51	anbbang	21
53	Slapface522	20
54	chipklip	19
54	lordpipe	19
56	Kakolbus	18
56	Groundler	18
58	Soffbord	17
59	lcvezra	16
59	CalebDHawk	16
59	HesDemonPants	16
62	Jeteight	15
62	Bumpy419	15
62	Racengan	15
65	Blackberry1310	14
65	Fullut	14
65	BlueZabu	14
65	burbankbuilder28	14
65	Legendosh	14
70	Jiminie	13
70	_Karmaa	13
72	Chromary	12
72	HellsSponge	12
72	pixelviolin	12
72	UCP_TheKingK	12
76	dopplexd	11
76	MattieHD	11
76	Inchef	11
76	Deathkob	11
76	Meatlaugh	11
76	freya__b	11
76	OfficerAnvil	11
83	Historical_Sand	10
83	DemTechAlpha	10
83	diggydog67	10
86	4774	9
86	ayamefag	9
86	The_SlideV5	9
89	Jovaphobic	8
89	Tolhart	8
89	Malorn_Aetherius	8
89	ApophisNova	8
89	MAns_44	8
89	YungMaki	8
89	MyNamaSheff	8
96	hm947	7
96	noam464	7
96	John6970	7
96	M_Patata	7
96	Jimi7hits	7
96	Akoot_	7
96	PartyPhoenix	7
96	SammiWolfGirl	7
96	Skippeh	7
96	Jordan_R	7
106	orxngejuice	6
106	xxPipperDipperxx	6
106	MangoTheFish	6
106	CarryLine	6
106	rotten_mango	6
106	claivin	6
106	SkateboardR6	6
106	AvaRosey	6
106	obzii	6
106	Njensen7	6
106	Eczbek	6
106	Sral7	6
118	RebelAndroid	5
118	jacxhadow	5
118	Werbe	5
118	Joestra	5
118	_Bguette_	5
118	LexMakesHistory	5
124	Ravenbie	4
124	groofles	4
124	MyNameIsDakar	4
124	StinkyDiplomat	4
124	Blu3beast	4
124	MasterNueve	4
124	Quotary	4
131	AuroraValkyrie	3
131	SDMNAEK	3
131	Guillemet	3
131	Masssonnn	3
131	Laykon	3
131	thescout7	3
131	UncleDanDan	3
131	Rumpletaezer	3
131	Hyp3rion_	3
131	Donutt	3
131	Felenov	3
131	epiksk8erduck	3
131	PigDab	3
131	Shavrin	3
131	NoChumpChange	3
131	lillips	3
131	ewpunk	3
131	Nycteus_	3
131	Typadopoulos	3
131	Spacewardharpy7	3
131	07shiny	3
131	Lowjinx	3
153	SaltineDream	2
153	Bandito_Roamer	2
153	squigglybones	2
153	bigstankyy	2
153	ColeSnyder	2
153	Sabby65	2
153	Hpdinosaur	2
153	T045RTY	2
153	Natty	2
153	Seyaboy	2
153	H72l9w	2
153	Swexti	2
153	IWorkAtIkea	2
153	Stynxy	2
153	titanlax	2
153	Ardennes	2
153	potato292	2
153	egglapras	2
153	breadbowlgamer	2
153	SuperPooch06	2
153	whoaluv	2
153	CrateOfBoxes	2
153	ooga47	2
153	seramalen	2
153	CruncyIsTaken	2
153	Waffleman258	2
153	xo_Marren_xo	2
153	Toasty_Tom	2
153	Inbefour	2
153	ChocolatePepsi	2
153	Shogunite	2
153	fluddd	2
153	OG_Songsee	2
153	Ze_BaronKrigler	2
153	Kowcio_	2
153	Segotep999	2
153	Luigipunch989	2
153	al626win52	2
153	daybreakus	2
153	EcksD	2
153	mountaingirl311	2
153	2blox	2
153	TechnoNinja64	2
153	_Dri_	2
197	HBA00_	1
197	heysushii	1
197	q_wq	1
197	Tommhh	1
197	Sleek_Storm_721	1
197	Dedalus36	1
197	RatatJuice	1
197	AlazelTheReal	1
197	_AceOfSpace_	1
197	NinjaKnifeKill	1
197	MOSS000	1
197	fr0stss	1
197	Alphanzt99	1
197	FirsTimeGamingTV	1
197	ratglock	1
197	gilesmcriles	1
197	SteveCraftBlocks	1
197	Kkanot	1
197	set67	1
197	UncreativeArtist	1
197	Flapjacker687	1
197	ROY4LE	1
197	FetteMutter	1
197	Orcus113	1
197	TakeThis2UrGrave	1
197	SlayerCrypto	1
197	jedi_george	1
197	AJplaysMC_	1
197	beata_beatrix	1
197	Studyhallsaver	1
197	S4tox	1
197	HyperCave	1
197	thgrocks	1
197	Honor555	1
197	Lutres_Torane	1
197	Blaiku	1
197	SingedBread	1
197	Barlycorn	1
197	Factoroni	1
197	Dusk_95	1
197	Xovalt_	1
197	Lord_Doob	1
197	sleepdrifter_	1
197	SvenskaHugo	1
197	AssFullaCum	1
197	Fizznut909	1
197	krutas2000	1
197	fffMike	1
197	ssniffles	1
197	VentiHilton	1
197	kinas45y5	1
197	trexgb	1
