rank	username	minecraft:picked_up/minecraft:sculk_catalyst
1	Hyp3rion_	16363
2	luseis	473
3	TheBananaKat	386
4	Enderxz3	237
5	Jackattack53	181
6	k_ce	133
7	TheSecondLord	132
8	EMC_	97
9	EcksD	88
10	Archsam	74
11	Apollo_993	73
12	Kakolbus	53
13	noam464	46
14	Manaateee	43
15	SvenskaHugo	41
16	ImpavidArcher	37
17	thewindmillman	35
18	hanaryheatwave	34
19	12Magner05	33
19	Yamdalorian	33
21	pintsizedrogue	32
22	Di_infiri	31
23	Segotep999	30
24	Jimb0nat0r	28
25	beeperbeeper5	24
26	Fuad_R	22
27	Lez_	20
27	MrKrabOnCoke	20
27	AlexxO_o	20
30	Mahoose	19
31	Kowcio_	18
32	nattybears	17
33	Wowful	15
34	Iamthejo	14
35	DinoDoctor_	13
35	rarrq	13
35	Luminad3	13
38	Hetti301	11
38	Mattesco	11
38	Soplight	11
41	Smashic	10
42	corvidpartyfor6	9
42	500am	9
42	excelsionprime	9
45	Sleepy_Time_	8
46	myaccountwasgone	7
46	Avocadogerms	7
48	Alteriity	6
48	MSK__	6
48	EdGalbraith	6
48	StinkyDiplomat	6
48	YungMaki	6
53	PazinGaming	5
53	ECstardust	5
53	RatatJuice	5
53	Marbz_	5
57	SoosAmongus	4
57	Merv__	4
57	Da_Boss_Rani	4
57	RebytreGT	4
57	oscminus	4
57	Werbe	4
57	Hahaa_0	4
57	MAns_44	4
57	StarCookiees_	4
57	NATE_the_HALO	4
67	CLG_Kata	3
67	q_wq	3
67	Strats__	3
67	wwwwinnebagoooo	3
71	j5ylim	2
71	SmashingPump	2
71	Blackberry1310	2
71	Secret_Canary	2
71	Boipl	2
71	iSammael	2
71	ItsDeltaMC	2
71	TheKingK_	2
71	Eczbek	2
71	TheWickedBird	2
71	00000000-0000-0000-0009-01ff0c3e5e4f	2
82	Mr_Byzantine	1
82	_Huge_Male_	1
82	powercas_gamer	1
82	6king6colt6	1
82	diamondgolem35	1
82	SyntheticSurgeon	1
82	skroobiez	1
82	MinttyFressh	1
82	Inchef	1
82	TheDankPlatypus	1
82	corpsecity	1
82	Snowflowe	1
82	Skylord_Luke	1
82	Xclax101	1
82	Spacewardharpy7	1
82	ElectricDragon81	1
82	Pumpkin_P_Patch	1
82	non089	1
82	Steelynan	1
82	Nicserso	1
82	Legendosh	1
82	PlasticOtari	1
