rank	username	minecraft:picked_up/minecraft:guster_banner_pattern
1	thewindmillman	4
2	MyMawgDonaldsGon	3
2	oscminus	3
4	CLG_Kata	2
4	MattieHD	2
4	pixelviolin	2
4	00000000-0000-0000-0009-01fe065167f0	2
8	_Mythic____	1
8	Enderxz3	1
8	Spaghettatron	1
8	Yamdalorian	1
