rank	username	minecraft:picked_up/minecraft:quartz_pillar
1	Freak_Genius	2059
2	EveryonesUncle	1290
3	lordpipe	1273
4	Spacewardharpy7	1044
5	Di_infiri	905
6	Zoeyfortnite	871
7	EcksDofficial	824
8	HellsSponge	692
9	Merv__	654
10	ZeroKraken	620
11	Lord_Jord	612
12	Rumpletaezer	553
13	kekhon	525
14	wwwwinnebagoooo	510
14	alderban107	510
16	joethahobo	485
17	beeperbeeper5	458
18	Xclax101	430
19	Eczbek	419
20	Snowflowe	375
21	himak1	354
22	The_slideV3	348
23	StinkyDiplomat	328
24	Eraxa	314
25	Akoot_	295
26	PhantomsGhost_	255
27	Ezekson	249
28	Mewar	237
29	Lutres_Torane	218
30	Frozil12	213
31	ImpavidArcher	211
32	Soplight	210
33	m_be9	198
33	Groundler	198
35	KarlKaek	197
36	TheShyPig	171
36	Deerfoot	171
38	pintsizedrogue	169
38	YungMaki	169
40	Hyp3rion_	167
41	NameGenerat0r	159
42	500am	156
43	Blaiku	154
44	lillips	147
45	Optiprimus	143
46	Inbefour	136
47	Mr_Byzantine	134
48	chipklip	133
49	Cowison	132
50	Barlycorn	130
51	cedric72	129
52	paranoid_plant	128
53	NomadicRobin_	123
54	El_Jalapeno	121
55	_Karmaa	118
56	Lez_	110
57	MakeHistory157	109
58	SSytex_X	102
59	Jackster03	101
59	sp00ky_ghost977	101
61	noam464	93
62	Werbe	90
63	Incinere	89
64	KliBeast21	85
65	rarrq	80
66	Comma__	77
66	SexcMf	77
68	Maenara	76
69	K_a__a_n	74
70	Steelynan	73
71	AltnumberF4	70
71	jnp_gaming	70
73	MeetTheWollo	66
74	stahouo	61
75	Marbz_	60
76	r123moore	59
76	PlasticOtari	59
78	Mahoose	57
79	marumochis	56
80	Skippeh	54
81	Groovy_MoonBird	51
81	soundad	51
83	eitanzaki	49
84	bloomkieren	47
85	Smoke____	45
86	_Bguette_	41
87	SaucyDark	39
88	AJplaysMC_	38
89	fred870d	37
90	Hpdinosaur	34
90	Nycteus_	34
92	RobotMinion101	32
93	Wolverine4302	31
94	pr33tu	30
95	Mookle96	26
95	Fuad_R	26
97	MousePlays	25
97	FishyBoy3811	25
99	epiksk8erduck	24
99	Quotary	24
101	The_SlideV5	23
102	pappaberg	22
102	Rocco_Lane	22
102	Skylord_Luke	22
105	MSK__	21
105	Swexti	21
105	Zaridey	21
108	Blackberry1310	20
108	xxPipperDipperxx	20
108	gabriels543	20
108	SammiWolfGirl	20
112	fluddd	19
112	MovingFish7	19
114	Fullut	18
114	lcvezra	18
116	titanlax	17
116	TheSecondLord	17
116	_Dean_123	17
116	emrekn	17
116	TechnoNinja64	17
121	thescout7	16
121	Blu3beast	16
121	Nicserso	16
124	Hermanni__	15
125	Billious	14
126	Donutt	13
126	RodSerlingCringe	13
128	youhjjhhhjj	12
128	Kamflame10	12
128	Doom_melon	12
128	Deathkob	12
128	Enderslayerxz3	12
133	Moofyman	11
133	oxfordschool	11
135	Myszoaz	10
135	tobinwilliams	10
137	Whiterooster001	9
137	Scathra	9
137	MyNameIsJobo	9
137	Arceus1975	9
137	The11thDoctor	9
137	Drewen24	9
137	yulgur1	9
137	Jiminie	9
137	trexgb	9
146	Jovaphobic	8
146	numbra	8
146	CoffeeNoir	8
146	ShedJr_	8
146	ApophisNova	8
146	MyNamaSheff	8
152	ColeSnyder	7
152	Ardennes	7
152	Avrelion	7
152	Racengan	7
156	SyK7	6
156	Sabby65	6
156	mwrty	6
156	egglapras	6
156	__tomato	6
156	Sral7	6
162	_Virify_	5
162	MightyWertu	5
162	jcool7	5
162	Njensen7	5
162	FelixPSY375	5
162	Legendosh	5
168	shdesolt	4
168	Chromary	4
168	_Boipl_	4
168	ooga47	4
168	claivin	4
168	88Hazza88	4
174	Menthas	3
174	Historical_Sand	3
174	MattieHD	3
174	PegLegPete93	3
174	intropass	3
174	thewindmillman	3
174	burbankbuilder28	3
174	LexMakesHistory	3
174	SlinkyPinky	3
174	Zetsey	3
184	Bandito_Roamer	2
184	JohnnyFyes	2
184	Healthing	2
184	bigstankyy	2
184	jimintyy	2
184	Chickenchaser2	2
184	ProfessorBee	2
184	SteveCraftBlocks	2
184	NotTrixi	2
184	CharlieButt	2
184	Jackattack53	2
184	MangoTheFish	2
184	Bumpy419	2
184	Kouridragon	2
184	PigDab	2
184	Ender_Souls	2
184	_naturell	2
184	fw3xywashere	2
184	fkGrim	2
184	TheEnderman548	2
184	KG1999	2
184	Spenduh	2
184	VentiHilton	2
184	kinas45y5	2
184	00000000-0000-0000-0009-01ff0c3e5e4f	2
209	ssleepless	1
209	Tolhart	1
209	T045RTY	1
209	Natty	1
209	Paranoidlemon	1
209	Zedducius	1
209	SirMinza	1
209	fade_emerge78823	1
209	NotMeanttoChange	1
209	Septemb3r	1
209	fr_ser	1
209	CruncyIsTaken	1
209	Onennon	1
209	KeruNatsema	1
209	DeGodz4life	1
209	__Auspicious	1
209	Nagasaki_Riku	1
209	obzii	1
209	Dreamdbr14	1
209	FishisTTV	1
