rank	username	minecraft:picked_up/minecraft:netherite_helmet
1	Hyp3rion_	55
2	Kowcio_	45
3	Spaghettatron	30
4	Jackattack53	25
5	Lez_	24
6	beeperbeeper5	21
7	FreakGenius	16
8	doublemaki	15
8	Segotep999	15
10	eitanzaki	14
10	Huwulling	14
12	craaaash	13
12	TheKingK_	13
14	Nicky_H225	12
15	Mattesco	11
16	Wowful	10
17	joethahobo	9
17	rarrq	9
17	TheSecondLord	9
17	kekhon	9
21	Rebytre	8
22	imcombxt	7
22	hanaryheatwave	7
22	luseis	7
25	Frozil20	6
25	Historical_Sand	6
25	Krowuss	6
25	IlkeCookes_	6
25	CattSoup	6
30	bl1ss0	5
30	CollinMH06	5
30	Chromary	5
30	Akoot_	5
30	Blaiku	5
30	SingedBread	5
30	djancak	5
37	teslawolf38	4
37	Caribouse	4
37	Blackberry1310	4
37	Secret_Canary	4
37	Fullut	4
37	knarian	4
37	set67	4
37	Touched_Bread	4
37	zToasty69z	4
37	emreknugrlu	4
37	monky_irl	4
37	Ezekson	4
37	Jimb0nat0r	4
50	pintsizedrogue	3
50	Mr_Byzantine	3
50	JohnnyFyes	3
50	_Huge_Male_	3
50	PazinGaming	3
50	Ryan_GEMS	3
50	ShedJr_	3
50	MrKrabOnCoke	3
50	NieToksikpl	3
50	bloodbiter	3
50	_witch_craft_	3
50	lorpus	3
50	FishyBoy3811	3
50	NomadicRobin_	3
50	_flud	3
50	SkateboardR6	3
50	Spacewardharpy7	3
50	ItsDeltaMC	3
50	Eraxa	3
50	robonya_	3
50	Enderxz3	3
50	Yamdalorian	3
72	k_ce	2
72	BadenOnGod	2
72	MyMawgDonaldsGon	2
72	ImpavidArcher	2
72	Alteriity	2
72	Crowman1	2
72	MattieHD	2
72	500am	2
72	noam464	2
72	milltesco	2
72	thewindmillman	2
72	F_Uhre	2
72	PigDab	2
72	fw3xy	2
72	That_tech_head	2
72	masskedman	2
72	EveryonesUncle	2
72	abig4il	2
72	LexMakesHistory	2
72	Manaateee	2
72	DarlaMeow	2
72	Fuad_R	2
72	weabis	2
72	El_Jalapeno	2
72	TheEnderMan548	2
72	_Mythic____	2
72	Pumpkin_P_Patch	2
72	pablopickle	2
72	_Yonk_	2
72	Steelynan	2
72	Eczbek	2
72	PlasticOtari	2
104	H0UNDFRMH3LL	1
104	Ev0luti0nz	1
104	dimondking777	1
104	BPTY4618	1
104	ECstardust	1
104	Niklas20114552	1
104	gren_ben	1
104	Wooptey	1
104	T045RTY	1
104	SyntheticSurgeon	1
104	lorywithay	1
104	Lazy_geniusig	1
104	Pistol_Hydra	1
104	Myszoaz	1
104	Swexti	1
104	Rani_R	1
104	royal_2	1
104	titanlax	1
104	Upstro10	1
104	Tersea_	1
104	SnowfallUwU	1
104	hydrothebot	1
104	12Magner05	1
104	MinttyFressh	1
104	Hetti301	1
104	SoftSix	1
104	Sloths_Ender	1
104	excelsionprime	1
104	paranoid_plant	1
104	Juansinmiedo18	1
104	r123moore	1
104	olliebollie48	1
104	SBean737	1
104	M_Patata	1
104	prizm_	1
104	shadowthemonkey	1
104	CosmicStardustt	1
104	Di_infiri	1
104	SuperPooch06	1
104	Jonafrog99	1
104	U_Mos_	1
104	Reneedium	1
104	GUBBENZ	1
104	pappaberg	1
104	OreTheBear	1
104	pinkigram	1
104	oscminus	1
104	ApophisNova	1
104	Werbe	1
104	goldyx	1
104	AlexxO_o	1
104	isopodcake	1
104	PuFY	1
104	Luminad3	1
104	Egom_musk	1
104	groofles	1
104	TJawesome09	1
104	CrumplyBanjo_	1
104	JoeSaysBingBong	1
104	aldplaysmc	1
104	Sorry_Arey07	1
104	shadowmanu8	1
104	NumbaOneMunch	1
104	Dakar_	1
104	NameGenerat0r	1
104	AstreaTSS	1
104	creatineshakes	1
104	Blu3beast	1
104	cutelilreno	1
104	vadar12	1
104	LAVA124	1
104	Racengan	1
104	guitar_hero_101	1
104	QuesoCrusaderIII	1
104	Mizuuwa	1
104	lordpipe	1
104	_Ruzeeq_	1
104	FiguraDei	1
104	Moss_2006	1
104	SvenskaHugo	1
104	Nyrotic	1
104	Soplight	1
104	Spenduh	1
104	SammiWolfGirl	1
104	_i_ERROR_i_	1
104	obzii	1
104	BungalowBeet	1
104	le4ves	1
104	fffMike	1
104	jcool7	1
104	Bairhug	1
104	Winston_Ingram	1
104	Carelessjets	1
104	Kubeusz2010	1
104	ZoomieZoomie	1
104	Aryamanee	1
104	Hex_proto	1
104	MyNamaSheff	1
104	Weepingbiel	1
104	Legendosh	1
104	Zcolt69	1
104	00000000-0000-0000-0009-01fe065167f0	1
104	00000000-0000-0000-0009-01f53dff86f7	1
104	00000000-0000-0000-0009-01f431fe6dbe	1
104	00000000-0000-0000-0009-01f26ea966c4	1
104	00000000-0000-0000-0009-01f1577a2913	1
104	00000000-0000-0000-0009-01f0f6556b4b	1
