rank	username	minecraft:picked_up/minecraft:green_dye
1	thewindmillman	580302
2	Hyp3rion_	28155
3	hanaryheatwave	23814
4	Di_infiri	8306
5	noam464	6914
6	Jackattack53	6115
7	eviltunix	5618
8	ConnorDanky_	4718
9	YungMaki	3890
10	ImpavidArcher	3178
11	Snowflowe	2898
12	Franco093	2855
13	EMC_	2375
14	Huwulling	2047
15	Hiryu27	1673
16	lillips	1558
17	Powowowow	1227
18	QueenShuvi	1127
19	kekhon	873
20	Covalents	704
21	Lez_	549
22	Fullut	524
23	Quotary	490
24	pintsizedrogue	469
25	EcksD	455
26	_Karmaa	426
27	slkiey	409
28	rarrq	388
29	lordpipe	387
29	Eraxa	387
31	Steelynan	385
32	PlasticOtari	384
33	Enderxz3	365
34	Werbe	356
35	ROY4LE	288
36	Akoot_	261
37	hollowww	256
38	Hoid_the_Roamer	246
39	Rumpletaezer	223
40	thescout7	207
41	HellsSponge	203
42	stellarjay	201
43	abramgray	192
43	Soplight	192
45	h2p_emrld	191
46	Rich_Kat	189
47	FreakGenius	165
48	beeperbeeper5	157
49	TheSecondLord	156
50	Jimb0nat0r	153
51	Ryan_GEMS	147
52	PhantomsGhost_	145
53	Meepcraft	132
54	Spacewardharpy7	131
55	Kakolbus	128
56	Frozil20	119
57	ApophisNova	117
57	jnp_gaming	117
59	MyNamaSheff	116
59	Legendosh	116
61	Crowman1	115
62	Groovy_MoonBird	114
63	alderban107	112
64	Chromary	99
65	Eczbek	95
66	CattSoup	88
67	Ezekson	86
68	_Bguette_	74
68	Kowcio_	74
70	_KuruKuru	66
71	luseis	65
71	Nicserso	65
73	TheHarryMeister	64
73	gcaisawesome	64
73	jandrs	64
73	yheece	64
73	King_Pancake1	64
73	Skylord_Luke	64
73	TheShyPig	64
73	NameGenerat0r	64
73	xzvu	64
73	KingMatthew506	64
83	Historical_Sand	63
84	sadvavilloso	61
85	ZigzagLily43042	59
86	CLG_Kata	58
87	legal_tax_evader	53
88	AdmiralSmoke	51
89	Blackberry1310	50
90	sp00ky_ghost977	49
91	titanlax	48
92	WyngGoy	45
93	Manaateee	43
94	skrongus	42
95	Stiar	41
96	RocketRidge	39
97	El_Jalapeno	35
98	lcvezra	34
99	The_SlideV5	32
100	PortlyPete69	31
101	Syropatathe	26
102	marumochis	25
103	SuperPooch06	24
104	Jakobo1337	23
105	eitanzaki	21
106	Koffeeinz	20
106	StinkyDiplomat	20
108	sxc_	19
108	LeonelSalamanca	19
110	heckface	18
111	SlayerCrypto	15
112	LexMakesHistory	14
113	eiC_	12
113	CaptainDeadBread	12
115	joethahobo	11
115	JayToe	11
117	Wooptey	10
118	CarltheCuck	9
118	Krowuss	9
118	RoboTramp7865	9
121	BPTY4618	8
121	CliffEmAll	8
123	SaucyDark	7
123	NotMeanttoChange	7
123	ReyTheLegend	7
123	Kubeusz2010	7
123	smogfrog	7
128	squigglybones	6
128	Kokeech	6
128	the__Reaper4999	6
128	Sral7	6
132	TrNrGhost	5
132	dopplexd	5
132	TheDankPlatypus	5
132	AJplaysMC_	5
132	LAVA129	5
132	SammiWolfGirl	5
138	Mahoose	4
138	ShedJr_	4
138	Euclidoris	4
138	Inchef	4
138	RobotMinion101	4
138	Kim_Jong_eel	4
138	Jordan_R	4
145	Jovaphobic	3
145	_Nuf	3
145	mwrty	3
145	Luminad3	3
145	little_dUki	3
150	_Virify_	2
150	ratglock	2
150	SvenskaAlvar	2
150	DarlaMeow	2
154	teslawolf38	1
154	Ryker	1
154	MoistMicrowave	1
154	oreee	1
154	Ssor69	1
154	eclipseboi	1
154	r123moore	1
154	Touched_Bread	1
154	Marbz_	1
154	Inbefour	1
154	avalan64	1
154	rotten_mango	1
154	Xclax101	1
154	Steve897	1
154	Blaiku	1
154	MineMaster0012	1
154	starbits140	1
154	Luigipunch989	1
154	xolstoi	1
154	RareDankMemeFrog	1
