rank	username	minecraft:picked_up/minecraft:cooked_chicken
1	TheShyPig	3081
2	beeperbeeper5	2622
3	El_Jalapeno	1551
4	CliffEmAll	1413
5	Jackattack53	1317
6	oscminus	1164
7	claivin	1131
8	FreakGenius	1114
9	luseis	1075
10	Huwulling	1034
11	Lez_	1000
12	Rumpletaezer	852
13	Arceus1975	784
14	kekhon	758
15	Mahoose	745
16	Smashic	713
17	HellsSponge	657
18	thescout7	583
19	k_ce	569
20	Blackberry1310	532
21	PhantomsGhost_	516
22	jnp_gaming	491
23	annebolyn	471
24	pintsizedrogue	470
25	Frozil20	469
26	Soplight	460
27	_Dean_123	437
28	corvidpartyfor6	431
29	Akoot_	430
30	SuperPooch06	415
31	lordpipe	394
32	YungMaki	392
33	fffMike	383
34	EMC_	358
35	Blu3beast	334
36	Bandito_Roamer	311
37	Hyp3rion_	298
38	Yamdalorian	296
39	Enderxz3	268
40	Di_infiri	266
41	Niklas20114552	264
42	Floraice	255
43	Kowcio_	244
44	stellarjay	227
45	SaphLaseer	221
46	Nicserso	220
47	Wooptey	216
48	rarrq	214
49	StinkyDiplomat	213
50	Pumpkin_P_Patch	205
51	T045RTY	203
51	Doom_melon	203
53	KarlKaek	186
54	Steelynan	184
55	Saucepeh	179
56	PlasticOtari	178
57	Incinere	175
58	ShedJr_	170
59	Groovy_MoonBird	168
60	F_Uhre	166
60	DarlaMeow	166
62	Merv__	163
63	Shadoko_	160
64	legal_tax_evader	154
64	Werbe	154
66	Killercatty78	151
66	eitanzaki	151
68	Benzito07	149
69	M_Patata	148
69	TheWickedBird	148
71	CarltheCuck	146
72	MasterNueve	143
73	ImpavidArcher	138
74	Tolhart	137
75	miramyu	134
76	Swexti	132
76	EcksD	132
78	SvenskaHugo	131
79	emrekn	130
80	The11thDoctor	129
81	6king6colt6	128
82	ROY4LE	127
83	szczeepaan	126
83	djancak	126
85	masskedman	125
85	Tyrannosplart	125
85	KatieBelle04	125
88	TechnoNinja64	115
89	joethahobo	112
89	audiocracked	112
91	xxPipperDipperxx	108
91	Eman__1	108
93	Legendosh	105
94	emreknugrlu	104
95	2Stout	103
96	Ezekson	102
97	fade_emerge78823	101
98	UrbanPlanningEx	98
99	Spacewardharpy7	97
99	Sheldor097	97
101	CoryJJ	94
102	sp00ky_ghost977	93
103	Warlord324	92
104	TooManyDuck	89
105	Sunflowerann70	88
106	MattieHD	85
106	Bumpy419	85
108	_8man	84
108	starbits140	84
108	Spenduh	84
111	Zoeyfortnite	83
112	EveryonesUncle	82
113	CLG_Kata	81
114	Secret_Canary	79
115	skroobiez	78
115	SammiWolfGirl	78
117	RebelAndroid	77
117	CalebDHawk	77
119	RebytreGT	76
120	Mr_Byzantine	75
120	shadowthemonkey	75
122	ApophisNova	74
122	Iamthejo	74
122	ConnorDanky_	74
122	MyNamaSheff	74
126	mihimihimihi	72
127	DinoDoctor_	71
127	burbankbuilder28	71
129	Krowuss	69
129	Segotep999	69
131	Skylord_Luke	68
132	Inchef	67
132	MakeHistory157	67
132	StarCookiees_	67
135	_3Stump_	66
136	olliebollie48	65
136	smogfrog	65
138	Malorn_Aetherius	64
138	ketaminmann	64
138	S4tox	64
138	splatterhawk	64
142	Snowflowe	63
142	_i_ERROR_i_	63
142	TheBananaKat	63
145	MuffinManzz	60
145	RoseLilyTV	60
145	fr0stss	60
145	TheSecondLord	60
145	Onennon	60
150	ratglock	59
150	AvaRosey	59
152	Kakolbus	58
152	Jimb0nat0r	58
154	fluddd	57
155	Mattesco	56
155	Hahaa_0	56
157	AlphaWolfPlaysMC	54
158	hanaryheatwave	53
158	silverpopcorn	53
160	mimbo1211	51
160	DolphinLaugh	51
160	MissCeleste7	51
163	MatsTheGoat	50
163	Lord_Jord	50
163	__tomato	50
163	KingJamBanana1	50
167	PazinGaming	49
167	ProfessorBee	49
167	Chromary	49
167	WildJubeJube	49
167	Druid95	49
167	_TCARREIRA_	49
167	Powowowow	49
174	jspwn	48
174	Skippeh	48
176	SPUDonSTEROIDS	46
177	gren_ben	45
177	IAmTheWalrus910	45
179	yheece	44
180	jcool7	43
181	homeofmew	41
181	Jackster03	41
181	set67	41
181	Karbl	41
